class,support,false_positives,fp_sources,false_negatives,fn_leaks_to
HDPE,1000,0,{},0,{}
LDPE,1000,1,"{""PVC"": 1}",0,{}
PP,1000,2,"{""PS"": 2}",0,{}
PS,1000,1,"{""PVC"": 1}",2,"{""PP"": 2}"
PVC,1000,0,{},2,"{""PS"": 1, ""LDPE"": 1}"
PET,1000,0,{},0,{}
