class,support,false_positives,fp_sources,false_negatives,fn_leaks_to
HDPE,1000,1,"{""PP"": 1}",0,{}
LDPE,1000,0,{},0,{}
PP,1000,1,"{""PS"": 1}",2,"{""PVC"": 1, ""HDPE"": 1}"
PS,1000,0,{},2,"{""PVC"": 1, ""PP"": 1}"
PVC,1000,3,"{""PP"": 1, ""PS"": 1, ""PET"": 1}",0,{}
PET,1000,0,{},1,"{""PVC"": 1}"
