class,support,false_positives,fp_sources,false_negatives,fn_leaks_to
HDPE,1000,5,"{""PS"": 2, ""PP"": 3}",0,{}
LDPE,1000,0,{},0,{}
PP,1000,4,"{""PS"": 2, ""PVC"": 2}",4,"{""HDPE"": 3, ""PS"": 1}"
PS,1000,1,"{""PP"": 1}",4,"{""HDPE"": 2, ""PP"": 2}"
PVC,1000,0,{},2,"{""PP"": 2}"
PET,1000,0,{},0,{}
