Created as New Dataset,PU (polyurethane) GF
cm-1,%T
2711.00,98.10
2710.00,98.11
2709.00,98.12
2708.00,98.13
2707.00,98.15
2706.00,98.16
2705.00,98.18
2704.00,98.19
2703.00,98.21
2702.00,98.23
2701.00,98.25
2700.00,98.27
2699.00,98.29
2698.00,98.32
2697.00,98.35
2696.00,98.38
2695.00,98.40
2694.00,98.43
2693.00,98.45
2692.00,98.48
2691.00,98.50
2690.00,98.52
2689.00,98.54
2688.00,98.57
2687.00,98.59
2686.00,98.61
2685.00,98.63
2684.00,98.65
2683.00,98.66
2682.00,98.68
2681.00,98.69
2680.00,98.70
2679.00,98.71
2678.00,98.72
2677.00,98.73
2676.00,98.74
2675.00,98.74
2674.00,98.75
2673.00,98.76
2672.00,98.77
2671.00,98.78
2670.00,98.78
2669.00,98.80
2668.00,98.81
2667.00,98.82
2666.00,98.83
2665.00,98.84
2664.00,98.85
2663.00,98.86
2662.00,98.87
2661.00,98.88
2660.00,98.89
2659.00,98.90
2658.00,98.91
2657.00,98.92
2656.00,98.93
2655.00,98.94
2654.00,98.95
2653.00,98.96
2652.00,98.96
2651.00,98.97
2650.00,98.97
2649.00,98.97
2648.00,98.98
2647.00,98.98
2646.00,98.99
2645.00,98.99
2644.00,98.99
2643.00,99.00
2642.00,99.00
2641.00,99.01
2640.00,99.02
2639.00,99.02
2638.00,99.03
2637.00,99.03
2636.00,99.04
2635.00,99.04
2634.00,99.05
2633.00,99.05
2632.00,99.06
2631.00,99.06
2630.00,99.07
2629.00,99.07
2628.00,99.08
2627.00,99.09
2626.00,99.10
2625.00,99.10
2624.00,99.11
2623.00,99.11
2622.00,99.12
2621.00,99.12
2620.00,99.13
2619.00,99.13
2618.00,99.14
2617.00,99.15
2616.00,99.15
2615.00,99.16
2614.00,99.16
2613.00,99.17
2612.00,99.18
2611.00,99.18
2610.00,99.19
2609.00,99.19
2608.00,99.19
2607.00,99.19
2606.00,99.20
2605.00,99.21
2604.00,99.21
2603.00,99.22
2602.00,99.22
2601.00,99.22
2600.00,99.23
2599.00,99.24
2598.00,99.25
2597.00,99.26
2596.00,99.26
2595.00,99.27
2594.00,99.28
2593.00,99.28
2592.00,99.29
2591.00,99.30
2590.00,99.31
2589.00,99.32
2588.00,99.32
2587.00,99.33
2586.00,99.33
2585.00,99.34
2584.00,99.34
2583.00,99.34
2582.00,99.34
2581.00,99.34
2580.00,99.35
2579.00,99.35
2578.00,99.35
2577.00,99.35
2576.00,99.36
2575.00,99.37
2574.00,99.37
2573.00,99.38
2572.00,99.39
2571.00,99.39
2570.00,99.39
2569.00,99.40
2568.00,99.40
2567.00,99.40
2566.00,99.41
2565.00,99.42
2564.00,99.42
2563.00,99.43
2562.00,99.43
2561.00,99.43
2560.00,99.43
2559.00,99.43
2558.00,99.44
2557.00,99.44
2556.00,99.45
2555.00,99.46
2554.00,99.46
2553.00,99.47
2552.00,99.48
2551.00,99.49
2550.00,99.50
2549.00,99.50
2548.00,99.51
2547.00,99.51
2546.00,99.51
2545.00,99.52
2544.00,99.52
2543.00,99.53
2542.00,99.53
2541.00,99.53
2540.00,99.53
2539.00,99.53
2538.00,99.53
2537.00,99.53
2536.00,99.52
2535.00,99.52
2534.00,99.52
2533.00,99.52
2532.00,99.51
2531.00,99.51
2530.00,99.51
2529.00,99.51
2528.00,99.51
2527.00,99.52
2526.00,99.52
2525.00,99.52
2524.00,99.53
2523.00,99.53
2522.00,99.54
2521.00,99.54
2520.00,99.54
2519.00,99.54
2518.00,99.54
2517.00,99.54
2516.00,99.55
2515.00,99.55
2514.00,99.56
2513.00,99.56
2512.00,99.56
2511.00,99.55
2510.00,99.55
2509.00,99.54
2508.00,99.54
2507.00,99.54
2506.00,99.55
2505.00,99.55
2504.00,99.56
2503.00,99.56
2502.00,99.57
2501.00,99.57
2500.00,99.58
2499.00,99.58
2498.00,99.58
2497.00,99.58
2496.00,99.58
2495.00,99.59
2494.00,99.59
2493.00,99.59
2492.00,99.59
2491.00,99.59
2490.00,99.59
2489.00,99.59
2488.00,99.59
2487.00,99.59
2486.00,99.60
2485.00,99.60
2484.00,99.60
2483.00,99.61
2482.00,99.61
2481.00,99.61
2480.00,99.60
2479.00,99.61
2478.00,99.61
2477.00,99.61
2476.00,99.61
2475.00,99.61
2474.00,99.62
2473.00,99.61
2472.00,99.61
2471.00,99.62
2470.00,99.62
2469.00,99.63
2468.00,99.63
2467.00,99.64
2466.00,99.64
2465.00,99.64
2464.00,99.64
2463.00,99.64
2462.00,99.64
2461.00,99.64
2460.00,99.64
2459.00,99.64
2458.00,99.64
2457.00,99.63
2456.00,99.63
