Created as New Dataset,PC (polycarbonate) GF
cm-1,%T
3722.00,99.78
3721.00,99.79
3720.00,99.79
3719.00,99.79
3718.00,99.79
3717.00,99.79
3716.00,99.78
3715.00,99.77
3714.00,99.77
3713.00,99.77
3712.00,99.77
3711.00,99.76
3710.00,99.76
3709.00,99.76
3708.00,99.76
3707.00,99.76
3706.00,99.75
3705.00,99.75
3704.00,99.74
3703.00,99.74
3702.00,99.73
3701.00,99.73
3700.00,99.72
3699.00,99.71
3698.00,99.71
3697.00,99.70
3696.00,99.70
3695.00,99.70
3694.00,99.69
3693.00,99.69
3692.00,99.68
3691.00,99.67
3690.00,99.65
3689.00,99.64
3688.00,99.63
3687.00,99.61
3686.00,99.60
3685.00,99.58
3684.00,99.57
3683.00,99.56
3682.00,99.56
3681.00,99.55
3680.00,99.54
3679.00,99.53
3678.00,99.52
3677.00,99.51
3676.00,99.50
3675.00,99.50
3674.00,99.49
3673.00,99.48
3672.00,99.48
3671.00,99.49
3670.00,99.50
3669.00,99.51
3668.00,99.52
3667.00,99.52
3666.00,99.53
3665.00,99.54
3664.00,99.55
3663.00,99.56
3662.00,99.57
3661.00,99.58
3660.00,99.59
3659.00,99.59
3658.00,99.59
3657.00,99.60
3656.00,99.61
3655.00,99.61
3654.00,99.62
3653.00,99.63
3652.00,99.63
3651.00,99.64
3650.00,99.64
3649.00,99.64
3648.00,99.65
3647.00,99.65
3646.00,99.66
3645.00,99.67
3644.00,99.67
3643.00,99.68
3642.00,99.69
3641.00,99.70
3640.00,99.70
3639.00,99.71
3638.00,99.71
3637.00,99.71
3636.00,99.71
3635.00,99.71
3634.00,99.71
3633.00,99.70
3632.00,99.70
3631.00,99.70
3630.00,99.70
3629.00,99.71
3628.00,99.71
3627.00,99.71
3626.00,99.71
3625.00,99.71
3624.00,99.72
3623.00,99.72
3622.00,99.72
3621.00,99.72
3620.00,99.72
3619.00,99.72
3618.00,99.72
3617.00,99.72
3616.00,99.72
3615.00,99.72
3614.00,99.72
3613.00,99.72
3612.00,99.72
3611.00,99.72
3610.00,99.71
3609.00,99.71
3608.00,99.71
3607.00,99.70
3606.00,99.70
3605.00,99.70
3604.00,99.71
3603.00,99.70
3602.00,99.70
3601.00,99.69
3600.00,99.68
3599.00,99.66
3598.00,99.65
3597.00,99.64
3596.00,99.63
3595.00,99.62
3594.00,99.61
3593.00,99.60
3592.00,99.59
3591.00,99.58
3590.00,99.58
3589.00,99.57
3588.00,99.56
3587.00,99.55
3586.00,99.55
3585.00,99.54
3584.00,99.53
