Created as New Dataset,PE postconsumer EDA plastic
cm-1,%T
3429.00,99.52
3428.00,99.52
3427.00,99.51
3426.00,99.51
3425.00,99.52
3424.00,99.52
3423.00,99.52
3422.00,99.52
3421.00,99.52
3420.00,99.52
3419.00,99.52
3418.00,99.52
3417.00,99.53
3416.00,99.53
3415.00,99.53
3414.00,99.53
3413.00,99.52
3412.00,99.52
3411.00,99.51
3410.00,99.51
3409.00,99.51
3408.00,99.51
3407.00,99.51
3406.00,99.51
3405.00,99.52
3404.00,99.52
3403.00,99.52
3402.00,99.52
3401.00,99.52
3400.00,99.52
3399.00,99.52
3398.00,99.52
3397.00,99.53
3396.00,99.53
3395.00,99.53
3394.00,99.53
3393.00,99.52
3392.00,99.52
3391.00,99.52
3390.00,99.51
3389.00,99.51
3388.00,99.51
3387.00,99.51
3386.00,99.51
3385.00,99.51
3384.00,99.51
3383.00,99.51
3382.00,99.51
3381.00,99.51
3380.00,99.50
3379.00,99.50
3378.00,99.50
3377.00,99.50
3376.00,99.50
3375.00,99.50
3374.00,99.50
3373.00,99.51
3372.00,99.51
3371.00,99.50
3370.00,99.50
3369.00,99.50
3368.00,99.51
3367.00,99.51
3366.00,99.52
3365.00,99.52
3364.00,99.52
3363.00,99.52
3362.00,99.52
3361.00,99.52
3360.00,99.51
3359.00,99.51
3358.00,99.51
3357.00,99.51
3356.00,99.51
3355.00,99.51
3354.00,99.52
3353.00,99.52
3352.00,99.52
3351.00,99.52
3350.00,99.52
3349.00,99.52
3348.00,99.52
3347.00,99.52
3346.00,99.52
3345.00,99.52
3344.00,99.52
3343.00,99.51
3342.00,99.52
3341.00,99.52
3340.00,99.52
3339.00,99.52
3338.00,99.52
3337.00,99.52
3336.00,99.52
3335.00,99.52
3334.00,99.52
3333.00,99.52
3332.00,99.52
3331.00,99.52
3330.00,99.52
3329.00,99.52
3328.00,99.52
3327.00,99.52
3326.00,99.53
3325.00,99.53
3324.00,99.53
3323.00,99.53
3322.00,99.52
3321.00,99.52
3320.00,99.52
3319.00,99.52
3318.00,99.53
3317.00,99.53
3316.00,99.53
3315.00,99.53
3314.00,99.53
3313.00,99.53
3312.00,99.53
3311.00,99.53
3310.00,99.53
3309.00,99.53
3308.00,99.53
3307.00,99.53
3306.00,99.53
3305.00,99.53
3304.00,99.53
3303.00,99.53
3302.00,99.53
3301.00,99.53
3300.00,99.53
3299.00,99.53
3298.00,99.53
3297.00,99.52
3296.00,99.52
3295.00,99.53
3294.00,99.53
3293.00,99.53
3292.00,99.52
3291.00,99.52
3290.00,99.53
3289.00,99.53
3288.00,99.53
3287.00,99.53
3286.00,99.53
3285.00,99.53
3284.00,99.53
3283.00,99.53
3282.00,99.53
3281.00,99.53
3280.00,99.53
3279.00,99.53
3278.00,99.53
3277.00,99.53
3276.00,99.53
3275.00,99.53
3274.00,99.53
3273.00,99.53
3272.00,99.52
3271.00,99.52
3270.00,99.52
3269.00,99.52
3268.00,99.52
3267.00,99.52
3266.00,99.53
3265.00,99.53
3264.00,99.53
3263.00,99.54
3262.00,99.54
3261.00,99.54
3260.00,99.54
3259.00,99.54
3258.00,99.54
3257.00,99.54
3256.00,99.54
3255.00,99.54
3254.00,99.54
3253.00,99.54
3252.00,99.54
3251.00,99.54
3250.00,99.54
3249.00,99.54
3248.00,99.54
3247.00,99.54
3246.00,99.54
3245.00,99.54
3244.00,99.54
3243.00,99.54
3242.00,99.54
3241.00,99.54
3240.00,99.54
3239.00,99.54
3238.00,99.54
3237.00,99.54
3236.00,99.54
3235.00,99.54
3234.00,99.54
3233.00,99.55
3232.00,99.55
3231.00,99.54
3230.00,99.54
3229.00,99.54
3228.00,99.54
3227.00,99.54
3226.00,99.54
3225.00,99.54
3224.00,99.54
3223.00,99.54
3222.00,99.54
3221.00,99.54
3220.00,99.54
3219.00,99.54
3218.00,99.55
3217.00,99.55
3216.00,99.55
3215.00,99.55
3214.00,99.56
3213.00,99.55
3212.00,99.55
3211.00,99.55
3210.00,99.55
3209.00,99.55
3208.00,99.54
3207.00,99.54
3206.00,99.54
3205.00,99.54
3204.00,99.54
3203.00,99.54
3202.00,99.54
3201.00,99.54
3200.00,99.54
3199.00,99.54
3198.00,99.54
3197.00,99.55
3196.00,99.55
3195.00,99.56
3194.00,99.56
3193.00,99.55
3192.00,99.55
3191.00,99.55
3190.00,99.55
3189.00,99.55
3188.00,99.55
3187.00,99.55
3186.00,99.55
3185.00,99.55
3184.00,99.55
3183.00,99.55
3182.00,99.55
3181.00,99.55
3180.00,99.55
3179.00,99.55
3178.00,99.55
3177.00,99.55
3176.00,99.55
3175.00,99.55
3174.00,99.55
3173.00,99.55
3172.00,99.55
3171.00,99.55
3170.00,99.54
3169.00,99.54
3168.00,99.54
3167.00,99.55
3166.00,99.55
3165.00,99.55
3164.00,99.55
3163.00,99.55
3162.00,99.55
3161.00,99.55
3160.00,99.55
3159.00,99.55
3158.00,99.55
3157.00,99.55
3156.00,99.55
3155.00,99.55
3154.00,99.55
3153.00,99.55
3152.00,99.55
3151.00,99.55
3150.00,99.55
3149.00,99.56
3148.00,99.55
3147.00,99.55
3146.00,99.55
3145.00,99.55
3144.00,99.54
3143.00,99.54
3142.00,99.54
3141.00,99.54
3140.00,99.54
3139.00,99.54
3138.00,99.54
3137.00,99.54
3136.00,99.54
3135.00,99.54
3134.00,99.54
3133.00,99.54
3132.00,99.54
3131.00,99.54
3130.00,99.54
3129.00,99.54
3128.00,99.53
3127.00,99.53
3126.00,99.53
3125.00,99.53
3124.00,99.53
3123.00,99.53
3122.00,99.52
3121.00,99.52
3120.00,99.52
3119.00,99.52
3118.00,99.52
3117.00,99.51
3116.00,99.51
3115.00,99.51
3114.00,99.50
3113.00,99.50
3112.00,99.50
3111.00,99.50
3110.00,99.49
3109.00,99.49
3108.00,99.48
3107.00,99.48
3106.00,99.47
3105.00,99.47
3104.00,99.46
3103.00,99.45
3102.00,99.45
3101.00,99.44
3100.00,99.44
3099.00,99.43
3098.00,99.43
3097.00,99.42
3096.00,99.42
3095.00,99.41
3094.00,99.40
3093.00,99.40
3092.00,99.39
3091.00,99.38
3090.00,99.38
3089.00,99.37
3088.00,99.37
3087.00,99.37
3086.00,99.37
3085.00,99.36
3084.00,99.36
3083.00,99.35
3082.00,99.35
3081.00,99.34
3080.00,99.34
3079.00,99.33
3078.00,99.32
3077.00,99.32
3076.00,99.32
3075.00,99.32
3074.00,99.32
3073.00,99.32
3072.00,99.32
3071.00,99.32
3070.00,99.31
3069.00,99.31
3068.00,99.31
3067.00,99.30
3066.00,99.30
3065.00,99.30
3064.00,99.29
3063.00,99.30
3062.00,99.30
3061.00,99.29
3060.00,99.29
3059.00,99.28
3058.00,99.28
3057.00,99.27
3056.00,99.27
3055.00,99.27
3054.00,99.27
3053.00,99.26
3052.00,99.26
3051.00,99.25
3050.00,99.25
3049.00,99.25
3048.00,99.24
3047.00,99.24
3046.00,99.23
3045.00,99.22
3044.00,99.22
3043.00,99.21
3042.00,99.21
3041.00,99.20
3040.00,99.19
