Created as New Dataset,PVA 100K Sigma
cm-1,%T
3235.00,99.76
3234.00,99.76
3233.00,99.75
3232.00,99.75
3231.00,99.75
3230.00,99.75
3229.00,99.75
3228.00,99.76
3227.00,99.76
3226.00,99.76
3225.00,99.76
3224.00,99.76
3223.00,99.76
3222.00,99.76
3221.00,99.75
3220.00,99.75
3219.00,99.75
3218.00,99.75
3217.00,99.75
3216.00,99.75
3215.00,99.75
3214.00,99.75
3213.00,99.75
3212.00,99.75
3211.00,99.76
3210.00,99.76
3209.00,99.76
3208.00,99.76
3207.00,99.76
3206.00,99.75
3205.00,99.75
3204.00,99.75
3203.00,99.75
3202.00,99.75
3201.00,99.75
3200.00,99.75
3199.00,99.75
3198.00,99.75
3197.00,99.75
3196.00,99.75
3195.00,99.75
3194.00,99.75
3193.00,99.75
3192.00,99.75
3191.00,99.75
3190.00,99.75
3189.00,99.75
3188.00,99.75
3187.00,99.75
3186.00,99.75
3185.00,99.74
3184.00,99.74
3183.00,99.75
3182.00,99.75
3181.00,99.75
3180.00,99.75
3179.00,99.75
3178.00,99.75
3177.00,99.75
3176.00,99.74
3175.00,99.74
3174.00,99.75
3173.00,99.75
3172.00,99.75
3171.00,99.75
3170.00,99.75
3169.00,99.75
3168.00,99.75
3167.00,99.75
3166.00,99.75
3165.00,99.74
3164.00,99.74
3163.00,99.74
3162.00,99.74
3161.00,99.74
3160.00,99.74
3159.00,99.74
3158.00,99.74
3157.00,99.74
3156.00,99.74
3155.00,99.74
3154.00,99.74
3153.00,99.74
3152.00,99.74
3151.00,99.74
3150.00,99.74
3149.00,99.74
3148.00,99.74
3147.00,99.74
3146.00,99.74
3145.00,99.74
3144.00,99.74
3143.00,99.74
3142.00,99.73
3141.00,99.73
3140.00,99.73
3139.00,99.73
3138.00,99.73
3137.00,99.73
3136.00,99.73
3135.00,99.73
3134.00,99.73
3133.00,99.73
3132.00,99.73
3131.00,99.72
3130.00,99.72
3129.00,99.72
3128.00,99.73
3127.00,99.73
3126.00,99.72
3125.00,99.72
3124.00,99.72
3123.00,99.72
3122.00,99.72
3121.00,99.72
3120.00,99.72
3119.00,99.72
3118.00,99.72
3117.00,99.72
3116.00,99.72
3115.00,99.72
3114.00,99.71
3113.00,99.71
3112.00,99.72
3111.00,99.72
3110.00,99.71
3109.00,99.71
3108.00,99.71
3107.00,99.70
3106.00,99.70
3105.00,99.70
3104.00,99.70
3103.00,99.70
3102.00,99.70
3101.00,99.70
3100.00,99.69
3099.00,99.69
3098.00,99.69
3097.00,99.69
3096.00,99.69
3095.00,99.68
3094.00,99.68
3093.00,99.68
3092.00,99.68
3091.00,99.68
3090.00,99.67
3089.00,99.67
3088.00,99.67
3087.00,99.67
3086.00,99.67
3085.00,99.68
3084.00,99.67
3083.00,99.67
3082.00,99.67
3081.00,99.67
3080.00,99.66
3079.00,99.66
3078.00,99.66
3077.00,99.66
3076.00,99.66
3075.00,99.66
3074.00,99.66
3073.00,99.65
3072.00,99.65
3071.00,99.65
3070.00,99.65
3069.00,99.65
3068.00,99.66
3067.00,99.66
3066.00,99.66
3065.00,99.65
3064.00,99.65
3063.00,99.64
3062.00,99.64
3061.00,99.63
3060.00,99.63
3059.00,99.62
3058.00,99.62
3057.00,99.62
3056.00,99.61
3055.00,99.61
3054.00,99.61
3053.00,99.61
3052.00,99.61
3051.00,99.60
3050.00,99.60
3049.00,99.60
3048.00,99.59
3047.00,99.59
3046.00,99.58
3045.00,99.58
3044.00,99.57
3043.00,99.57
3042.00,99.56
3041.00,99.55
3040.00,99.55
3039.00,99.54
3038.00,99.53
3037.00,99.53
3036.00,99.52
3035.00,99.51
3034.00,99.50
3033.00,99.49
3032.00,99.48
3031.00,99.47
3030.00,99.46
3029.00,99.45
3028.00,99.45
3027.00,99.44
3026.00,99.43
3025.00,99.43
3024.00,99.42
3023.00,99.41
3022.00,99.41
3021.00,99.40
3020.00,99.40
3019.00,99.40
3018.00,99.40
3017.00,99.40
3016.00,99.39
3015.00,99.39
3014.00,99.39
3013.00,99.38
3012.00,99.37
3011.00,99.37
3010.00,99.36
3009.00,99.36
3008.00,99.35
3007.00,99.34
3006.00,99.32
3005.00,99.30
3004.00,99.28
3003.00,99.26
3002.00,99.24
3001.00,99.22
3000.00,99.20
2999.00,99.18
2998.00,99.15
2997.00,99.12
2996.00,99.09
2995.00,99.06
2994.00,99.03
2993.00,98.99
2992.00,98.96
2991.00,98.93
2990.00,98.90
2989.00,98.86
2988.00,98.83
2987.00,98.80
2986.00,98.78
2985.00,98.75
2984.00,98.72
2983.00,98.69
2982.00,98.66
2981.00,98.65
2980.00,98.64
2979.00,98.63
2978.00,98.62
2977.00,98.62
2976.00,98.61
2975.00,98.60
2974.00,98.60
2973.00,98.59
2972.00,98.59
2971.00,98.60
2970.00,98.60
2969.00,98.61
2968.00,98.62
2967.00,98.62
2966.00,98.63
2965.00,98.64
2964.00,98.65
2963.00,98.65
2962.00,98.65
2961.00,98.66
2960.00,98.66
2959.00,98.66
2958.00,98.66
2957.00,98.67
2956.00,98.67
2955.00,98.66
2954.00,98.65
2953.00,98.64
2952.00,98.63
2951.00,98.61
2950.00,98.60
2949.00,98.58
2948.00,98.56
2947.00,98.55
2946.00,98.53
2945.00,98.51
2944.00,98.49
2943.00,98.47
2942.00,98.45
2941.00,98.43
2940.00,98.42
2939.00,98.41
2938.00,98.40
2937.00,98.39
2936.00,98.39
2935.00,98.38
2934.00,98.37
2933.00,98.36
2932.00,98.36
2931.00,98.36
2930.00,98.36
2929.00,98.36
2928.00,98.36
2927.00,98.36
2926.00,98.37
2925.00,98.38
2924.00,98.40
2923.00,98.43
2922.00,98.46
2921.00,98.49
2920.00,98.53
2919.00,98.58
2918.00,98.64
2917.00,98.70
2916.00,98.76
2915.00,98.82
2914.00,98.88
2913.00,98.94
2912.00,99.00
2911.00,99.05
2910.00,99.10
2909.00,99.15
2908.00,99.20
2907.00,99.24
2906.00,99.27
2905.00,99.30
2904.00,99.33
2903.00,99.35
2902.00,99.37
2901.00,99.39
2900.00,99.41
2899.00,99.42
2898.00,99.43
2897.00,99.44
2896.00,99.44
2895.00,99.45
2894.00,99.45
2893.00,99.46
2892.00,99.46
2891.00,99.47
2890.00,99.47
2889.00,99.48
2888.00,99.48
2887.00,99.48
2886.00,99.48
2885.00,99.48
2884.00,99.48
2883.00,99.48
2882.00,99.49
2881.00,99.49
2880.00,99.49
2879.00,99.48
2878.00,99.48
2877.00,99.48
2876.00,99.48
2875.00,99.48
2874.00,99.47
2873.00,99.47
2872.00,99.47
2871.00,99.47
2870.00,99.47
2869.00,99.47
2868.00,99.47
2867.00,99.46
2866.00,99.46
2865.00,99.46
2864.00,99.45
2863.00,99.45
2862.00,99.45
2861.00,99.45
2860.00,99.45
2859.00,99.45
2858.00,99.45
2857.00,99.45
2856.00,99.45
2855.00,99.45
2854.00,99.45
2853.00,99.46
2852.00,99.46
2851.00,99.47
2850.00,99.47
2849.00,99.48
2848.00,99.50
2847.00,99.51
2846.00,99.52
2845.00,99.53
2844.00,99.53
2843.00,99.54
2842.00,99.55
2841.00,99.56
2840.00,99.57
2839.00,99.57
2838.00,99.58
2837.00,99.59
2836.00,99.59
2835.00,99.60
2834.00,99.61
2833.00,99.61
2832.00,99.62
2831.00,99.62
2830.00,99.63
2829.00,99.63
2828.00,99.63
2827.00,99.64
2826.00,99.64
2825.00,99.65
2824.00,99.65
2823.00,99.65
2822.00,99.66
2821.00,99.66
2820.00,99.66
2819.00,99.67
2818.00,99.67
2817.00,99.67
2816.00,99.67
2815.00,99.67
2814.00,99.67
2813.00,99.68
2812.00,99.68
2811.00,99.68
2810.00,99.68
2809.00,99.68
2808.00,99.68
2807.00,99.68
2806.00,99.68
2805.00,99.68
2804.00,99.68
2803.00,99.68
2802.00,99.69
2801.00,99.69
2800.00,99.69
2799.00,99.69
2798.00,99.69
2797.00,99.69
2796.00,99.69
2795.00,99.69
2794.00,99.69
2793.00,99.69
2792.00,99.69
2791.00,99.69
2790.00,99.69
2789.00,99.69
2788.00,99.69
2787.00,99.69
2786.00,99.69
2785.00,99.69
2784.00,99.69
2783.00,99.68
2782.00,99.68
2781.00,99.68
2780.00,99.68
2779.00,99.69
2778.00,99.69
2777.00,99.69
2776.00,99.68
2775.00,99.68
2774.00,99.68
2773.00,99.68
2772.00,99.68
2771.00,99.68
2770.00,99.68
2769.00,99.68
2768.00,99.68
2767.00,99.68
2766.00,99.68
2765.00,99.68
2764.00,99.68
2763.00,99.68
2762.00,99.68
2761.00,99.68
2760.00,99.68
2759.00,99.68
2758.00,99.68
2757.00,99.68
2756.00,99.68
2755.00,99.68
2754.00,99.68
2753.00,99.68
2752.00,99.68
2751.00,99.68
2750.00,99.68
2749.00,99.68
2748.00,99.68
2747.00,99.68
2746.00,99.68
2745.00,99.69
2744.00,99.69
2743.00,99.69
2742.00,99.69
2741.00,99.69
2740.00,99.69
2739.00,99.69
2738.00,99.69
2737.00,99.69
2736.00,99.69
2735.00,99.70
2734.00,99.70
2733.00,99.70
2732.00,99.70
2731.00,99.70
2730.00,99.70
2729.00,99.70
2728.00,99.70
2727.00,99.70
2726.00,99.70
2725.00,99.70
2724.00,99.70
2723.00,99.70
2722.00,99.70
2721.00,99.70
2720.00,99.70
2719.00,99.70
2718.00,99.71
2717.00,99.71
2716.00,99.71
2715.00,99.71
2714.00,99.71
2713.00,99.71
2712.00,99.71
2711.00,99.71
2710.00,99.71
2709.00,99.71
2708.00,99.71
2707.00,99.71
2706.00,99.71
2705.00,99.71
2704.00,99.71
2703.00,99.71
2702.00,99.70
2701.00,99.71
2700.00,99.71
2699.00,99.71
2698.00,99.71
2697.00,99.71
2696.00,99.70
2695.00,99.70
2694.00,99.70
2693.00,99.70
2692.00,99.70
2691.00,99.69
2690.00,99.69
2689.00,99.70
2688.00,99.70
2687.00,99.70
2686.00,99.70
2685.00,99.70
2684.00,99.70
2683.00,99.70
2682.00,99.70
2681.00,99.70
2680.00,99.69
2679.00,99.69
2678.00,99.69
2677.00,99.69
2676.00,99.69
2675.00,99.69
2674.00,99.69
2673.00,99.70
2672.00,99.70
2671.00,99.70
2670.00,99.69
2669.00,99.69
2668.00,99.69
2667.00,99.69
2666.00,99.69
2665.00,99.69
2664.00,99.69
2663.00,99.68
2662.00,99.67
2661.00,99.66
2660.00,99.66
2659.00,99.65
2658.00,99.65
2657.00,99.65
2656.00,99.64
2655.00,99.64
2654.00,99.64
2653.00,99.64
2652.00,99.64
2651.00,99.64
2650.00,99.64
2649.00,99.64
2648.00,99.64
2647.00,99.64
2646.00,99.64
2645.00,99.64
2644.00,99.64
2643.00,99.64
2642.00,99.64
2641.00,99.63
2640.00,99.63
2639.00,99.64
2638.00,99.64
2637.00,99.64
2636.00,99.64
2635.00,99.64
2634.00,99.64
2633.00,99.64
2632.00,99.64
2631.00,99.64
2630.00,99.64
2629.00,99.64
2628.00,99.64
2627.00,99.64
2626.00,99.64
2625.00,99.64
2624.00,99.64
2623.00,99.64
2622.00,99.63
2621.00,99.64
2620.00,99.64
2619.00,99.64
2618.00,99.64
2617.00,99.65
2616.00,99.65
2615.00,99.65
2614.00,99.65
2613.00,99.65
2612.00,99.65
2611.00,99.65
2610.00,99.65
2609.00,99.66
2608.00,99.66
2607.00,99.66
2606.00,99.66
2605.00,99.66
2604.00,99.66
2603.00,99.66
2602.00,99.66
2601.00,99.66
2600.00,99.66
2599.00,99.66
2598.00,99.66
2597.00,99.66
2596.00,99.66
2595.00,99.67
2594.00,99.67
2593.00,99.67
2592.00,99.67
2591.00,99.68
2590.00,99.68
2589.00,99.68
2588.00,99.68
2587.00,99.68
2586.00,99.68
2585.00,99.69
2584.00,99.69
2583.00,99.69
2582.00,99.69
2581.00,99.69
2580.00,99.69
2579.00,99.69
2578.00,99.69
2577.00,99.69
2576.00,99.69
2575.00,99.68
2574.00,99.68
2573.00,99.69
2572.00,99.69
2571.00,99.69
2570.00,99.69
2569.00,99.70
2568.00,99.70
2567.00,99.71
2566.00,99.71
2565.00,99.72
2564.00,99.72
2563.00,99.72
2562.00,99.72
2561.00,99.71
2560.00,99.71
2559.00,99.70
2558.00,99.70
2557.00,99.71
2556.00,99.71
2555.00,99.71
2554.00,99.71
2553.00,99.71
2552.00,99.72
2551.00,99.72
2550.00,99.72
2549.00,99.72
2548.00,99.72
2547.00,99.72
2546.00,99.72
2545.00,99.72
2544.00,99.72
2543.00,99.72
2542.00,99.72
2541.00,99.72
2540.00,99.73
2539.00,99.73
2538.00,99.73
2537.00,99.73
2536.00,99.73
2535.00,99.73
2534.00,99.73
2533.00,99.72
2532.00,99.72
2531.00,99.71
2530.00,99.71
2529.00,99.71
2528.00,99.71
2527.00,99.71
2526.00,99.71
2525.00,99.72
2524.00,99.72
2523.00,99.72
2522.00,99.72
2521.00,99.72
2520.00,99.71
2519.00,99.71
2518.00,99.72
2517.00,99.72
2516.00,99.72
2515.00,99.72
2514.00,99.72
2513.00,99.72
2512.00,99.72
2511.00,99.71
2510.00,99.72
2509.00,99.72
2508.00,99.72
2507.00,99.71
2506.00,99.71
2505.00,99.70
2504.00,99.70
2503.00,99.70
2502.00,99.70
2501.00,99.70
2500.00,99.70
2499.00,99.70
2498.00,99.70
2497.00,99.69
2496.00,99.69
2495.00,99.69
2494.00,99.69
2493.00,99.69
2492.00,99.69
2491.00,99.69
2490.00,99.69
2489.00,99.69
2488.00,99.69
2487.00,99.69
2486.00,99.69
2485.00,99.69
2484.00,99.69
2483.00,99.69
2482.00,99.69
2481.00,99.69
2480.00,99.69
2479.00,99.70
2478.00,99.69
2477.00,99.69
2476.00,99.69
2475.00,99.68
2474.00,99.67
2473.00,99.67
2472.00,99.67
2471.00,99.67
2470.00,99.67
2469.00,99.68
2468.00,99.67
2467.00,99.67
2466.00,99.67
2465.00,99.67
2464.00,99.67
2463.00,99.67
2462.00,99.67
2461.00,99.66
2460.00,99.66
2459.00,99.66
2458.00,99.65
2457.00,99.65
2456.00,99.65
2455.00,99.65
2454.00,99.65
2453.00,99.65
2452.00,99.65
