Created as New Dataset,PLA (polylactic acid) GF
cm-1,%T
3648.00,99.98
3647.00,99.98
3646.00,99.98
3645.00,99.98
3644.00,99.98
3643.00,99.99
3642.00,99.99
3641.00,100.00
3640.00,100.00
3639.00,100.01
3638.00,100.01
3637.00,100.02
3636.00,100.01
3635.00,100.01
3634.00,100.00
3633.00,100.00
3632.00,100.00
3631.00,100.00
3630.00,99.99
3629.00,100.00
3628.00,100.01
3627.00,100.01
3626.00,100.01
3625.00,100.02
3624.00,100.02
3623.00,100.03
3622.00,100.03
3621.00,100.03
3620.00,100.02
3619.00,100.01
3618.00,100.01
3617.00,100.00
3616.00,100.00
3615.00,100.00
3614.00,100.00
3613.00,100.01
3612.00,100.01
3611.00,100.02
3610.00,100.02
3609.00,100.01
3608.00,100.01
3607.00,100.02
3606.00,100.02
3605.00,100.03
3604.00,100.03
3603.00,100.04
3602.00,100.04
3601.00,100.03
3600.00,100.03
3599.00,100.03
3598.00,100.02
3597.00,100.02
3596.00,100.02
3595.00,100.02
3594.00,100.02
3593.00,100.02
3592.00,100.02
3591.00,100.02
3590.00,100.02
3589.00,100.01
3588.00,100.01
3587.00,100.01
3586.00,100.00
3585.00,100.00
3584.00,100.00
3583.00,100.01
3582.00,100.01
3581.00,100.01
3580.00,100.01
3579.00,100.01
3578.00,100.01
3577.00,100.01
3576.00,100.01
3575.00,100.01
3574.00,100.01
3573.00,100.01
3572.00,100.01
3571.00,100.01
3570.00,100.00
3569.00,100.00
3568.00,100.00
3567.00,100.00
3566.00,100.00
3565.00,100.00
3564.00,99.99
3563.00,100.00
3562.00,100.00
3561.00,100.00
3560.00,100.00
3559.00,100.00
3558.00,100.00
3557.00,100.00
3556.00,100.00
3555.00,100.00
3554.00,100.00
3553.00,100.00
3552.00,100.00
3551.00,100.00
3550.00,100.00
3549.00,100.00
3548.00,100.00
3547.00,100.00
3546.00,100.00
3545.00,100.00
3544.00,100.00
3543.00,99.99
3542.00,99.99
3541.00,99.98
3540.00,99.98
3539.00,99.98
3538.00,99.98
3537.00,99.98
3536.00,99.98
3535.00,99.98
3534.00,99.98
3533.00,99.98
3532.00,99.98
3531.00,99.97
3530.00,99.97
3529.00,99.97
3528.00,99.96
3527.00,99.96
3526.00,99.95
3525.00,99.95
3524.00,99.95
3523.00,99.95
3522.00,99.95
3521.00,99.94
3520.00,99.94
3519.00,99.94
3518.00,99.93
3517.00,99.93
3516.00,99.93
3515.00,99.93
3514.00,99.92
3513.00,99.92
3512.00,99.92
3511.00,99.92
3510.00,99.91
3509.00,99.91
3508.00,99.91
3507.00,99.91
3506.00,99.91
3505.00,99.91
3504.00,99.91
3503.00,99.92
3502.00,99.91
3501.00,99.91
3500.00,99.92
3499.00,99.92
3498.00,99.92
3497.00,99.92
3496.00,99.92
3495.00,99.93
3494.00,99.93
3493.00,99.93
3492.00,99.93
3491.00,99.94
3490.00,99.94
3489.00,99.94
3488.00,99.94
3487.00,99.95
3486.00,99.95
3485.00,99.95
3484.00,99.96
3483.00,99.96
3482.00,99.96
3481.00,99.96
3480.00,99.97
3479.00,99.97
3478.00,99.97
3477.00,99.98
3476.00,99.98
3475.00,99.98
3474.00,99.99
3473.00,99.99
3472.00,99.99
3471.00,100.00
3470.00,100.00
3469.00,100.00
3468.00,100.00
3467.00,100.00
3466.00,100.00
3465.00,100.00
3464.00,100.00
3463.00,100.00
3462.00,100.00
3461.00,100.00
3460.00,100.00
3459.00,100.00
3458.00,100.00
3457.00,100.00
3456.00,100.00
3455.00,100.00
3454.00,100.00
3453.00,100.00
3452.00,100.00
3451.00,100.00
3450.00,100.00
