Created as New Dataset,SAN (30% acrylonitrile)
cm-1,%T
3648.00,98.10
3647.00,98.11
3646.00,98.11
3645.00,98.12
3644.00,98.13
3643.00,98.13
3642.00,98.14
3641.00,98.15
3640.00,98.15
3639.00,98.15
3638.00,98.16
3637.00,98.16
3636.00,98.16
3635.00,98.16
3634.00,98.17
3633.00,98.17
3632.00,98.17
3631.00,98.17
3630.00,98.17
3629.00,98.18
3628.00,98.18
3627.00,98.18
3626.00,98.18
3625.00,98.18
3624.00,98.18
3623.00,98.18
3622.00,98.19
3621.00,98.19
3620.00,98.20
3619.00,98.20
3618.00,98.20
3617.00,98.20
3616.00,98.20
3615.00,98.21
3614.00,98.21
3613.00,98.22
3612.00,98.23
3611.00,98.23
3610.00,98.23
3609.00,98.24
3608.00,98.24
3607.00,98.25
3606.00,98.25
3605.00,98.25
3604.00,98.26
3603.00,98.27
3602.00,98.27
3601.00,98.27
3600.00,98.27
3599.00,98.27
3598.00,98.27
3597.00,98.27
3596.00,98.28
3595.00,98.28
3594.00,98.29
3593.00,98.29
3592.00,98.29
3591.00,98.29
3590.00,98.29
3589.00,98.28
3588.00,98.28
3587.00,98.28
3586.00,98.28
3585.00,98.28
3584.00,98.27
3583.00,98.28
3582.00,98.28
3581.00,98.29
3580.00,98.29
3579.00,98.29
3578.00,98.29
3577.00,98.29
3576.00,98.28
3575.00,98.28
3574.00,98.28
3573.00,98.28
3572.00,98.28
3571.00,98.28
3570.00,98.28
3569.00,98.27
3568.00,98.27
3567.00,98.26
3566.00,98.25
3565.00,98.25
3564.00,98.25
3563.00,98.25
3562.00,98.25
3561.00,98.25
3560.00,98.25
3559.00,98.24
3558.00,98.24
3557.00,98.24
3556.00,98.24
3555.00,98.24
3554.00,98.24
3553.00,98.24
3552.00,98.24
3551.00,98.23
3550.00,98.23
3549.00,98.22
3548.00,98.22
3547.00,98.22
3546.00,98.22
3545.00,98.22
3544.00,98.22
3543.00,98.21
3542.00,98.21
3541.00,98.21
3540.00,98.21
3539.00,98.21
3538.00,98.21
3537.00,98.21
3536.00,98.21
3535.00,98.21
3534.00,98.21
3533.00,98.21
3532.00,98.21
3531.00,98.21
3530.00,98.21
3529.00,98.21
3528.00,98.21
3527.00,98.22
3526.00,98.22
3525.00,98.22
3524.00,98.22
3523.00,98.22
3522.00,98.22
3521.00,98.23
3520.00,98.23
3519.00,98.23
3518.00,98.23
3517.00,98.23
3516.00,98.23
3515.00,98.23
3514.00,98.24
3513.00,98.24
3512.00,98.24
3511.00,98.24
3510.00,98.25
3509.00,98.25
3508.00,98.25
3507.00,98.26
3506.00,98.26
3505.00,98.26
3504.00,98.26
3503.00,98.26
3502.00,98.26
3501.00,98.26
3500.00,98.26
3499.00,98.27
3498.00,98.27
3497.00,98.28
3496.00,98.28
3495.00,98.27
3494.00,98.27
3493.00,98.27
3492.00,98.27
3491.00,98.27
3490.00,98.28
3489.00,98.28
3488.00,98.28
3487.00,98.28
3486.00,98.29
3485.00,98.29
3484.00,98.29
3483.00,98.30
3482.00,98.30
3481.00,98.29
3480.00,98.29
3479.00,98.29
3478.00,98.30
3477.00,98.30
3476.00,98.31
3475.00,98.31
3474.00,98.31
3473.00,98.31
3472.00,98.31
3471.00,98.32
3470.00,98.32
3469.00,98.32
3468.00,98.32
3467.00,98.32
3466.00,98.32
3465.00,98.32
3464.00,98.32
3463.00,98.31
3462.00,98.31
3461.00,98.31
3460.00,98.31
3459.00,98.32
3458.00,98.32
3457.00,98.33
3456.00,98.33
3455.00,98.33
3454.00,98.32
3453.00,98.33
3452.00,98.33
3451.00,98.33
3450.00,98.33
3449.00,98.33
3448.00,98.33
3447.00,98.33
3446.00,98.33
3445.00,98.33
3444.00,98.33
3443.00,98.33
3442.00,98.33
3441.00,98.33
3440.00,98.34
3439.00,98.34
3438.00,98.34
3437.00,98.34
3436.00,98.34
3435.00,98.34
3434.00,98.34
3433.00,98.34
3432.00,98.34
3431.00,98.34
3430.00,98.34
3429.00,98.34
3428.00,98.34
3427.00,98.34
3426.00,98.34
3425.00,98.34
3424.00,98.35
3423.00,98.35
3422.00,98.35
3421.00,98.35
3420.00,98.35
3419.00,98.35
3418.00,98.35
3417.00,98.35
3416.00,98.35
3415.00,98.35
3414.00,98.35
3413.00,98.35
3412.00,98.35
3411.00,98.36
3410.00,98.36
3409.00,98.36
3408.00,98.36
3407.00,98.35
3406.00,98.35
3405.00,98.34
3404.00,98.34
3403.00,98.35
3402.00,98.36
3401.00,98.36
3400.00,98.36
3399.00,98.36
3398.00,98.36
3397.00,98.36
3396.00,98.36
3395.00,98.36
3394.00,98.35
3393.00,98.35
3392.00,98.35
3391.00,98.35
3390.00,98.36
3389.00,98.36
3388.00,98.36
3387.00,98.36
3386.00,98.36
3385.00,98.36
3384.00,98.36
3383.00,98.36
3382.00,98.36
3381.00,98.36
3380.00,98.36
3379.00,98.36
3378.00,98.36
3377.00,98.37
3376.00,98.37
3375.00,98.37
3374.00,98.37
3373.00,98.37
3372.00,98.37
3371.00,98.36
3370.00,98.36
3369.00,98.36
3368.00,98.36
3367.00,98.36
3366.00,98.36
3365.00,98.37
3364.00,98.37
3363.00,98.37
3362.00,98.36
3361.00,98.36
3360.00,98.36
3359.00,98.36
3358.00,98.35
3357.00,98.35
3356.00,98.35
3355.00,98.35
3354.00,98.35
3353.00,98.35
3352.00,98.35
3351.00,98.36
3350.00,98.36
3349.00,98.36
3348.00,98.36
3347.00,98.36
3346.00,98.36
3345.00,98.35
3344.00,98.35
3343.00,98.35
3342.00,98.35
3341.00,98.35
3340.00,98.35
3339.00,98.35
3338.00,98.35
3337.00,98.35
3336.00,98.35
3335.00,98.35
3334.00,98.35
3333.00,98.36
3332.00,98.36
3331.00,98.36
3330.00,98.35
3329.00,98.35
3328.00,98.35
3327.00,98.35
3326.00,98.35
3325.00,98.35
3324.00,98.36
3323.00,98.36
3322.00,98.36
3321.00,98.35
3320.00,98.35
3319.00,98.35
3318.00,98.35
3317.00,98.35
3316.00,98.35
3315.00,98.35
3314.00,98.35
3313.00,98.35
3312.00,98.35
3311.00,98.35
3310.00,98.35
3309.00,98.35
3308.00,98.35
3307.00,98.35
3306.00,98.34
3305.00,98.34
3304.00,98.34
3303.00,98.35
3302.00,98.35
3301.00,98.35
3300.00,98.35
3299.00,98.35
3298.00,98.35
3297.00,98.35
3296.00,98.35
3295.00,98.35
3294.00,98.35
3293.00,98.35
3292.00,98.34
3291.00,98.34
3290.00,98.34
3289.00,98.34
3288.00,98.34
3287.00,98.34
3286.00,98.35
3285.00,98.35
3284.00,98.35
3283.00,98.35
3282.00,98.35
3281.00,98.34
3280.00,98.34
3279.00,98.34
3278.00,98.34
3277.00,98.34
3276.00,98.34
3275.00,98.34
3274.00,98.35
3273.00,98.35
3272.00,98.35
3271.00,98.34
3270.00,98.34
3269.00,98.34
3268.00,98.34
3267.00,98.34
3266.00,98.34
3265.00,98.34
3264.00,98.34
3263.00,98.34
3262.00,98.33
3261.00,98.33
3260.00,98.33
3259.00,98.34
3258.00,98.34
3257.00,98.34
3256.00,98.33
3255.00,98.33
3254.00,98.33
3253.00,98.33
3252.00,98.32
3251.00,98.32
3250.00,98.32
3249.00,98.32
3248.00,98.32
3247.00,98.32
3246.00,98.32
3245.00,98.32
3244.00,98.33
3243.00,98.33
3242.00,98.33
3241.00,98.33
3240.00,98.32
3239.00,98.32
3238.00,98.32
3237.00,98.33
3236.00,98.33
3235.00,98.33
3234.00,98.32
3233.00,98.32
3232.00,98.32
3231.00,98.32
3230.00,98.32
3229.00,98.32
3228.00,98.32
3227.00,98.32
3226.00,98.32
3225.00,98.32
3224.00,98.31
3223.00,98.32
3222.00,98.32
3221.00,98.32
3220.00,98.32
3219.00,98.32
3218.00,98.32
3217.00,98.31
3216.00,98.31
3215.00,98.31
3214.00,98.30
3213.00,98.30
3212.00,98.30
3211.00,98.30
3210.00,98.31
3209.00,98.31
3208.00,98.31
3207.00,98.30
3206.00,98.30
3205.00,98.30
3204.00,98.30
3203.00,98.30
3202.00,98.30
3201.00,98.30
3200.00,98.30
3199.00,98.30
3198.00,98.30
3197.00,98.31
3196.00,98.31
3195.00,98.31
3194.00,98.31
3193.00,98.32
3192.00,98.32
3191.00,98.31
3190.00,98.31
3189.00,98.31
3188.00,98.31
3187.00,98.31
3186.00,98.31
3185.00,98.31
3184.00,98.31
3183.00,98.31
3182.00,98.31
3181.00,98.31
3180.00,98.31
3179.00,98.31
3178.00,98.31
3177.00,98.31
3176.00,98.31
3175.00,98.31
3174.00,98.31
3173.00,98.31
3172.00,98.30
3171.00,98.30
3170.00,98.30
3169.00,98.30
3168.00,98.29
3167.00,98.29
3166.00,98.29
3165.00,98.28
3164.00,98.28
3163.00,98.28
3162.00,98.28
3161.00,98.29
