Created as New Dataset,PET Biaxial Film GF
cm-1,%T
3648.00,97.38
3647.00,97.37
3646.00,97.36
3645.00,97.36
3644.00,97.35
3643.00,97.35
3642.00,97.34
3641.00,97.33
3640.00,97.33
3639.00,97.32
3638.00,97.32
3637.00,97.32
3636.00,97.32
3635.00,97.32
3634.00,97.31
3633.00,97.31
3632.00,97.31
3631.00,97.30
3630.00,97.30
3629.00,97.30
3628.00,97.30
3627.00,97.31
3626.00,97.31
3625.00,97.31
3624.00,97.31
3623.00,97.31
3622.00,97.32
3621.00,97.32
3620.00,97.32
3619.00,97.32
3618.00,97.32
3617.00,97.33
3616.00,97.34
3615.00,97.35
3614.00,97.36
3613.00,97.36
3612.00,97.36
3611.00,97.37
3610.00,97.37
3609.00,97.38
3608.00,97.38
3607.00,97.38
3606.00,97.39
3605.00,97.40
3604.00,97.40
3603.00,97.41
3602.00,97.41
3601.00,97.41
3600.00,97.41
3599.00,97.41
3598.00,97.42
3597.00,97.42
3596.00,97.43
3595.00,97.43
3594.00,97.43
3593.00,97.43
3592.00,97.43
3591.00,97.43
3590.00,97.43
3589.00,97.43
3588.00,97.43
3587.00,97.43
3586.00,97.42
3585.00,97.42
3584.00,97.41
3583.00,97.40
3582.00,97.40
3581.00,97.39
3580.00,97.38
3579.00,97.38
3578.00,97.37
3577.00,97.36
3576.00,97.34
3575.00,97.33
3574.00,97.32
3573.00,97.30
3572.00,97.30
3571.00,97.29
3570.00,97.28
3569.00,97.27
3568.00,97.26
3567.00,97.25
3566.00,97.24
3565.00,97.23
3564.00,97.23
3563.00,97.22
3562.00,97.22
3561.00,97.21
3560.00,97.21
3559.00,97.20
3558.00,97.20
3557.00,97.19
3556.00,97.19
3555.00,97.18
3554.00,97.17
3553.00,97.17
3552.00,97.16
3551.00,97.16
3550.00,97.16
3549.00,97.16
3548.00,97.17
3547.00,97.18
3546.00,97.18
3545.00,97.18
3544.00,97.19
3543.00,97.19
3542.00,97.19
3541.00,97.19
3540.00,97.20
3539.00,97.21
3538.00,97.21
3537.00,97.22
3536.00,97.22
3535.00,97.23
3534.00,97.23
3533.00,97.24
3532.00,97.24
3531.00,97.25
3530.00,97.26
3529.00,97.27
3528.00,97.27
3527.00,97.28
3526.00,97.28
3525.00,97.29
3524.00,97.30
3523.00,97.31
3522.00,97.32
3521.00,97.33
3520.00,97.34
3519.00,97.35
3518.00,97.36
3517.00,97.37
3516.00,97.37
3515.00,97.37
3514.00,97.38
3513.00,97.38
3512.00,97.39
3511.00,97.39
3510.00,97.40
3509.00,97.40
3508.00,97.41
3507.00,97.41
3506.00,97.42
3505.00,97.43
3504.00,97.44
3503.00,97.44
3502.00,97.44
3501.00,97.44
3500.00,97.45
3499.00,97.45
3498.00,97.46
3497.00,97.46
3496.00,97.46
3495.00,97.46
3494.00,97.46
3493.00,97.46
3492.00,97.47
3491.00,97.47
3490.00,97.47
3489.00,97.47
3488.00,97.47
3487.00,97.47
3486.00,97.47
3485.00,97.47
3484.00,97.47
3483.00,97.47
3482.00,97.48
3481.00,97.48
3480.00,97.47
3479.00,97.46
3478.00,97.46
3477.00,97.45
3476.00,97.44
3475.00,97.44
3474.00,97.44
3473.00,97.45
3472.00,97.45
3471.00,97.46
3470.00,97.46
3469.00,97.45
3468.00,97.44
3467.00,97.42
3466.00,97.40
3465.00,97.37
3464.00,97.36
3463.00,97.35
3462.00,97.34
3461.00,97.33
3460.00,97.32
3459.00,97.30
3458.00,97.27
3457.00,97.25
3456.00,97.23
3455.00,97.21
3454.00,97.18
3453.00,97.16
3452.00,97.14
3451.00,97.11
3450.00,97.09
3449.00,97.07
3448.00,97.05
3447.00,97.02
3446.00,96.98
3445.00,96.94
3444.00,96.90
3443.00,96.86
3442.00,96.82
3441.00,96.79
3440.00,96.75
3439.00,96.70
3438.00,96.64
3437.00,96.57
3436.00,96.48
3435.00,96.38
3434.00,96.28
