Created as New Dataset,PMMA Scientific
cm-1,%T
3692.00,99.37
3691.00,99.36
3690.00,99.36
3689.00,99.36
3688.00,99.36
3687.00,99.36
3686.00,99.36
3685.00,99.36
3684.00,99.36
3683.00,99.35
3682.00,99.35
3681.00,99.34
3680.00,99.33
3679.00,99.32
3678.00,99.32
3677.00,99.31
3676.00,99.30
3675.00,99.29
3674.00,99.29
3673.00,99.29
3672.00,99.29
3671.00,99.30
3670.00,99.30
3669.00,99.29
3668.00,99.29
3667.00,99.29
3666.00,99.28
3665.00,99.28
3664.00,99.28
3663.00,99.27
3662.00,99.27
3661.00,99.26
3660.00,99.25
3659.00,99.24
3658.00,99.23
3657.00,99.22
3656.00,99.22
3655.00,99.21
3654.00,99.21
3653.00,99.21
3652.00,99.21
3651.00,99.20
3650.00,99.20
3649.00,99.19
3648.00,99.19
3647.00,99.18
3646.00,99.18
3645.00,99.18
3644.00,99.18
3643.00,99.18
3642.00,99.18
3641.00,99.18
3640.00,99.17
3639.00,99.17
3638.00,99.16
3637.00,99.16
3636.00,99.15
3635.00,99.15
3634.00,99.14
3633.00,99.14
3632.00,99.14
3631.00,99.13
3630.00,99.13
3629.00,99.12
3628.00,99.12
3627.00,99.12
3626.00,99.12
3625.00,99.12
3624.00,99.12
3623.00,99.12
3622.00,99.12
3621.00,99.13
3620.00,99.13
3619.00,99.13
3618.00,99.12
3617.00,99.12
3616.00,99.11
3615.00,99.11
3614.00,99.11
3613.00,99.11
3612.00,99.12
3611.00,99.12
3610.00,99.12
3609.00,99.12
3608.00,99.12
3607.00,99.13
3606.00,99.13
3605.00,99.14
3604.00,99.14
3603.00,99.14
3602.00,99.14
3601.00,99.14
3600.00,99.13
3599.00,99.13
3598.00,99.14
3597.00,99.14
3596.00,99.15
3595.00,99.15
3594.00,99.16
3593.00,99.16
3592.00,99.16
3591.00,99.16
3590.00,99.16
3589.00,99.16
3588.00,99.16
3587.00,99.16
3586.00,99.16
3585.00,99.16
3584.00,99.16
3583.00,99.16
3582.00,99.17
3581.00,99.17
3580.00,99.16
3579.00,99.16
3578.00,99.16
3577.00,99.17
3576.00,99.17
3575.00,99.16
3574.00,99.16
3573.00,99.16
3572.00,99.15
3571.00,99.15
3570.00,99.15
3569.00,99.14
3568.00,99.14
3567.00,99.14
3566.00,99.14
3565.00,99.14
3564.00,99.13
3563.00,99.13
3562.00,99.13
3561.00,99.13
3560.00,99.12
3559.00,99.12
3558.00,99.12
3557.00,99.12
3556.00,99.11
3555.00,99.11
3554.00,99.11
3553.00,99.11
3552.00,99.11
3551.00,99.10
3550.00,99.11
3549.00,99.11
3548.00,99.11
3547.00,99.11
3546.00,99.11
3545.00,99.11
3544.00,99.11
3543.00,99.11
3542.00,99.11
3541.00,99.12
3540.00,99.12
3539.00,99.13
3538.00,99.13
3537.00,99.13
3536.00,99.13
3535.00,99.13
3534.00,99.13
