Created as New Dataset,PP 250 kDa Sigma
cm-1,%T
3648.00,99.03
3647.00,99.03
3646.00,99.04
3645.00,99.05
3644.00,99.05
3643.00,99.05
3642.00,99.06
3641.00,99.06
3640.00,99.05
3639.00,99.05
3638.00,99.05
3637.00,99.05
3636.00,99.05
3635.00,99.05
3634.00,99.05
3633.00,99.06
3632.00,99.05
3631.00,99.05
3630.00,99.05
3629.00,99.05
3628.00,99.06
3627.00,99.06
3626.00,99.07
3625.00,99.07
3624.00,99.07
3623.00,99.07
3622.00,99.06
3621.00,99.06
3620.00,99.06
3619.00,99.07
3618.00,99.07
3617.00,99.07
3616.00,99.07
3615.00,99.07
3614.00,99.07
3613.00,99.07
3612.00,99.06
3611.00,99.06
3610.00,99.06
3609.00,99.06
3608.00,99.07
3607.00,99.07
3606.00,99.07
3605.00,99.06
3604.00,99.06
3603.00,99.07
3602.00,99.07
3601.00,99.07
3600.00,99.07
3599.00,99.07
3598.00,99.06
3597.00,99.06
3596.00,99.07
3595.00,99.07
3594.00,99.07
3593.00,99.07
3592.00,99.07
3591.00,99.07
3590.00,99.08
3589.00,99.08
3588.00,99.08
3587.00,99.09
3586.00,99.08
3585.00,99.08
3584.00,99.08
3583.00,99.08
3582.00,99.08
3581.00,99.08
3580.00,99.08
3579.00,99.08
3578.00,99.07
3577.00,99.07
3576.00,99.07
3575.00,99.07
3574.00,99.07
3573.00,99.08
3572.00,99.08
3571.00,99.08
3570.00,99.08
3569.00,99.08
3568.00,99.08
3567.00,99.08
3566.00,99.08
3565.00,99.07
3564.00,99.07
3563.00,99.08
3562.00,99.08
3561.00,99.08
3560.00,99.08
3559.00,99.07
3558.00,99.07
3557.00,99.07
3556.00,99.07
3555.00,99.07
3554.00,99.07
3553.00,99.06
3552.00,99.06
3551.00,99.06
3550.00,99.06
3549.00,99.06
3548.00,99.06
3547.00,99.07
3546.00,99.07
3545.00,99.07
3544.00,99.07
3543.00,99.07
3542.00,99.07
3541.00,99.07
3540.00,99.07
3539.00,99.06
3538.00,99.06
3537.00,99.06
3536.00,99.06
3535.00,99.06
3534.00,99.06
3533.00,99.06
3532.00,99.06
3531.00,99.07
3530.00,99.07
3529.00,99.07
3528.00,99.07
3527.00,99.06
3526.00,99.06
3525.00,99.06
3524.00,99.06
3523.00,99.06
3522.00,99.06
3521.00,99.06
3520.00,99.06
3519.00,99.06
3518.00,99.06
3517.00,99.05
3516.00,99.05
3515.00,99.06
3514.00,99.06
3513.00,99.06
3512.00,99.06
3511.00,99.06
3510.00,99.06
3509.00,99.06
3508.00,99.06
3507.00,99.06
3506.00,99.05
3505.00,99.05
3504.00,99.05
3503.00,99.06
3502.00,99.06
3501.00,99.06
3500.00,99.06
3499.00,99.06
3498.00,99.06
3497.00,99.06
3496.00,99.06
3495.00,99.06
3494.00,99.06
3493.00,99.06
3492.00,99.06
3491.00,99.06
3490.00,99.06
3489.00,99.06
3488.00,99.06
3487.00,99.06
3486.00,99.06
3485.00,99.06
3484.00,99.06
3483.00,99.06
3482.00,99.07
3481.00,99.07
3480.00,99.06
3479.00,99.06
3478.00,99.06
3477.00,99.05
3476.00,99.05
3475.00,99.05
3474.00,99.05
3473.00,99.05
3472.00,99.05
3471.00,99.05
3470.00,99.05
3469.00,99.05
3468.00,99.05
3467.00,99.05
3466.00,99.05
3465.00,99.04
3464.00,99.04
3463.00,99.04
3462.00,99.04
3461.00,99.05
3460.00,99.05
3459.00,99.05
3458.00,99.05
3457.00,99.05
3456.00,99.05
3455.00,99.05
3454.00,99.04
3453.00,99.04
3452.00,99.04
3451.00,99.04
3450.00,99.04
3449.00,99.04
3448.00,99.04
3447.00,99.04
3446.00,99.04
3445.00,99.05
3444.00,99.05
3443.00,99.05
3442.00,99.05
3441.00,99.04
3440.00,99.04
3439.00,99.04
3438.00,99.04
3437.00,99.04
3436.00,99.04
3435.00,99.04
3434.00,99.04
3433.00,99.04
3432.00,99.04
3431.00,99.04
3430.00,99.04
3429.00,99.03
3428.00,99.03
3427.00,99.03
3426.00,99.03
3425.00,99.03
3424.00,99.03
3423.00,99.03
3422.00,99.03
3421.00,99.03
3420.00,99.03
3419.00,99.03
3418.00,99.03
3417.00,99.03
3416.00,99.03
3415.00,99.04
3414.00,99.04
3413.00,99.04
3412.00,99.03
3411.00,99.03
3410.00,99.03
3409.00,99.03
3408.00,99.03
3407.00,99.02
3406.00,99.02
3405.00,99.02
3404.00,99.03
3403.00,99.03
3402.00,99.03
3401.00,99.03
3400.00,99.03
3399.00,99.03
3398.00,99.03
3397.00,99.03
3396.00,99.03
3395.00,99.03
3394.00,99.03
3393.00,99.04
3392.00,99.04
3391.00,99.04
3390.00,99.04
3389.00,99.04
3388.00,99.03
3387.00,99.03
3386.00,99.03
3385.00,99.03
3384.00,99.03
3383.00,99.03
3382.00,99.03
3381.00,99.03
3380.00,99.03
3379.00,99.03
3378.00,99.03
3377.00,99.03
3376.00,99.03
3375.00,99.02
3374.00,99.02
3373.00,99.02
3372.00,99.02
3371.00,99.03
3370.00,99.03
3369.00,99.02
3368.00,99.02
3367.00,99.02
3366.00,99.02
3365.00,99.02
3364.00,99.02
3363.00,99.02
3362.00,99.02
3361.00,99.02
3360.00,99.02
3359.00,99.02
3358.00,99.02
3357.00,99.02
3356.00,99.02
3355.00,99.02
3354.00,99.02
3353.00,99.02
3352.00,99.02
3351.00,99.02
3350.00,99.01
3349.00,99.01
3348.00,99.01
3347.00,99.01
3346.00,99.01
3345.00,99.01
3344.00,99.01
3343.00,99.01
3342.00,99.01
3341.00,99.01
3340.00,99.01
3339.00,99.01
3338.00,99.01
3337.00,99.02
3336.00,99.02
3335.00,99.02
3334.00,99.02
3333.00,99.02
3332.00,99.02
3331.00,99.02
3330.00,99.02
3329.00,99.03
3328.00,99.03
3327.00,99.03
3326.00,99.03
3325.00,99.03
3324.00,99.02
3323.00,99.02
3322.00,99.02
3321.00,99.02
3320.00,99.01
3319.00,99.01
3318.00,99.01
3317.00,99.02
3316.00,99.02
3315.00,99.02
3314.00,99.02
3313.00,99.02
3312.00,99.02
3311.00,99.02
3310.00,99.02
3309.00,99.02
3308.00,99.02
3307.00,99.02
3306.00,99.02
3305.00,99.02
3304.00,99.02
3303.00,99.02
3302.00,99.02
3301.00,99.02
3300.00,99.02
3299.00,99.02
3298.00,99.02
3297.00,99.02
3296.00,99.02
3295.00,99.02
3294.00,99.01
3293.00,99.01
3292.00,99.01
3291.00,99.00
3290.00,99.00
3289.00,99.00
3288.00,99.01
3287.00,99.01
3286.00,99.01
3285.00,99.02
3284.00,99.02
3283.00,99.02
3282.00,99.02
3281.00,99.02
3280.00,99.02
3279.00,99.02
3278.00,99.02
3277.00,99.02
3276.00,99.01
3275.00,99.01
3274.00,99.01
3273.00,99.00
3272.00,99.00
3271.00,99.01
3270.00,99.01
3269.00,99.01
3268.00,99.01
3267.00,99.01
3266.00,99.01
3265.00,99.01
3264.00,99.01
3263.00,99.01
3262.00,99.01
3261.00,99.01
3260.00,99.01
3259.00,99.01
3258.00,99.01
3257.00,99.01
3256.00,99.01
3255.00,99.01
3254.00,99.01
3253.00,99.01
3252.00,99.02
3251.00,99.02
3250.00,99.02
3249.00,99.02
3248.00,99.02
3247.00,99.01
3246.00,99.01
3245.00,99.01
3244.00,99.01
3243.00,99.02
3242.00,99.02
3241.00,99.02
3240.00,99.01
3239.00,99.01
3238.00,99.00
3237.00,99.00
3236.00,99.00
3235.00,99.00
3234.00,99.00
3233.00,99.00
3232.00,99.00
3231.00,99.00
3230.00,99.00
3229.00,98.99
3228.00,98.99
3227.00,98.99
3226.00,98.99
3225.00,98.98
3224.00,98.98
3223.00,98.98
3222.00,98.97
3221.00,98.97
3220.00,98.97
3219.00,98.97
3218.00,98.97
3217.00,98.97
3216.00,98.96
3215.00,98.96
3214.00,98.96
3213.00,98.95
3212.00,98.95
3211.00,98.95
3210.00,98.94
3209.00,98.94
3208.00,98.95
3207.00,98.95
3206.00,98.95
3205.00,98.95
3204.00,98.94
3203.00,98.94
3202.00,98.94
3201.00,98.94
3200.00,98.94
3199.00,98.94
3198.00,98.94
3197.00,98.94
3196.00,98.94
3195.00,98.94
3194.00,98.94
3193.00,98.94
3192.00,98.94
3191.00,98.94
3190.00,98.94
3189.00,98.94
3188.00,98.94
3187.00,98.95
3186.00,98.95
3185.00,98.95
3184.00,98.95
3183.00,98.95
3182.00,98.95
3181.00,98.95
3180.00,98.95
3179.00,98.95
3178.00,98.95
3177.00,98.95
3176.00,98.95
3175.00,98.95
3174.00,98.95
3173.00,98.95
3172.00,98.94
3171.00,98.94
3170.00,98.95
3169.00,98.95
3168.00,98.96
3167.00,98.96
3166.00,98.96
3165.00,98.96
3164.00,98.96
3163.00,98.96
3162.00,98.95
3161.00,98.95
3160.00,98.95
3159.00,98.95
3158.00,98.95
3157.00,98.94
3156.00,98.94
3155.00,98.94
3154.00,98.94
3153.00,98.94
3152.00,98.94
3151.00,98.94
3150.00,98.94
3149.00,98.94
3148.00,98.94
3147.00,98.94
3146.00,98.94
3145.00,98.94
3144.00,98.94
3143.00,98.95
3142.00,98.95
3141.00,98.95
3140.00,98.95
3139.00,98.95
3138.00,98.95
3137.00,98.96
3136.00,98.96
3135.00,98.96
3134.00,98.96
3133.00,98.96
3132.00,98.97
3131.00,98.97
3130.00,98.97
3129.00,98.97
3128.00,98.97
3127.00,98.97
3126.00,98.97
3125.00,98.97
3124.00,98.97
3123.00,98.97
3122.00,98.97
3121.00,98.97
3120.00,98.98
3119.00,98.98
3118.00,98.98
3117.00,98.98
3116.00,98.98
3115.00,98.98
3114.00,98.98
3113.00,98.98
3112.00,98.98
3111.00,98.98
3110.00,98.98
3109.00,98.98
3108.00,98.99
3107.00,98.99
3106.00,98.99
3105.00,98.99
3104.00,98.99
3103.00,98.99
3102.00,99.00
3101.00,99.00
3100.00,99.00
