Created as New Dataset,PMMA (GF)
cm-1,%T
3648.00,98.95
3647.00,98.94
3646.00,98.93
3645.00,98.92
3644.00,98.91
3643.00,98.90
3642.00,98.89
3641.00,98.88
3640.00,98.87
3639.00,98.85
3638.00,98.84
3637.00,98.83
3636.00,98.81
3635.00,98.80
3634.00,98.79
3633.00,98.78
3632.00,98.77
3631.00,98.75
3630.00,98.74
3629.00,98.74
3628.00,98.73
3627.00,98.74
3626.00,98.74
3625.00,98.74
3624.00,98.75
3623.00,98.75
3622.00,98.75
3621.00,98.75
3620.00,98.75
3619.00,98.75
3618.00,98.76
3617.00,98.76
3616.00,98.77
3615.00,98.78
3614.00,98.79
3613.00,98.80
3612.00,98.81
3611.00,98.82
3610.00,98.83
3609.00,98.84
3608.00,98.86
3607.00,98.88
3606.00,98.89
3605.00,98.90
3604.00,98.91
3603.00,98.92
3602.00,98.94
3601.00,98.95
3600.00,98.96
3599.00,98.96
3598.00,98.97
3597.00,98.98
3596.00,98.99
3595.00,99.00
3594.00,99.01
3593.00,99.02
3592.00,99.02
3591.00,99.02
3590.00,99.03
3589.00,99.03
3588.00,99.03
3587.00,99.03
3586.00,99.03
3585.00,99.04
3584.00,99.05
3583.00,99.06
3582.00,99.06
3581.00,99.06
3580.00,99.06
3579.00,99.05
3578.00,99.05
3577.00,99.04
3576.00,99.04
3575.00,99.03
3574.00,99.01
3573.00,99.00
3572.00,98.99
3571.00,98.98
3570.00,98.97
3569.00,98.96
3568.00,98.95
3567.00,98.94
3566.00,98.93
3565.00,98.93
3564.00,98.92
3563.00,98.91
3562.00,98.90
3561.00,98.89
3560.00,98.89
3559.00,98.89
3558.00,98.88
3557.00,98.88
3556.00,98.88
3555.00,98.88
3554.00,98.88
3553.00,98.88
3552.00,98.87
3551.00,98.87
3550.00,98.88
3549.00,98.88
3548.00,98.89
3547.00,98.89
3546.00,98.90
3545.00,98.91
3544.00,98.93
3543.00,98.94
3542.00,98.96
3541.00,98.97
3540.00,98.98
3539.00,98.98
3538.00,98.99
3537.00,99.00
3536.00,99.01
3535.00,99.03
3534.00,99.04
3533.00,99.05
3532.00,99.06
3531.00,99.06
3530.00,99.07
3529.00,99.08
3528.00,99.09
3527.00,99.10
3526.00,99.11
3525.00,99.12
3524.00,99.13
3523.00,99.14
3522.00,99.15
3521.00,99.16
3520.00,99.17
3519.00,99.18
3518.00,99.19
3517.00,99.19
3516.00,99.20
3515.00,99.20
3514.00,99.20
3513.00,99.21
3512.00,99.21
3511.00,99.21
3510.00,99.22
3509.00,99.22
3508.00,99.22
3507.00,99.23
3506.00,99.23
3505.00,99.24
3504.00,99.24
3503.00,99.25
3502.00,99.25
3501.00,99.25
3500.00,99.25
3499.00,99.25
3498.00,99.25
3497.00,99.25
3496.00,99.25
3495.00,99.25
3494.00,99.25
3493.00,99.25
3492.00,99.25
3491.00,99.25
3490.00,99.25
3489.00,99.25
3488.00,99.25
3487.00,99.25
3486.00,99.24
3485.00,99.24
3484.00,99.24
3483.00,99.24
3482.00,99.24
3481.00,99.24
3480.00,99.24
3479.00,99.23
3478.00,99.22
3477.00,99.21
3476.00,99.20
3475.00,99.20
3474.00,99.20
3473.00,99.20
3472.00,99.21
3471.00,99.21
3470.00,99.22
3469.00,99.22
3468.00,99.20
3467.00,99.18
3466.00,99.16
3465.00,99.13
3464.00,99.11
3463.00,99.10
3462.00,99.09
3461.00,99.08
3460.00,99.07
3459.00,99.05
3458.00,99.03
3457.00,99.01
3456.00,98.99
3455.00,98.98
3454.00,98.96
3453.00,98.95
3452.00,98.93
3451.00,98.92
3450.00,98.91
3449.00,98.90
3448.00,98.88
3447.00,98.87
3446.00,98.86
3445.00,98.85
3444.00,98.84
3443.00,98.84
3442.00,98.84
3441.00,98.85
3440.00,98.87
3439.00,98.89
3438.00,98.91
3437.00,98.93
3436.00,98.94
3435.00,98.94
3434.00,98.95
3433.00,98.95
3432.00,98.96
3431.00,98.98
3430.00,99.00
3429.00,99.02
3428.00,99.03
3427.00,99.04
3426.00,99.06
3425.00,99.08
3424.00,99.09
3423.00,99.11
3422.00,99.14
3421.00,99.16
3420.00,99.17
3419.00,99.19
3418.00,99.21
3417.00,99.24
3416.00,99.26
3415.00,99.28
3414.00,99.30
3413.00,99.31
3412.00,99.32
3411.00,99.33
3410.00,99.34
3409.00,99.35
3408.00,99.35
3407.00,99.36
3406.00,99.37
3405.00,99.38
3404.00,99.39
3403.00,99.40
3402.00,99.41
3401.00,99.42
3400.00,99.42
3399.00,99.42
3398.00,99.42
3397.00,99.43
3396.00,99.44
3395.00,99.44
3394.00,99.45
3393.00,99.46
3392.00,99.46
3391.00,99.46
3390.00,99.46
3389.00,99.45
3388.00,99.45
3387.00,99.45
3386.00,99.45
3385.00,99.45
3384.00,99.45
3383.00,99.46
3382.00,99.46
3381.00,99.47
3380.00,99.47
3379.00,99.48
3378.00,99.48
3377.00,99.49
3376.00,99.49
3375.00,99.49
3374.00,99.49
3373.00,99.49
3372.00,99.49
3371.00,99.49
3370.00,99.49
3369.00,99.49
3368.00,99.49
3367.00,99.49
3366.00,99.49
3365.00,99.49
3364.00,99.49
3363.00,99.50
3362.00,99.50
3361.00,99.50
3360.00,99.50
3359.00,99.50
3358.00,99.51
3357.00,99.51
3356.00,99.52
3355.00,99.52
3354.00,99.52
3353.00,99.52
3352.00,99.52
3351.00,99.52
3350.00,99.52
3349.00,99.53
3348.00,99.53
3347.00,99.53
3346.00,99.53
3345.00,99.53
3344.00,99.53
3343.00,99.53
3342.00,99.53
3341.00,99.53
3340.00,99.53
3339.00,99.53
3338.00,99.53
3337.00,99.54
3336.00,99.54
3335.00,99.54
3334.00,99.54
3333.00,99.54
3332.00,99.53
3331.00,99.53
3330.00,99.53
3329.00,99.53
3328.00,99.54
3327.00,99.54
3326.00,99.54
3325.00,99.54
3324.00,99.54
3323.00,99.54
3322.00,99.54
3321.00,99.54
3320.00,99.55
3319.00,99.55
3318.00,99.55
3317.00,99.55
3316.00,99.55
3315.00,99.56
3314.00,99.56
3313.00,99.56
3312.00,99.56
3311.00,99.56
3310.00,99.56
3309.00,99.56
3308.00,99.56
3307.00,99.56
3306.00,99.56
3305.00,99.56
3304.00,99.56
3303.00,99.56
3302.00,99.56
3301.00,99.56
3300.00,99.56
3299.00,99.56
3298.00,99.56
3297.00,99.57
3296.00,99.57
3295.00,99.58
3294.00,99.58
3293.00,99.58
3292.00,99.58
3291.00,99.57
3290.00,99.57
3289.00,99.57
3288.00,99.57
3287.00,99.57
3286.00,99.58
3285.00,99.58
3284.00,99.58
3283.00,99.58
3282.00,99.58
3281.00,99.58
3280.00,99.58
3279.00,99.58
3278.00,99.58
3277.00,99.58
3276.00,99.58
3275.00,99.58
3274.00,99.58
3273.00,99.59
3272.00,99.59
3271.00,99.59
3270.00,99.59
3269.00,99.59
3268.00,99.58
3267.00,99.58
3266.00,99.57
3265.00,99.57
3264.00,99.57
3263.00,99.57
3262.00,99.58
3261.00,99.58
3260.00,99.58
3259.00,99.58
3258.00,99.58
3257.00,99.59
3256.00,99.59
3255.00,99.59
3254.00,99.59
3253.00,99.59
3252.00,99.59
3251.00,99.59
3250.00,99.58
3249.00,99.59
3248.00,99.59
3247.00,99.59
3246.00,99.59
3245.00,99.59
3244.00,99.59
3243.00,99.59
3242.00,99.59
3241.00,99.59
3240.00,99.59
3239.00,99.59
3238.00,99.59
3237.00,99.59
3236.00,99.59
3235.00,99.59
3234.00,99.59
3233.00,99.59
3232.00,99.58
3231.00,99.58
3230.00,99.58
3229.00,99.59
3228.00,99.59
3227.00,99.60
3226.00,99.59
3225.00,99.59
3224.00,99.59
3223.00,99.59
3222.00,99.59
3221.00,99.59
3220.00,99.59
3219.00,99.59
3218.00,99.59
3217.00,99.58
3216.00,99.58
3215.00,99.58
3214.00,99.58
3213.00,99.58
3212.00,99.59
3211.00,99.59
3210.00,99.59
3209.00,99.59
3208.00,99.59
3207.00,99.59
3206.00,99.59
3205.00,99.60
3204.00,99.60
3203.00,99.59
3202.00,99.59
3201.00,99.59
3200.00,99.59
3199.00,99.59
3198.00,99.59
3197.00,99.59
3196.00,99.59
3195.00,99.59
3194.00,99.59
3193.00,99.59
3192.00,99.59
3191.00,99.59
3190.00,99.59
3189.00,99.59
3188.00,99.58
3187.00,99.59
3186.00,99.59
3185.00,99.59
3184.00,99.59
3183.00,99.59
3182.00,99.59
3181.00,99.59
3180.00,99.58
3179.00,99.57
3178.00,99.57
3177.00,99.57
3176.00,99.57
3175.00,99.57
3174.00,99.57
3173.00,99.57
3172.00,99.57
3171.00,99.57
3170.00,99.57
3169.00,99.56
3168.00,99.56
3167.00,99.56
3166.00,99.56
3165.00,99.56
3164.00,99.56
3163.00,99.56
3162.00,99.56
3161.00,99.56
3160.00,99.56
3159.00,99.56
3158.00,99.56
3157.00,99.56
3156.00,99.56
3155.00,99.56
3154.00,99.56
3153.00,99.56
3152.00,99.56
3151.00,99.56
3150.00,99.56
3149.00,99.56
3148.00,99.55
3147.00,99.55
3146.00,99.56
3145.00,99.56
3144.00,99.56
3143.00,99.57
3142.00,99.57
3141.00,99.56
3140.00,99.56
3139.00,99.56
3138.00,99.56
3137.00,99.56
3136.00,99.56
3135.00,99.56
3134.00,99.56
3133.00,99.55
3132.00,99.55
3131.00,99.54
3130.00,99.54
3129.00,99.54
3128.00,99.54
3127.00,99.54
3126.00,99.53
3125.00,99.53
3124.00,99.53
3123.00,99.53
3122.00,99.53
3121.00,99.53
3120.00,99.53
3119.00,99.52
3118.00,99.52
3117.00,99.51
3116.00,99.51
3115.00,99.51
3114.00,99.51
3113.00,99.51
3112.00,99.51
3111.00,99.50
3110.00,99.50
3109.00,99.50
3108.00,99.49
3107.00,99.48
3106.00,99.47
3105.00,99.47
3104.00,99.47
3103.00,99.47
3102.00,99.47
3101.00,99.47
3100.00,99.47
3099.00,99.46
3098.00,99.46
3097.00,99.46
3096.00,99.45
3095.00,99.45
3094.00,99.45
3093.00,99.44
3092.00,99.44
3091.00,99.43
3090.00,99.43
3089.00,99.42
3088.00,99.42
3087.00,99.42
3086.00,99.41
3085.00,99.41
3084.00,99.41
3083.00,99.40
3082.00,99.40
3081.00,99.39
3080.00,99.38
3079.00,99.38
3078.00,99.37
3077.00,99.36
3076.00,99.35
3075.00,99.35
3074.00,99.34
3073.00,99.33
3072.00,99.32
3071.00,99.31
3070.00,99.29
3069.00,99.28
3068.00,99.27
3067.00,99.25
3066.00,99.23
3065.00,99.21
3064.00,99.20
3063.00,99.18
3062.00,99.16
3061.00,99.14
3060.00,99.12
3059.00,99.09
3058.00,99.06
3057.00,99.02
3056.00,98.99
3055.00,98.96
3054.00,98.92
3053.00,98.88
3052.00,98.83
3051.00,98.78
3050.00,98.73
3049.00,98.67
3048.00,98.60
3047.00,98.54
3046.00,98.47
3045.00,98.39
3044.00,98.31
3043.00,98.22
3042.00,98.13
3041.00,98.03
3040.00,97.93
3039.00,97.82
3038.00,97.72
3037.00,97.60
3036.00,97.48
3035.00,97.35
3034.00,97.22
3033.00,97.08
3032.00,96.94
3031.00,96.80
3030.00,96.65
3029.00,96.50
3028.00,96.35
3027.00,96.19
3026.00,96.02
3025.00,95.86
3024.00,95.70
3023.00,95.53
3022.00,95.36
3021.00,95.18
3020.00,95.00
3019.00,94.82
3018.00,94.64
3017.00,94.44
3016.00,94.24
3015.00,94.04
3014.00,93.83
3013.00,93.60
3012.00,93.37
3011.00,93.12
3010.00,92.87
3009.00,92.62
3008.00,92.37
3007.00,92.11
3006.00,91.85
3005.00,91.59
3004.00,91.35
3003.00,91.12
3002.00,90.90
3001.00,90.71
3000.00,90.54
2999.00,90.39
2998.00,90.27
2997.00,90.18
2996.00,90.12
2995.00,90.09
2994.00,90.11
2993.00,90.16
2992.00,90.24
2991.00,90.37
2990.00,90.53
2989.00,90.73
2988.00,90.97
2987.00,91.23
2986.00,91.52
2985.00,91.82
2984.00,92.13
2983.00,92.45
2982.00,92.75
2981.00,93.04
2980.00,93.30
2979.00,93.52
2978.00,93.71
2977.00,93.84
2976.00,93.92
2975.00,93.95
2974.00,93.93
2973.00,93.85
2972.00,93.72
2971.00,93.53
2970.00,93.30
2969.00,93.02
2968.00,92.70
2967.00,92.34
2966.00,91.94
2965.00,91.50
2964.00,91.02
2963.00,90.50
2962.00,89.94
2961.00,89.35
2960.00,88.74
2959.00,88.10
2958.00,87.45
2957.00,86.81
2956.00,86.19
2955.00,85.62
2954.00,85.13
2953.00,84.74
2952.00,84.49
2951.00,84.40
2950.00,84.48
2949.00,84.73
2948.00,85.14
2947.00,85.68
2946.00,86.29
2945.00,86.93
2944.00,87.55
2943.00,88.12
2942.00,88.60
2941.00,89.01
2940.00,89.33
2939.00,89.58
2938.00,89.77
2937.00,89.92
2936.00,90.04
2935.00,90.13
2934.00,90.21
2933.00,90.27
2932.00,90.34
2931.00,90.40
2930.00,90.45
2929.00,90.50
2928.00,90.55
2927.00,90.59
2926.00,90.62
2925.00,90.64
2924.00,90.66
2923.00,90.66
2922.00,90.67
2921.00,90.67
2920.00,90.70
