Created as New Dataset,PS 280kDa Sigma
cm-1,%T
3648.00,96.52
3647.00,96.52
3646.00,96.53
3645.00,96.53
3644.00,96.53
3643.00,96.54
3642.00,96.54
3641.00,96.55
3640.00,96.56
3639.00,96.57
3638.00,96.57
3637.00,96.57
3636.00,96.57
3635.00,96.57
3634.00,96.57
3633.00,96.57
3632.00,96.57
3631.00,96.58
3630.00,96.57
3629.00,96.57
3628.00,96.57
3627.00,96.57
3626.00,96.57
3625.00,96.57
3624.00,96.57
3623.00,96.57
3622.00,96.57
3621.00,96.57
3620.00,96.57
3619.00,96.57
3618.00,96.57
3617.00,96.57
3616.00,96.57
3615.00,96.57
3614.00,96.58
3613.00,96.59
3612.00,96.59
3611.00,96.60
3610.00,96.59
3609.00,96.59
3608.00,96.59
3607.00,96.60
3606.00,96.60
3605.00,96.61
3604.00,96.61
3603.00,96.60
3602.00,96.60
3601.00,96.60
3600.00,96.60
3599.00,96.61
3598.00,96.61
3597.00,96.61
3596.00,96.61
3595.00,96.61
3594.00,96.62
3593.00,96.63
3592.00,96.63
3591.00,96.63
3590.00,96.62
3589.00,96.62
3588.00,96.62
3587.00,96.62
3586.00,96.63
3585.00,96.63
3584.00,96.64
3583.00,96.64
3582.00,96.64
3581.00,96.64
3580.00,96.64
3579.00,96.64
3578.00,96.64
3577.00,96.64
3576.00,96.64
3575.00,96.64
3574.00,96.64
3573.00,96.64
3572.00,96.64
3571.00,96.64
3570.00,96.64
3569.00,96.64
3568.00,96.64
3567.00,96.64
3566.00,96.64
3565.00,96.64
3564.00,96.65
3563.00,96.65
3562.00,96.65
3561.00,96.66
3560.00,96.66
3559.00,96.66
3558.00,96.66
3557.00,96.66
3556.00,96.66
3555.00,96.66
3554.00,96.66
3553.00,96.66
3552.00,96.66
3551.00,96.66
3550.00,96.66
3549.00,96.66
3548.00,96.65
3547.00,96.65
3546.00,96.65
3545.00,96.65
3544.00,96.65
3543.00,96.65
3542.00,96.66
3541.00,96.66
3540.00,96.66
3539.00,96.66
3538.00,96.66
3537.00,96.66
3536.00,96.66
3535.00,96.65
3534.00,96.65
3533.00,96.65
3532.00,96.65
3531.00,96.65
3530.00,96.65
3529.00,96.65
3528.00,96.65
3527.00,96.66
3526.00,96.66
3525.00,96.66
3524.00,96.66
3523.00,96.66
3522.00,96.65
3521.00,96.65
3520.00,96.65
3519.00,96.65
3518.00,96.65
3517.00,96.65
3516.00,96.66
3515.00,96.66
3514.00,96.66
3513.00,96.66
3512.00,96.66
3511.00,96.65
3510.00,96.65
3509.00,96.66
3508.00,96.66
3507.00,96.66
3506.00,96.66
3505.00,96.65
3504.00,96.65
3503.00,96.65
3502.00,96.66
3501.00,96.66
3500.00,96.66
3499.00,96.66
3498.00,96.65
3497.00,96.65
3496.00,96.65
3495.00,96.65
3494.00,96.65
3493.00,96.65
3492.00,96.65
3491.00,96.65
3490.00,96.65
3489.00,96.65
3488.00,96.65
3487.00,96.65
3486.00,96.65
3485.00,96.65
3484.00,96.65
3483.00,96.65
3482.00,96.65
3481.00,96.64
3480.00,96.64
3479.00,96.64
3478.00,96.65
3477.00,96.65
3476.00,96.65
3475.00,96.65
3474.00,96.65
3473.00,96.65
3472.00,96.65
3471.00,96.65
3470.00,96.65
3469.00,96.64
3468.00,96.64
3467.00,96.65
3466.00,96.65
3465.00,96.65
3464.00,96.65
3463.00,96.65
3462.00,96.65
3461.00,96.64
3460.00,96.64
3459.00,96.64
3458.00,96.63
3457.00,96.63
3456.00,96.63
3455.00,96.63
3454.00,96.63
3453.00,96.64
3452.00,96.64
3451.00,96.64
3450.00,96.64
3449.00,96.64
3448.00,96.64
3447.00,96.63
3446.00,96.63
3445.00,96.62
3444.00,96.62
3443.00,96.63
3442.00,96.63
3441.00,96.64
3440.00,96.64
3439.00,96.64
3438.00,96.64
3437.00,96.64
3436.00,96.65
3435.00,96.65
3434.00,96.65
3433.00,96.64
3432.00,96.64
3431.00,96.64
3430.00,96.64
3429.00,96.64
3428.00,96.64
3427.00,96.64
3426.00,96.64
3425.00,96.64
3424.00,96.64
3423.00,96.64
3422.00,96.64
3421.00,96.63
3420.00,96.63
3419.00,96.63
3418.00,96.64
3417.00,96.64
3416.00,96.64
3415.00,96.65
3414.00,96.65
3413.00,96.65
3412.00,96.64
3411.00,96.64
3410.00,96.63
3409.00,96.63
3408.00,96.63
3407.00,96.64
3406.00,96.64
3405.00,96.65
3404.00,96.65
3403.00,96.65
3402.00,96.65
3401.00,96.64
3400.00,96.64
3399.00,96.64
3398.00,96.64
3397.00,96.64
3396.00,96.64
3395.00,96.64
3394.00,96.64
3393.00,96.64
3392.00,96.64
3391.00,96.64
3390.00,96.65
3389.00,96.65
3388.00,96.64
3387.00,96.64
3386.00,96.63
3385.00,96.63
3384.00,96.63
3383.00,96.63
3382.00,96.64
3381.00,96.64
3380.00,96.64
3379.00,96.64
3378.00,96.63
3377.00,96.63
3376.00,96.63
3375.00,96.64
3374.00,96.64
3373.00,96.64
3372.00,96.64
3371.00,96.63
3370.00,96.63
3369.00,96.64
3368.00,96.64
3367.00,96.64
3366.00,96.64
3365.00,96.63
3364.00,96.63
3363.00,96.63
3362.00,96.62
3361.00,96.62
3360.00,96.62
3359.00,96.62
3358.00,96.62
3357.00,96.62
3356.00,96.62
3355.00,96.62
3354.00,96.62
