Created as New Dataset,EVOH (32 mol% ethylene) Sigma
cm-1,%T
3649.00,99.54
3648.00,99.53
3647.00,99.52
3646.00,99.52
3645.00,99.52
3644.00,99.52
3643.00,99.51
3642.00,99.51
3641.00,99.51
3640.00,99.51
3639.00,99.50
3638.00,99.50
3637.00,99.50
3636.00,99.49
3635.00,99.48
3634.00,99.47
3633.00,99.46
3632.00,99.45
3631.00,99.44
3630.00,99.42
3629.00,99.41
3628.00,99.40
3627.00,99.39
3626.00,99.38
3625.00,99.37
3624.00,99.37
3623.00,99.36
3622.00,99.35
3621.00,99.34
3620.00,99.33
3619.00,99.33
3618.00,99.32
3617.00,99.31
3616.00,99.30
3615.00,99.29
3614.00,99.29
3613.00,99.28
3612.00,99.27
3611.00,99.27
3610.00,99.26
3609.00,99.26
3608.00,99.25
3607.00,99.24
3606.00,99.22
3605.00,99.21
3604.00,99.21
3603.00,99.20
3602.00,99.19
3601.00,99.19
3600.00,99.18
3599.00,99.17
3598.00,99.17
3597.00,99.16
3596.00,99.14
3595.00,99.13
3594.00,99.12
3593.00,99.11
3592.00,99.11
3591.00,99.11
3590.00,99.10
3589.00,99.09
3588.00,99.07
3587.00,99.06
3586.00,99.04
3585.00,99.03
3584.00,99.02
3583.00,99.01
3582.00,99.00
3581.00,98.99
3580.00,98.98
3579.00,98.97
3578.00,98.96
3577.00,98.95
3576.00,98.93
3575.00,98.92
3574.00,98.91
3573.00,98.90
3572.00,98.88
3571.00,98.87
3570.00,98.85
3569.00,98.82
3568.00,98.80
3567.00,98.77
3566.00,98.75
3565.00,98.73
3564.00,98.71
3563.00,98.70
3562.00,98.68
3561.00,98.67
3560.00,98.66
3559.00,98.64
3558.00,98.63
3557.00,98.61
3556.00,98.59
3555.00,98.57
3554.00,98.55
3553.00,98.53
3552.00,98.50
3551.00,98.48
3550.00,98.46
3549.00,98.43
3548.00,98.41
3547.00,98.38
3546.00,98.36
3545.00,98.33
3544.00,98.30
3543.00,98.28
3542.00,98.26
3541.00,98.23
3540.00,98.21
3539.00,98.19
3538.00,98.16
3537.00,98.13
3536.00,98.11
3535.00,98.08
3534.00,98.05
3533.00,98.02
3532.00,98.00
3531.00,97.97
3530.00,97.94
3529.00,97.91
3528.00,97.88
3527.00,97.85
3526.00,97.81
3525.00,97.78
3524.00,97.75
3523.00,97.72
3522.00,97.69
3521.00,97.66
3520.00,97.63
3519.00,97.60
3518.00,97.57
3517.00,97.54
3516.00,97.50
3515.00,97.47
3514.00,97.44
3513.00,97.41
3512.00,97.38
3511.00,97.35
3510.00,97.31
3509.00,97.28
3508.00,97.24
3507.00,97.21
3506.00,97.18
3505.00,97.14
3504.00,97.11
3503.00,97.07
3502.00,97.03
3501.00,97.00
3500.00,96.96
3499.00,96.93
3498.00,96.90
3497.00,96.87
3496.00,96.83
3495.00,96.80
3494.00,96.77
3493.00,96.73
3492.00,96.70
3491.00,96.66
3490.00,96.62
3489.00,96.59
3488.00,96.55
3487.00,96.51
3486.00,96.48
3485.00,96.44
3484.00,96.41
3483.00,96.37
3482.00,96.33
3481.00,96.29
3480.00,96.25
3479.00,96.22
3478.00,96.19
3477.00,96.15
3476.00,96.12
3475.00,96.08
3474.00,96.05
3473.00,96.01
3472.00,95.98
3471.00,95.94
3470.00,95.91
3469.00,95.87
3468.00,95.83
3467.00,95.79
3466.00,95.76
3465.00,95.72
3464.00,95.69
3463.00,95.65
3462.00,95.61
3461.00,95.58
3460.00,95.55
3459.00,95.51
3458.00,95.48
3457.00,95.44
3456.00,95.41
3455.00,95.37
3454.00,95.33
3453.00,95.30
3452.00,95.26
3451.00,95.23
3450.00,95.20
3449.00,95.16
3448.00,95.11
3447.00,95.07
3446.00,95.03
