Created as New Dataset,PP film GF
cm-1,%T
2956.00,76.07
2955.00,74.86
2954.00,73.27
2953.00,71.51
2952.00,69.90
2951.00,68.75
2950.00,68.33
2949.00,68.75
2948.00,70.00
2947.00,71.89
2946.00,74.17
2945.00,76.55
2944.00,78.80
2943.00,80.76
2942.00,82.33
2941.00,83.49
2940.00,84.24
2939.00,84.63
2938.00,84.69
2937.00,84.44
2936.00,83.91
2935.00,83.12
2934.00,82.08
2933.00,80.82
2932.00,79.36
2931.00,77.74
2930.00,76.01
2929.00,74.26
2928.00,72.53
2927.00,70.90
2926.00,69.37
2925.00,67.95
2924.00,66.59
2923.00,65.23
2922.00,63.88
2921.00,62.56
2920.00,61.40
2919.00,60.57
2918.00,60.25
2917.00,60.55
2916.00,61.43
2915.00,62.76
2914.00,64.31
2913.00,65.89
2912.00,67.33
2911.00,68.58
2910.00,69.64
2909.00,70.58
2908.00,71.48
2907.00,72.41
2906.00,73.39
2905.00,74.43
2904.00,75.51
2903.00,76.60
2902.00,77.67
2901.00,78.71
2900.00,79.70
2899.00,80.63
2898.00,81.48
2897.00,82.23
2896.00,82.86
2895.00,83.37
2894.00,83.74
2893.00,83.99
2892.00,84.12
2891.00,84.15
2890.00,84.10
2889.00,83.99
2888.00,83.85
2887.00,83.67
2886.00,83.46
2885.00,83.21
2884.00,82.92
2883.00,82.58
2882.00,82.20
2881.00,81.80
2880.00,81.44
2879.00,81.18
2878.00,81.06
2877.00,81.08
2876.00,81.22
2875.00,81.38
2874.00,81.48
2873.00,81.46
2872.00,81.27
2871.00,80.94
2870.00,80.50
2869.00,80.04
2868.00,79.68
2867.00,79.58
2866.00,79.88
2865.00,80.68
2864.00,81.94
2863.00,83.54
2862.00,85.28
2861.00,86.97
2860.00,88.48
2859.00,89.72
2858.00,90.68
2857.00,91.37
2856.00,91.83
2855.00,92.09
2854.00,92.17
2853.00,92.11
2852.00,91.89
2851.00,91.55
2850.00,91.07
2849.00,90.45
2848.00,89.69
2847.00,88.76
2846.00,87.67
2845.00,86.44
2844.00,85.10
2843.00,83.73
2842.00,82.43
2841.00,81.34
2840.00,80.58
2839.00,80.26
2838.00,80.46
2837.00,81.19
2836.00,82.37
2835.00,83.87
2834.00,85.53
2833.00,87.20
2832.00,88.74
2831.00,90.09
2830.00,91.23
2829.00,92.18
2828.00,92.95
2827.00,93.58
2826.00,94.10
2825.00,94.54
2824.00,94.90
2823.00,95.20
2822.00,95.47
2821.00,95.69
2820.00,95.89
2819.00,96.06
2818.00,96.20
2817.00,96.33
2816.00,96.44
2815.00,96.55
2814.00,96.64
2813.00,96.73
2812.00,96.82
2811.00,96.91
2810.00,97.01
2809.00,97.10
2808.00,97.20
2807.00,97.31
2806.00,97.43
2805.00,97.54
2804.00,97.66
2803.00,97.76
2802.00,97.85
2801.00,97.92
2800.00,97.99
2799.00,98.04
2798.00,98.09
2797.00,98.13
2796.00,98.16
2795.00,98.20
2794.00,98.24
2793.00,98.28
2792.00,98.33
2791.00,98.38
2790.00,98.43
2789.00,98.48
2788.00,98.54
2787.00,98.59
2786.00,98.63
2785.00,98.68
2784.00,98.72
2783.00,98.76
2782.00,98.79
2781.00,98.82
2780.00,98.85
2779.00,98.88
2778.00,98.90
2777.00,98.93
2776.00,98.95
2775.00,98.97
2774.00,98.98
2773.00,98.99
2772.00,99.00
2771.00,99.01
2770.00,99.02
2769.00,99.03
2768.00,99.04
2767.00,99.04
2766.00,99.05
2765.00,99.06
2764.00,99.07
2763.00,99.08
2762.00,99.08
2761.00,99.09
2760.00,99.10
2759.00,99.11
2758.00,99.12
2757.00,99.13
2756.00,99.14
2755.00,99.14
2754.00,99.14
2753.00,99.15
2752.00,99.15
2751.00,99.15
2750.00,99.15
2749.00,99.15
2748.00,99.14
2747.00,99.13
2746.00,99.12
2745.00,99.11
2744.00,99.09
2743.00,99.07
2742.00,99.05
2741.00,99.03
2740.00,99.00
2739.00,98.97
2738.00,98.95
2737.00,98.92
2736.00,98.89
2735.00,98.86
2734.00,98.84
2733.00,98.80
2732.00,98.77
2731.00,98.73
2730.00,98.69
2729.00,98.64
2728.00,98.58
2727.00,98.53
2726.00,98.47
2725.00,98.43
2724.00,98.39
2723.00,98.38
2722.00,98.39
2721.00,98.42
2720.00,98.47
2719.00,98.53
2718.00,98.59
2717.00,98.66
2716.00,98.72
2715.00,98.78
2714.00,98.83
2713.00,98.88
2712.00,98.92
2711.00,98.95
2710.00,98.99
2709.00,99.02
2708.00,99.04
2707.00,99.07
2706.00,99.09
2705.00,99.11
2704.00,99.13
2703.00,99.14
2702.00,99.16
2701.00,99.17
2700.00,99.18
2699.00,99.20
2698.00,99.20
2697.00,99.21
2696.00,99.21
2695.00,99.22
2694.00,99.22
2693.00,99.22
2692.00,99.22
2691.00,99.22
2690.00,99.22
2689.00,99.22
2688.00,99.22
2687.00,99.21
2686.00,99.21
2685.00,99.21
2684.00,99.21
2683.00,99.20
2682.00,99.20
2681.00,99.19
2680.00,99.19
2679.00,99.19
2678.00,99.18
2677.00,99.18
2676.00,99.18
2675.00,99.19
2674.00,99.19
2673.00,99.20
2672.00,99.20
2671.00,99.21
2670.00,99.21
2669.00,99.21
2668.00,99.20
2667.00,99.20
2666.00,99.19
2665.00,99.18
2664.00,99.17
2663.00,99.16
2662.00,99.15
2661.00,99.14
2660.00,99.13
2659.00,99.13
2658.00,99.14
2657.00,99.14
2656.00,99.15
2655.00,99.16
2654.00,99.17
2653.00,99.18
2652.00,99.19
2651.00,99.20
2650.00,99.21
2649.00,99.21
2648.00,99.22
2647.00,99.22
2646.00,99.23
2645.00,99.23
2644.00,99.24
2643.00,99.24
2642.00,99.25
2641.00,99.26
2640.00,99.27
2639.00,99.28
2638.00,99.28
2637.00,99.28
2636.00,99.28
2635.00,99.28
2634.00,99.28
2633.00,99.27
2632.00,99.26
2631.00,99.26
2630.00,99.25
2629.00,99.24
2628.00,99.23
2627.00,99.23
2626.00,99.22
2625.00,99.21
2624.00,99.21
2623.00,99.20
2622.00,99.19
2621.00,99.19
2620.00,99.18
2619.00,99.18
2618.00,99.18
2617.00,99.17
2616.00,99.17
2615.00,99.17
2614.00,99.17
2613.00,99.18
2612.00,99.19
2611.00,99.20
2610.00,99.21
2609.00,99.23
2608.00,99.25
2607.00,99.26
2606.00,99.28
2605.00,99.29
2604.00,99.30
2603.00,99.31
2602.00,99.32
2601.00,99.33
2600.00,99.33
2599.00,99.34
2598.00,99.34
2597.00,99.33
2596.00,99.33
2595.00,99.32
2594.00,99.31
2593.00,99.29
2592.00,99.28
2591.00,99.26
2590.00,99.24
2589.00,99.22
2588.00,99.20
2587.00,99.18
2586.00,99.15
2585.00,99.12
2584.00,99.10
2583.00,99.09
2582.00,99.09
2581.00,99.09
2580.00,99.11
2579.00,99.13
2578.00,99.16
2577.00,99.19
2576.00,99.22
2575.00,99.24
2574.00,99.27
2573.00,99.29
2572.00,99.31
2571.00,99.33
2570.00,99.34
2569.00,99.36
2568.00,99.37
2567.00,99.39
2566.00,99.40
2565.00,99.41
2564.00,99.41
2563.00,99.41
2562.00,99.42
2561.00,99.42
2560.00,99.43
2559.00,99.43
2558.00,99.43
2557.00,99.43
2556.00,99.44
2555.00,99.44
2554.00,99.45
2553.00,99.45
2552.00,99.46
2551.00,99.47
2550.00,99.48
2549.00,99.48
2548.00,99.48
2547.00,99.49
2546.00,99.50
2545.00,99.50
2544.00,99.51
2543.00,99.52
2542.00,99.52
2541.00,99.53
2540.00,99.54
2539.00,99.54
2538.00,99.55
2537.00,99.55
2536.00,99.56
2535.00,99.56
2534.00,99.56
2533.00,99.56
2532.00,99.56
2531.00,99.56
2530.00,99.57
2529.00,99.57
2528.00,99.57
2527.00,99.58
2526.00,99.58
2525.00,99.58
2524.00,99.58
2523.00,99.59
2522.00,99.60
2521.00,99.61
2520.00,99.61
2519.00,99.62
2518.00,99.63
2517.00,99.63
2516.00,99.64
2515.00,99.64
2514.00,99.64
2513.00,99.64
2512.00,99.64
2511.00,99.65
2510.00,99.65
2509.00,99.65
2508.00,99.65
2507.00,99.65
2506.00,99.65
2505.00,99.66
2504.00,99.66
2503.00,99.66
2502.00,99.65
2501.00,99.65
2500.00,99.65
2499.00,99.65
2498.00,99.65
2497.00,99.65
2496.00,99.64
2495.00,99.64
2494.00,99.64
2493.00,99.64
2492.00,99.64
2491.00,99.64
2490.00,99.64
2489.00,99.64
2488.00,99.64
2487.00,99.65
2486.00,99.65
2485.00,99.65
2484.00,99.65
2483.00,99.65
2482.00,99.65
2481.00,99.65
2480.00,99.65
2479.00,99.66
2478.00,99.66
2477.00,99.67
2476.00,99.67
2475.00,99.67
2474.00,99.68
2473.00,99.68
2472.00,99.68
2471.00,99.68
2470.00,99.68
2469.00,99.67
2468.00,99.67
2467.00,99.67
2466.00,99.67
2465.00,99.67
2464.00,99.67
2463.00,99.68
2462.00,99.67
