Created as New Dataset,PE pellet 124kDa Alfa Aesar
cm-1,%T
3649.00,99.60
3648.00,99.59
3647.00,99.59
3646.00,99.59
3645.00,99.59
3644.00,99.59
3643.00,99.60
3642.00,99.61
3641.00,99.62
3640.00,99.62
3639.00,99.63
3638.00,99.63
3637.00,99.64
3636.00,99.64
3635.00,99.64
3634.00,99.64
3633.00,99.64
3632.00,99.64
3631.00,99.64
3630.00,99.64
3629.00,99.65
3628.00,99.65
3627.00,99.64
3626.00,99.64
3625.00,99.64
3624.00,99.63
3623.00,99.63
3622.00,99.62
3621.00,99.61
3620.00,99.60
3619.00,99.60
3618.00,99.59
3617.00,99.59
3616.00,99.59
3615.00,99.58
3614.00,99.58
3613.00,99.57
3612.00,99.56
3611.00,99.55
3610.00,99.54
3609.00,99.53
3608.00,99.52
3607.00,99.52
3606.00,99.51
3605.00,99.51
3604.00,99.51
3603.00,99.52
3602.00,99.53
3601.00,99.55
3600.00,99.56
3599.00,99.58
3598.00,99.59
3597.00,99.61
3596.00,99.62
3595.00,99.63
3594.00,99.65
3593.00,99.65
3592.00,99.66
3591.00,99.66
3590.00,99.66
3589.00,99.67
3588.00,99.67
3587.00,99.68
3586.00,99.69
3585.00,99.69
3584.00,99.70
3583.00,99.70
3582.00,99.71
3581.00,99.71
3580.00,99.71
3579.00,99.71
3578.00,99.71
3577.00,99.71
3576.00,99.71
3575.00,99.71
3574.00,99.71
3573.00,99.71
3572.00,99.71
3571.00,99.71
3570.00,99.71
3569.00,99.71
3568.00,99.71
3567.00,99.71
3566.00,99.71
3565.00,99.71
3564.00,99.71
3563.00,99.72
3562.00,99.72
3561.00,99.72
3560.00,99.72
3559.00,99.72
3558.00,99.72
3557.00,99.72
3556.00,99.72
3555.00,99.72
3554.00,99.72
3553.00,99.72
3552.00,99.72
3551.00,99.72
3550.00,99.71
3549.00,99.71
3548.00,99.71
3547.00,99.71
3546.00,99.71
3545.00,99.71
3544.00,99.71
3543.00,99.72
3542.00,99.72
3541.00,99.72
3540.00,99.72
3539.00,99.72
3538.00,99.72
3537.00,99.72
3536.00,99.72
3535.00,99.71
3534.00,99.71
3533.00,99.71
3532.00,99.71
3531.00,99.71
3530.00,99.71
3529.00,99.71
3528.00,99.70
3527.00,99.70
3526.00,99.70
3525.00,99.70
3524.00,99.70
3523.00,99.70
3522.00,99.70
3521.00,99.70
3520.00,99.70
3519.00,99.70
3518.00,99.69
3517.00,99.69
3516.00,99.69
3515.00,99.69
3514.00,99.69
3513.00,99.69
3512.00,99.68
3511.00,99.68
3510.00,99.69
3509.00,99.69
3508.00,99.69
3507.00,99.69
3506.00,99.69
3505.00,99.69
3504.00,99.69
3503.00,99.69
3502.00,99.69
3501.00,99.69
3500.00,99.69
3499.00,99.69
3498.00,99.69
3497.00,99.69
3496.00,99.69
3495.00,99.68
3494.00,99.68
3493.00,99.68
3492.00,99.68
3491.00,99.69
3490.00,99.69
3489.00,99.69
3488.00,99.69
3487.00,99.69
3486.00,99.69
3485.00,99.68
3484.00,99.68
3483.00,99.68
3482.00,99.67
3481.00,99.67
3480.00,99.67
3479.00,99.67
3478.00,99.67
3477.00,99.67
3476.00,99.67
3475.00,99.67
3474.00,99.67
3473.00,99.67
3472.00,99.67
3471.00,99.67
3470.00,99.67
3469.00,99.67
3468.00,99.67
3467.00,99.67
3466.00,99.67
3465.00,99.67
3464.00,99.66
3463.00,99.66
3462.00,99.66
3461.00,99.66
3460.00,99.65
3459.00,99.65
3458.00,99.65
3457.00,99.65
3456.00,99.65
3455.00,99.65
3454.00,99.65
3453.00,99.65
3452.00,99.65
3451.00,99.65
3450.00,99.65
3449.00,99.65
3448.00,99.65
3447.00,99.65
3446.00,99.65
3445.00,99.65
3444.00,99.65
3443.00,99.65
3442.00,99.65
3441.00,99.64
3440.00,99.64
3439.00,99.64
3438.00,99.64
3437.00,99.64
3436.00,99.64
3435.00,99.64
3434.00,99.65
3433.00,99.65
3432.00,99.65
3431.00,99.65
3430.00,99.65
3429.00,99.65
3428.00,99.65
3427.00,99.65
3426.00,99.65
3425.00,99.65
3424.00,99.65
3423.00,99.65
3422.00,99.65
3421.00,99.65
3420.00,99.65
3419.00,99.65
3418.00,99.64
3417.00,99.64
3416.00,99.64
3415.00,99.64
3414.00,99.64
3413.00,99.64
3412.00,99.64
3411.00,99.64
3410.00,99.63
3409.00,99.63
3408.00,99.63
3407.00,99.63
3406.00,99.63
3405.00,99.63
3404.00,99.63
3403.00,99.63
3402.00,99.63
3401.00,99.63
3400.00,99.63
3399.00,99.63
3398.00,99.63
3397.00,99.63
3396.00,99.63
3395.00,99.63
3394.00,99.63
3393.00,99.63
3392.00,99.63
3391.00,99.63
3390.00,99.63
3389.00,99.63
3388.00,99.63
3387.00,99.62
3386.00,99.62
3385.00,99.62
3384.00,99.62
3383.00,99.62
3382.00,99.63
3381.00,99.62
3380.00,99.62
3379.00,99.62
3378.00,99.63
3377.00,99.63
3376.00,99.62
3375.00,99.62
3374.00,99.62
3373.00,99.61
3372.00,99.61
3371.00,99.61
3370.00,99.61
3369.00,99.61
3368.00,99.61
3367.00,99.62
3366.00,99.62
3365.00,99.62
3364.00,99.62
3363.00,99.62
3362.00,99.62
3361.00,99.61
