Created as New Dataset,Sample 001 By Administrator Date Wednesday, May 03 2023
cm-1,A
3713.00,-0.0011
3712.00,-0.0011
3711.00,-0.0011
3710.00,-0.0011
3709.00,-0.0012
3708.00,-0.0012
3707.00,-0.0011
3706.00,-0.0011
3705.00,-0.0011
3704.00,-0.0011
3703.00,-0.0011
3702.00,-0.0011
3701.00,-0.0011
3700.00,-0.0011
3699.00,-0.0011
3698.00,-0.0011
3697.00,-0.0011
3696.00,-0.0011
3695.00,-0.0011
3694.00,-0.0011
3693.00,-0.0010
3692.00,-0.0010
3691.00,-0.0009
3690.00,-0.0009
3689.00,-0.0009
3688.00,-0.0009
3687.00,-0.0010
3686.00,-0.0010
3685.00,-0.0010
3684.00,-0.0010
3683.00,-0.0010
3682.00,-0.0010
3681.00,-0.0010
3680.00,-0.0010
3679.00,-0.0009
3678.00,-0.0009
3677.00,-0.0009
3676.00,-0.0009
3675.00,-0.0008
3674.00,-0.0008
3673.00,-0.0008
3672.00,-0.0008
3671.00,-0.0009
3670.00,-0.0009
3669.00,-0.0009
3668.00,-0.0010
3667.00,-0.0010
3666.00,-0.0010
3665.00,-0.0010
3664.00,-0.0010
3663.00,-0.0010
3662.00,-0.0010
3661.00,-0.0010
3660.00,-0.0011
3659.00,-0.0011
3658.00,-0.0011
3657.00,-0.0011
3656.00,-0.0011
3655.00,-0.0010
3654.00,-0.0010
3653.00,-0.0010
3652.00,-0.0009
3651.00,-0.0009
3650.00,-0.0009
3649.00,-0.0009
3648.00,-0.0009
3647.00,-0.0010
3646.00,-0.0011
3645.00,-0.0011
3644.00,-0.0012
3643.00,-0.0012
3642.00,-0.0012
3641.00,-0.0011
3640.00,-0.0011
3639.00,-0.0011
3638.00,-0.0011
3637.00,-0.0011
3636.00,-0.0011
3635.00,-0.0012
3634.00,-0.0011
3633.00,-0.0011
3632.00,-0.0010
3631.00,-0.0010
3630.00,-0.0010
3629.00,-0.0010
3628.00,-0.0010
3627.00,-0.0010
3626.00,-0.0011
3625.00,-0.0011
3624.00,-0.0011
3623.00,-0.0011
3622.00,-0.0011
3621.00,-0.0010
3620.00,-0.0010
3619.00,-0.0010
3618.00,-0.0010
3617.00,-0.0010
3616.00,-0.0010
3615.00,-0.0010
3614.00,-0.0010
3613.00,-0.0010
3612.00,-0.0010
3611.00,-0.0010
3610.00,-0.0009
3609.00,-0.0009
3608.00,-0.0010
3607.00,-0.0010
3606.00,-0.0011
3605.00,-0.0011
3604.00,-0.0011
3603.00,-0.0012
3602.00,-0.0012
3601.00,-0.0012
3600.00,-0.0012
3599.00,-0.0012
3598.00,-0.0011
3597.00,-0.0011
3596.00,-0.0011
3595.00,-0.0011
3594.00,-0.0011
3593.00,-0.0011
3592.00,-0.0011
3591.00,-0.0011
3590.00,-0.0010
3589.00,-0.0010
3588.00,-0.0010
3587.00,-0.0009
3586.00,-0.0010
3585.00,-0.0010
3584.00,-0.0011
3583.00,-0.0011
3582.00,-0.0011
3581.00,-0.0011
3580.00,-0.0010
3579.00,-0.0010
3578.00,-0.0011
3577.00,-0.0011
3576.00,-0.0011
3575.00,-0.0011
3574.00,-0.0011
3573.00,-0.0011
3572.00,-0.0011
3571.00,-0.0010
3570.00,-0.0010
3569.00,-0.0010
3568.00,-0.0009
3567.00,-0.0009
3566.00,-0.0010
3565.00,-0.0010
3564.00,-0.0010
3563.00,-0.0011
3562.00,-0.0010
3561.00,-0.0010
3560.00,-0.0010
3559.00,-0.0010
3558.00,-0.0010
3557.00,-0.0010
3556.00,-0.0011
3555.00,-0.0011
3554.00,-0.0011
3553.00,-0.0011
3552.00,-0.0010
3551.00,-0.0010
3550.00,-0.0010
3549.00,-0.0009
3548.00,-0.0009
3547.00,-0.0009
3546.00,-0.0009
3545.00,-0.0009
3544.00,-0.0009
3543.00,-0.0009
3542.00,-0.0009
3541.00,-0.0009
3540.00,-0.0009
3539.00,-0.0009
3538.00,-0.0009
3537.00,-0.0009
3536.00,-0.0009
3535.00,-0.0009
3534.00,-0.0009
3533.00,-0.0009
3532.00,-0.0009
3531.00,-0.0009
3530.00,-0.0009
3529.00,-0.0009
3528.00,-0.0009
3527.00,-0.0009
3526.00,-0.0009
3525.00,-0.0010
3524.00,-0.0010
3523.00,-0.0009
3522.00,-0.0009
3521.00,-0.0009
3520.00,-0.0009
3519.00,-0.0009
3518.00,-0.0009
3517.00,-0.0009
3516.00,-0.0009
3515.00,-0.0008
3514.00,-0.0008
3513.00,-0.0008
3512.00,-0.0007
3511.00,-0.0008
3510.00,-0.0008
3509.00,-0.0008
3508.00,-0.0008
3507.00,-0.0008
3506.00,-0.0009
3505.00,-0.0009
3504.00,-0.0009
3503.00,-0.0009
3502.00,-0.0009
3501.00,-0.0008
3500.00,-0.0008
3499.00,-0.0008
3498.00,-0.0008
3497.00,-0.0008
3496.00,-0.0008
3495.00,-0.0008
3494.00,-0.0008
3493.00,-0.0008
3492.00,-0.0007
3491.00,-0.0007
3490.00,-0.0008
3489.00,-0.0008
3488.00,-0.0008
3487.00,-0.0008
3486.00,-0.0008
3485.00,-0.0007
3484.00,-0.0007
3483.00,-0.0007
3482.00,-0.0007
3481.00,-0.0007
3480.00,-0.0007
3479.00,-0.0007
3478.00,-0.0006
3477.00,-0.0006
3476.00,-0.0005
3475.00,-0.0005
3474.00,-0.0005
3473.00,-0.0005
3472.00,-0.0005
3471.00,-0.0005
3470.00,-0.0005
3469.00,-0.0006
3468.00,-0.0006
3467.00,-0.0006
3466.00,-0.0006
3465.00,-0.0006
3464.00,-0.0006
3463.00,-0.0005
3462.00,-0.0005
3461.00,-0.0005
3460.00,-0.0005
3459.00,-0.0005
3458.00,-0.0005
3457.00,-0.0005
3456.00,-0.0005
3455.00,-0.0005
3454.00,-0.0004
3453.00,-0.0004
3452.00,-0.0004
3451.00,-0.0004
3450.00,-0.0004
3449.00,-0.0004
3448.00,-0.0004
3447.00,-0.0004
3446.00,-0.0004
3445.00,-0.0004
3444.00,-0.0005
3443.00,-0.0005
3442.00,-0.0005
3441.00,-0.0005
3440.00,-0.0005
3439.00,-0.0005
3438.00,-0.0004
3437.00,-0.0004
3436.00,-0.0004
3435.00,-0.0005
3434.00,-0.0004
3433.00,-0.0004
3432.00,-0.0004
3431.00,-0.0003
3430.00,-0.0003
3429.00,-0.0004
3428.00,-0.0004
3427.00,-0.0003
3426.00,-0.0003
3425.00,-0.0003
3424.00,-0.0003
3423.00,-0.0003
3422.00,-0.0004
3421.00,-0.0004
3420.00,-0.0004
3419.00,-0.0004
3418.00,-0.0004
3417.00,-0.0004
3416.00,-0.0004
3415.00,-0.0004
3414.00,-0.0004
3413.00,-0.0004
3412.00,-0.0004
3411.00,-0.0004
3410.00,-0.0004
3409.00,-0.0004
3408.00,-0.0004
3407.00,-0.0004
3406.00,-0.0004
3405.00,-0.0003
3404.00,-0.0003
3403.00,-0.0003
3402.00,-0.0003
3401.00,-0.0003
3400.00,-0.0003
3399.00,-0.0003
3398.00,-0.0004
3397.00,-0.0004
3396.00,-0.0003
3395.00,-0.0003
3394.00,-0.0003
3393.00,-0.0003
3392.00,-0.0002
3391.00,-0.0002
3390.00,-0.0002
3389.00,-0.0002
3388.00,-0.0002
3387.00,-0.0002
3386.00,-0.0002
3385.00,-0.0002
3384.00,-0.0003
3383.00,-0.0003
3382.00,-0.0003
3381.00,-0.0003
3380.00,-0.0002
3379.00,-0.0002
3378.00,-0.0002
3377.00,-0.0002
3376.00,-0.0002
3375.00,-0.0002
3374.00,-0.0001
3373.00,-0.0001
3372.00,-0.0001
3371.00,-0.0001
3370.00,-0.0001
3369.00,-0.0001
3368.00,-0.0001
3367.00,-0.0001
3366.00,-0.0002
3365.00,-0.0002
3364.00,-0.0002
3363.00,-0.0001
3362.00,-0.0001
3361.00,-0.0001
3360.00,-0.0001
3359.00,-0.0001
3358.00,-0.0001
3357.00,-0.0001
3356.00,-0.0001
3355.00,-0.0000
3354.00,-0.0000
3353.00,-0.0000
3352.00,-0.0000
3351.00,-0.0000
3350.00,-0.0000
3349.00,0.0000
3348.00,0.0000
3347.00,0.0000
3346.00,0.0000
3345.00,0.0000
3344.00,0.0000
3343.00,0.0000
3342.00,0.0000
3341.00,0.0001
3340.00,0.0001
3339.00,0.0001
3338.00,0.0001
3337.00,0.0001
3336.00,0.0001
3335.00,0.0001
3334.00,0.0001
3333.00,0.0001
3332.00,0.0002
3331.00,0.0001
3330.00,0.0001
3329.00,0.0001
3328.00,0.0001
3327.00,0.0001
3326.00,0.0001
3325.00,0.0001
3324.00,0.0002
3323.00,0.0002
3322.00,0.0003
3321.00,0.0003
3320.00,0.0002
3319.00,0.0002
3318.00,0.0001
3317.00,0.0001
3316.00,0.0001
3315.00,0.0001
3314.00,0.0001
3313.00,0.0001
3312.00,0.0001
3311.00,0.0002
3310.00,0.0002
3309.00,0.0002
3308.00,0.0002
3307.00,0.0002
3306.00,0.0002
3305.00,0.0002
3304.00,0.0002
3303.00,0.0003
3302.00,0.0003
3301.00,0.0003
3300.00,0.0002
3299.00,0.0003
3298.00,0.0003
3297.00,0.0003
3296.00,0.0003
3295.00,0.0002
3294.00,0.0002
3293.00,0.0001
3292.00,0.0001
3291.00,0.0002
3290.00,0.0002
3289.00,0.0002
3288.00,0.0002
3287.00,0.0002
3286.00,0.0001
3285.00,0.0001
3284.00,0.0001
3283.00,0.0001
3282.00,0.0001
3281.00,0.0001
3280.00,0.0001
3279.00,0.0001
3278.00,0.0001
3277.00,0.0001
3276.00,0.0001
3275.00,0.0001
3274.00,0.0001
3273.00,0.0001
3272.00,0.0000
