Created as New Dataset,PE Low Density GF
cm-1,%T
3648.00,99.77
3647.00,99.76
3646.00,99.76
3645.00,99.77
3644.00,99.77
3643.00,99.78
3642.00,99.78
3641.00,99.78
3640.00,99.78
3639.00,99.78
3638.00,99.78
3637.00,99.78
3636.00,99.78
3635.00,99.78
3634.00,99.78
3633.00,99.77
3632.00,99.77
3631.00,99.76
3630.00,99.76
3629.00,99.77
3628.00,99.76
3627.00,99.76
3626.00,99.76
3625.00,99.76
3624.00,99.76
3623.00,99.76
3622.00,99.75
3621.00,99.75
3620.00,99.74
3619.00,99.73
3618.00,99.72
3617.00,99.71
3616.00,99.70
3615.00,99.70
3614.00,99.69
3613.00,99.68
3612.00,99.68
3611.00,99.67
3610.00,99.66
3609.00,99.65
3608.00,99.64
3607.00,99.64
3606.00,99.64
3605.00,99.64
3604.00,99.64
3603.00,99.64
3602.00,99.65
3601.00,99.65
3600.00,99.66
3599.00,99.67
3598.00,99.68
3597.00,99.69
3596.00,99.69
3595.00,99.70
3594.00,99.71
3593.00,99.71
3592.00,99.71
3591.00,99.72
3590.00,99.72
3589.00,99.72
3588.00,99.72
3587.00,99.72
3586.00,99.72
3585.00,99.72
3584.00,99.72
3583.00,99.71
3582.00,99.71
3581.00,99.71
3580.00,99.72
3579.00,99.72
3578.00,99.73
3577.00,99.73
3576.00,99.72
3575.00,99.72
3574.00,99.71
3573.00,99.71
3572.00,99.70
3571.00,99.70
3570.00,99.69
3569.00,99.68
3568.00,99.68
3567.00,99.68
3566.00,99.68
3565.00,99.69
3564.00,99.69
3563.00,99.68
3562.00,99.68
3561.00,99.67
3560.00,99.67
3559.00,99.67
3558.00,99.67
3557.00,99.67
3556.00,99.67
3555.00,99.67
3554.00,99.66
3553.00,99.66
3552.00,99.65
3551.00,99.65
3550.00,99.64
3549.00,99.64
3548.00,99.64
3547.00,99.64
3546.00,99.65
3545.00,99.65
3544.00,99.65
3543.00,99.65
3542.00,99.65
3541.00,99.64
3540.00,99.64
3539.00,99.63
3538.00,99.63
3537.00,99.63
3536.00,99.63
3535.00,99.63
3534.00,99.63
3533.00,99.62
3532.00,99.62
3531.00,99.61
3530.00,99.61
3529.00,99.60
3528.00,99.59
3527.00,99.59
3526.00,99.59
3525.00,99.59
3524.00,99.59
3523.00,99.59
3522.00,99.59
3521.00,99.59
3520.00,99.59
3519.00,99.58
3518.00,99.58
3517.00,99.57
3516.00,99.57
3515.00,99.56
3514.00,99.56
3513.00,99.55
3512.00,99.55
3511.00,99.55
3510.00,99.55
3509.00,99.55
3508.00,99.54
3507.00,99.54
3506.00,99.53
3505.00,99.52
3504.00,99.52
3503.00,99.51
3502.00,99.51
3501.00,99.51
3500.00,99.51
3499.00,99.51
3498.00,99.50
3497.00,99.50
3496.00,99.49
3495.00,99.48
3494.00,99.48
3493.00,99.48
3492.00,99.48
3491.00,99.47
3490.00,99.47
3489.00,99.46
3488.00,99.46
3487.00,99.45
3486.00,99.44
3485.00,99.44
3484.00,99.43
3483.00,99.43
3482.00,99.42
3481.00,99.42
3480.00,99.42
3479.00,99.41
3478.00,99.41
3477.00,99.40
3476.00,99.40
3475.00,99.39
3474.00,99.39
3473.00,99.39
3472.00,99.38
3471.00,99.38
3470.00,99.37
3469.00,99.36
3468.00,99.35
3467.00,99.35
3466.00,99.34
3465.00,99.34
3464.00,99.33
3463.00,99.33
3462.00,99.32
3461.00,99.32
3460.00,99.31
3459.00,99.31
3458.00,99.31
3457.00,99.31
3456.00,99.31
3455.00,99.31
3454.00,99.30
3453.00,99.30
3452.00,99.29
3451.00,99.29
3450.00,99.28
3449.00,99.28
3448.00,99.27
3447.00,99.27
3446.00,99.26
3445.00,99.26
3444.00,99.26
3443.00,99.26
3442.00,99.25
3441.00,99.25
3440.00,99.24
3439.00,99.24
3438.00,99.23
3437.00,99.23
3436.00,99.23
3435.00,99.22
3434.00,99.22
3433.00,99.22
3432.00,99.22
3431.00,99.22
3430.00,99.22
3429.00,99.22
3428.00,99.21
3427.00,99.21
3426.00,99.20
3425.00,99.20
3424.00,99.20
3423.00,99.20
3422.00,99.20
3421.00,99.20
3420.00,99.20
3419.00,99.20
3418.00,99.19
3417.00,99.19
3416.00,99.19
3415.00,99.19
3414.00,99.18
3413.00,99.18
3412.00,99.18
