Created as New Dataset,PE powder 1.8kDa Alfa Aesar
cm-1,%T
4000.00,99.84
3999.00,99.84
3998.00,99.84
3997.00,99.84
3996.00,99.84
3995.00,99.84
3994.00,99.84
3993.00,99.84
3992.00,99.84
3991.00,99.84
3990.00,99.83
3989.00,99.83
3988.00,99.83
3987.00,99.83
3986.00,99.83
3985.00,99.83
3984.00,99.83
3983.00,99.83
3982.00,99.83
3981.00,99.83
3980.00,99.83
3979.00,99.83
3978.00,99.83
3977.00,99.83
3976.00,99.83
3975.00,99.83
3974.00,99.83
3973.00,99.83
3972.00,99.83
3971.00,99.84
3970.00,99.84
3969.00,99.84
3968.00,99.84
3967.00,99.84
3966.00,99.84
3965.00,99.84
3964.00,99.84
3963.00,99.84
3962.00,99.84
3961.00,99.84
3960.00,99.84
3959.00,99.84
3958.00,99.84
3957.00,99.84
3956.00,99.84
3955.00,99.84
3954.00,99.84
3953.00,99.83
3952.00,99.83
3951.00,99.83
3950.00,99.83
3949.00,99.83
3948.00,99.83
3947.00,99.83
3946.00,99.82
3945.00,99.82
3944.00,99.82
3943.00,99.83
3942.00,99.83
3941.00,99.84
3940.00,99.84
3939.00,99.84
3938.00,99.83
3937.00,99.83
3936.00,99.82
3935.00,99.82
3934.00,99.82
3933.00,99.81
3932.00,99.81
3931.00,99.81
3930.00,99.81
3929.00,99.81
3928.00,99.82
3927.00,99.82
3926.00,99.81
3925.00,99.81
3924.00,99.80
3923.00,99.80
3922.00,99.79
3921.00,99.79
3920.00,99.79
3919.00,99.79
3918.00,99.80
3917.00,99.80
3916.00,99.80
3915.00,99.80
3914.00,99.80
3913.00,99.80
3912.00,99.80
3911.00,99.80
3910.00,99.80
3909.00,99.81
3908.00,99.80
3907.00,99.80
3906.00,99.80
3905.00,99.79
3904.00,99.79
3903.00,99.79
3902.00,99.79
3901.00,99.78
3900.00,99.79
3899.00,99.79
3898.00,99.79
3897.00,99.79
3896.00,99.79
3895.00,99.78
3894.00,99.78
3893.00,99.78
3892.00,99.79
3891.00,99.80
3890.00,99.80
3889.00,99.80
3888.00,99.79
3887.00,99.79
3886.00,99.79
3885.00,99.79
3884.00,99.79
3883.00,99.78
3882.00,99.78
3881.00,99.78
3880.00,99.79
3879.00,99.79
3878.00,99.78
3877.00,99.78
3876.00,99.78
3875.00,99.79
3874.00,99.79
3873.00,99.79
3872.00,99.78
3871.00,99.79
3870.00,99.79
3869.00,99.80
3868.00,99.80
3867.00,99.80
3866.00,99.80
3865.00,99.80
3864.00,99.81
3863.00,99.81
3862.00,99.81
3861.00,99.81
3860.00,99.82
3859.00,99.82
3858.00,99.83
3857.00,99.83
3856.00,99.82
3855.00,99.82
3854.00,99.82
3853.00,99.82
3852.00,99.82
3851.00,99.81
3850.00,99.81
3849.00,99.81
3848.00,99.81
3847.00,99.81
3846.00,99.81
3845.00,99.81
3844.00,99.82
3843.00,99.82
3842.00,99.82
3841.00,99.82
3840.00,99.82
3839.00,99.81
3838.00,99.81
3837.00,99.80
3836.00,99.80
3835.00,99.80
3834.00,99.80
3833.00,99.80
3832.00,99.80
3831.00,99.80
3830.00,99.80
3829.00,99.80
3828.00,99.80
3827.00,99.80
3826.00,99.80
3825.00,99.80
3824.00,99.79
3823.00,99.78
3822.00,99.79
3821.00,99.80
3820.00,99.80
3819.00,99.80
3818.00,99.79
3817.00,99.80
3816.00,99.80
3815.00,99.80
3814.00,99.79
3813.00,99.79
3812.00,99.79
3811.00,99.80
3810.00,99.80
3809.00,99.81
3808.00,99.81
3807.00,99.81
3806.00,99.81
3805.00,99.81
3804.00,99.81
3803.00,99.81
3802.00,99.81
3801.00,99.82
3800.00,99.81
3799.00,99.80
3798.00,99.80
3797.00,99.80
3796.00,99.81
3795.00,99.81
3794.00,99.81
3793.00,99.81
3792.00,99.81
3791.00,99.82
3790.00,99.82
3789.00,99.82
3788.00,99.81
3787.00,99.81
3786.00,99.81
3785.00,99.81
3784.00,99.81
3783.00,99.80
3782.00,99.80
3781.00,99.80
3780.00,99.81
3779.00,99.81
3778.00,99.81
3777.00,99.81
3776.00,99.81
3775.00,99.81
3774.00,99.81
3773.00,99.81
3772.00,99.80
3771.00,99.80
3770.00,99.81
3769.00,99.81
3768.00,99.80
3767.00,99.80
3766.00,99.81
3765.00,99.81
3764.00,99.81
3763.00,99.80
3762.00,99.80
3761.00,99.80
3760.00,99.80
3759.00,99.80
3758.00,99.80
3757.00,99.80
3756.00,99.81
3755.00,99.81
3754.00,99.82
3753.00,99.82
3752.00,99.82
3751.00,99.82
3750.00,99.83
3749.00,99.82
3748.00,99.81
3747.00,99.80
3746.00,99.80
3745.00,99.81
3744.00,99.82
3743.00,99.81
3742.00,99.79
3741.00,99.78
3740.00,99.78
3739.00,99.79
3738.00,99.80
3737.00,99.81
3736.00,99.81
3735.00,99.81
3734.00,99.81
3733.00,99.81
3732.00,99.81
3731.00,99.82
3730.00,99.82
3729.00,99.82
3728.00,99.81
3727.00,99.81
3726.00,99.81
3725.00,99.81
3724.00,99.80
3723.00,99.81
3722.00,99.81
3721.00,99.81
3720.00,99.81
3719.00,99.81
3718.00,99.82
3717.00,99.82
3716.00,99.82
3715.00,99.82
3714.00,99.82
3713.00,99.82
3712.00,99.82
3711.00,99.82
3710.00,99.82
3709.00,99.82
3708.00,99.82
3707.00,99.82
3706.00,99.82
3705.00,99.82
3704.00,99.82
3703.00,99.82
3702.00,99.82
3701.00,99.82
3700.00,99.82
3699.00,99.81
3698.00,99.81
3697.00,99.81
3696.00,99.81
3695.00,99.81
3694.00,99.81
3693.00,99.82
3692.00,99.81
3691.00,99.81
3690.00,99.80
3689.00,99.80
3688.00,99.80
3687.00,99.79
3686.00,99.79
3685.00,99.80
3684.00,99.80
3683.00,99.80
3682.00,99.80
3681.00,99.81
3680.00,99.81
3679.00,99.81
3678.00,99.81
3677.00,99.81
3676.00,99.82
3675.00,99.82
3674.00,99.82
3673.00,99.81
3672.00,99.80
3671.00,99.80
3670.00,99.81
3669.00,99.81
3668.00,99.80
3667.00,99.80
3666.00,99.79
3665.00,99.79
3664.00,99.79
3663.00,99.79
3662.00,99.79
3661.00,99.79
3660.00,99.79
3659.00,99.79
3658.00,99.79
3657.00,99.79
3656.00,99.79
3655.00,99.79
3654.00,99.79
3653.00,99.78
3652.00,99.78
3651.00,99.77
3650.00,99.76
3649.00,99.75
3648.00,99.75
3647.00,99.75
3646.00,99.75
3645.00,99.75
3644.00,99.75
3643.00,99.75
3642.00,99.76
3641.00,99.76
3640.00,99.77
3639.00,99.78
3638.00,99.78
3637.00,99.79
3636.00,99.79
3635.00,99.79
3634.00,99.79
3633.00,99.79
3632.00,99.79
3631.00,99.79
3630.00,99.78
3629.00,99.78
3628.00,99.76
3627.00,99.74
3626.00,99.73
3625.00,99.71
3624.00,99.70
3623.00,99.68
3622.00,99.66
3621.00,99.64
3620.00,99.63
3619.00,99.62
3618.00,99.61
3617.00,99.60
3616.00,99.59
3615.00,99.59
3614.00,99.58
3613.00,99.58
3612.00,99.58
3611.00,99.59
3610.00,99.59
3609.00,99.60
3608.00,99.62
3607.00,99.62
3606.00,99.63
3605.00,99.63
3604.00,99.64
3603.00,99.65
3602.00,99.66
3601.00,99.68
3600.00,99.70
3599.00,99.72
3598.00,99.73
3597.00,99.75
3596.00,99.76
3595.00,99.77
3594.00,99.78
3593.00,99.79
3592.00,99.80
3591.00,99.81
3590.00,99.81
3589.00,99.82
3588.00,99.82
3587.00,99.82
3586.00,99.82
3585.00,99.82
3584.00,99.82
3583.00,99.83
3582.00,99.83
3581.00,99.84
3580.00,99.84
3579.00,99.85
3578.00,99.85
3577.00,99.85
3576.00,99.85
3575.00,99.85
3574.00,99.85
3573.00,99.84
3572.00,99.84
3571.00,99.83
3570.00,99.83
3569.00,99.83
3568.00,99.83
3567.00,99.83
3566.00,99.83
3565.00,99.84
3564.00,99.84
3563.00,99.84
3562.00,99.84
3561.00,99.84
3560.00,99.84
3559.00,99.83
3558.00,99.83
3557.00,99.83
3556.00,99.83
3555.00,99.83
3554.00,99.83
3553.00,99.83
3552.00,99.83
3551.00,99.83
3550.00,99.83
3549.00,99.83
