Created as New Dataset,PVC powder GF
cm-1,%T
3648.00,97.17
3647.00,97.17
3646.00,97.17
3645.00,97.17
3644.00,97.17
3643.00,97.17
3642.00,97.18
3641.00,97.18
3640.00,97.18
3639.00,97.18
3638.00,97.18
3637.00,97.19
3636.00,97.19
3635.00,97.19
3634.00,97.19
3633.00,97.19
3632.00,97.19
3631.00,97.19
3630.00,97.19
3629.00,97.19
3628.00,97.19
3627.00,97.19
3626.00,97.20
3625.00,97.20
3624.00,97.20
3623.00,97.19
3622.00,97.19
3621.00,97.19
3620.00,97.19
3619.00,97.19
3618.00,97.19
3617.00,97.19
3616.00,97.19
3615.00,97.18
3614.00,97.18
3613.00,97.17
3612.00,97.17
3611.00,97.17
3610.00,97.17
3609.00,97.17
3608.00,97.17
3607.00,97.17
3606.00,97.17
3605.00,97.17
3604.00,97.18
3603.00,97.18
3602.00,97.18
3601.00,97.18
3600.00,97.18
3599.00,97.18
3598.00,97.18
3597.00,97.18
3596.00,97.18
3595.00,97.18
3594.00,97.18
3593.00,97.18
3592.00,97.18
3591.00,97.18
3590.00,97.18
3589.00,97.18
3588.00,97.18
3587.00,97.18
3586.00,97.18
3585.00,97.18
3584.00,97.18
3583.00,97.18
3582.00,97.18
3581.00,97.18
3580.00,97.17
3579.00,97.17
3578.00,97.18
3577.00,97.18
3576.00,97.19
3575.00,97.19
3574.00,97.19
3573.00,97.18
3572.00,97.18
3571.00,97.18
3570.00,97.19
3569.00,97.19
3568.00,97.19
3567.00,97.19
3566.00,97.18
3565.00,97.18
3564.00,97.18
3563.00,97.18
3562.00,97.18
3561.00,97.18
3560.00,97.18
3559.00,97.18
3558.00,97.18
3557.00,97.18
3556.00,97.18
3555.00,97.18
3554.00,97.17
3553.00,97.17
3552.00,97.17
3551.00,97.17
3550.00,97.17
3549.00,97.16
3548.00,97.16
3547.00,97.15
3546.00,97.15
3545.00,97.15
3544.00,97.16
3543.00,97.16
3542.00,97.16
3541.00,97.16
3540.00,97.16
3539.00,97.16
3538.00,97.16
3537.00,97.16
3536.00,97.16
3535.00,97.15
3534.00,97.15
3533.00,97.15
3532.00,97.14
3531.00,97.14
3530.00,97.14
3529.00,97.14
3528.00,97.14
3527.00,97.14
3526.00,97.14
3525.00,97.14
3524.00,97.14
3523.00,97.14
3522.00,97.14
3521.00,97.15
3520.00,97.15
3519.00,97.15
3518.00,97.14
3517.00,97.13
3516.00,97.13
3515.00,97.13
3514.00,97.13
3513.00,97.13
3512.00,97.13
3511.00,97.13
3510.00,97.13
3509.00,97.13
3508.00,97.12
3507.00,97.12
3506.00,97.12
3505.00,97.12
3504.00,97.12
3503.00,97.12
3502.00,97.12
3501.00,97.12
3500.00,97.11
3499.00,97.11
3498.00,97.11
3497.00,97.11
3496.00,97.11
3495.00,97.11
3494.00,97.11
3493.00,97.11
3492.00,97.11
3491.00,97.10
3490.00,97.10
3489.00,97.10
3488.00,97.10
3487.00,97.10
3486.00,97.10
3485.00,97.10
3484.00,97.10
3483.00,97.10
3482.00,97.10
3481.00,97.09
3480.00,97.09
3479.00,97.09
3478.00,97.08
3477.00,97.08
3476.00,97.08
3475.00,97.08
3474.00,97.08
3473.00,97.08
3472.00,97.08
3471.00,97.09
3470.00,97.09
3469.00,97.09
3468.00,97.09
3467.00,97.08
3466.00,97.08
3465.00,97.08
3464.00,97.08
3463.00,97.08
3462.00,97.08
3461.00,97.08
3460.00,97.07
3459.00,97.07
3458.00,97.06
3457.00,97.06
3456.00,97.06
3455.00,97.07
3454.00,97.06
3453.00,97.06
3452.00,97.06
3451.00,97.06
3450.00,97.06
3449.00,97.06
3448.00,97.06
3447.00,97.07
3446.00,97.06
3445.00,97.06
3444.00,97.05
3443.00,97.05
3442.00,97.05
3441.00,97.05
3440.00,97.05
3439.00,97.05
3438.00,97.05
3437.00,97.05
3436.00,97.05
3435.00,97.05
3434.00,97.04
3433.00,97.04
3432.00,97.04
3431.00,97.04
3430.00,97.04
3429.00,97.04
3428.00,97.03
3427.00,97.03
3426.00,97.03
3425.00,97.03
3424.00,97.04
3423.00,97.04
3422.00,97.04
3421.00,97.04
3420.00,97.04
3419.00,97.04
3418.00,97.04
3417.00,97.04
3416.00,97.03
3415.00,97.03
3414.00,97.03
3413.00,97.03
3412.00,97.03
3411.00,97.03
3410.00,97.03
3409.00,97.03
3408.00,97.02
3407.00,97.02
3406.00,97.02
3405.00,97.02
3404.00,97.02
3403.00,97.03
3402.00,97.03
3401.00,97.03
3400.00,97.03
3399.00,97.03
3398.00,97.03
3397.00,97.03
3396.00,97.03
3395.00,97.02
3394.00,97.02
3393.00,97.02
3392.00,97.02
3391.00,97.02
3390.00,97.02
3389.00,97.02
3388.00,97.02
3387.00,97.02
3386.00,97.02
3385.00,97.02
3384.00,97.01
3383.00,97.01
3382.00,97.01
3381.00,97.01
3380.00,97.01
3379.00,97.01
3378.00,97.01
3377.00,97.01
3376.00,97.00
3375.00,97.00
3374.00,97.00
3373.00,97.00
3372.00,97.00
3371.00,97.00
3370.00,97.00
3369.00,97.00
3368.00,97.00
