Created as New Dataset,PHB (biopolymer) GF
cm-1,%T
3648.00,99.23
3647.00,99.23
3646.00,99.23
3645.00,99.23
3644.00,99.24
3643.00,99.24
3642.00,99.25
3641.00,99.25
3640.00,99.25
3639.00,99.25
3638.00,99.25
3637.00,99.25
3636.00,99.25
3635.00,99.25
3634.00,99.24
3633.00,99.24
3632.00,99.23
3631.00,99.23
3630.00,99.23
3629.00,99.24
3628.00,99.25
3627.00,99.25
3626.00,99.26
3625.00,99.26
3624.00,99.26
3623.00,99.26
3622.00,99.27
3621.00,99.26
3620.00,99.26
3619.00,99.26
3618.00,99.26
3617.00,99.25
3616.00,99.25
3615.00,99.25
3614.00,99.26
3613.00,99.27
3612.00,99.28
3611.00,99.29
3610.00,99.29
3609.00,99.29
3608.00,99.29
3607.00,99.29
3606.00,99.29
3605.00,99.30
3604.00,99.30
3603.00,99.30
3602.00,99.30
3601.00,99.30
3600.00,99.31
3599.00,99.31
3598.00,99.31
3597.00,99.31
3596.00,99.31
3595.00,99.32
3594.00,99.32
3593.00,99.32
3592.00,99.32
3591.00,99.32
3590.00,99.31
3589.00,99.31
3588.00,99.30
3587.00,99.30
3586.00,99.30
3585.00,99.30
3584.00,99.30
3583.00,99.30
3582.00,99.30
3581.00,99.30
3580.00,99.30
3579.00,99.29
3578.00,99.29
3577.00,99.28
3576.00,99.28
3575.00,99.28
3574.00,99.28
3573.00,99.28
3572.00,99.28
3571.00,99.27
3570.00,99.27
3569.00,99.26
3568.00,99.25
3567.00,99.24
3566.00,99.24
3565.00,99.23
3564.00,99.23
3563.00,99.23
3562.00,99.23
3561.00,99.23
3560.00,99.22
3559.00,99.22
3558.00,99.22
3557.00,99.22
3556.00,99.21
3555.00,99.21
3554.00,99.21
3553.00,99.21
3552.00,99.21
3551.00,99.21
3550.00,99.21
3549.00,99.21
3548.00,99.21
3547.00,99.21
3546.00,99.21
3545.00,99.21
3544.00,99.21
3543.00,99.20
3542.00,99.20
3541.00,99.20
3540.00,99.21
3539.00,99.21
3538.00,99.21
3537.00,99.21
3536.00,99.20
3535.00,99.20
3534.00,99.20
3533.00,99.19
3532.00,99.19
3531.00,99.20
3530.00,99.20
3529.00,99.20
3528.00,99.20
3527.00,99.20
3526.00,99.20
3525.00,99.20
3524.00,99.20
3523.00,99.20
3522.00,99.20
3521.00,99.20
3520.00,99.20
3519.00,99.20
3518.00,99.20
3517.00,99.20
3516.00,99.20
3515.00,99.20
3514.00,99.20
3513.00,99.19
3512.00,99.19
3511.00,99.19
3510.00,99.19
3509.00,99.18
3508.00,99.18
3507.00,99.18
3506.00,99.18
3505.00,99.19
3504.00,99.19
3503.00,99.19
3502.00,99.18
3501.00,99.17
3500.00,99.17
3499.00,99.16
3498.00,99.16
3497.00,99.16
3496.00,99.15
3495.00,99.14
3494.00,99.14
3493.00,99.13
3492.00,99.12
3491.00,99.11
3490.00,99.11
3489.00,99.11
3488.00,99.11
3487.00,99.11
3486.00,99.10
3485.00,99.09
3484.00,99.08
3483.00,99.07
3482.00,99.07
3481.00,99.07
3480.00,99.06
3479.00,99.05
3478.00,99.03
3477.00,99.02
3476.00,99.01
3475.00,99.00
3474.00,98.99
3473.00,98.99
3472.00,98.98
3471.00,98.98
3470.00,98.98
3469.00,98.97
3468.00,98.95
3467.00,98.93
3466.00,98.91
3465.00,98.89
3464.00,98.87
3463.00,98.86
3462.00,98.85
3461.00,98.84
3460.00,98.82
3459.00,98.79
3458.00,98.77
3457.00,98.75
3456.00,98.73
3455.00,98.71
3454.00,98.70
3453.00,98.68
3452.00,98.67
3451.00,98.65
3450.00,98.63
3449.00,98.61
3448.00,98.60
3447.00,98.58
3446.00,98.56
3445.00,98.54
3444.00,98.51
3443.00,98.48
3442.00,98.44
3441.00,98.41
