Created as New Dataset,EVOH (44mol% ethylene) Soarnol
cm-1,%T
4000.00,98.53
3999.00,98.53
3998.00,98.54
3997.00,98.54
3996.00,98.54
3995.00,98.54
3994.00,98.54
3993.00,98.54
3992.00,98.54
3991.00,98.54
3990.00,98.55
3989.00,98.55
3988.00,98.55
3987.00,98.54
3986.00,98.54
3985.00,98.54
3984.00,98.53
3983.00,98.54
3982.00,98.54
3981.00,98.54
3980.00,98.54
3979.00,98.54
3978.00,98.54
3977.00,98.54
3976.00,98.54
3975.00,98.54
3974.00,98.53
3973.00,98.53
3972.00,98.53
3971.00,98.54
3970.00,98.54
3969.00,98.54
3968.00,98.54
3967.00,98.54
3966.00,98.54
3965.00,98.54
3964.00,98.54
3963.00,98.54
3962.00,98.54
3961.00,98.54
3960.00,98.54
3959.00,98.54
3958.00,98.55
3957.00,98.55
3956.00,98.55
3955.00,98.55
3954.00,98.55
3953.00,98.54
3952.00,98.54
3951.00,98.54
3950.00,98.54
3949.00,98.55
3948.00,98.55
3947.00,98.55
3946.00,98.55
3945.00,98.55
3944.00,98.55
3943.00,98.55
3942.00,98.55
3941.00,98.55
3940.00,98.55
3939.00,98.55
3938.00,98.55
3937.00,98.55
3936.00,98.55
3935.00,98.55
3934.00,98.55
3933.00,98.55
3932.00,98.55
3931.00,98.55
3930.00,98.55
3929.00,98.55
3928.00,98.55
3927.00,98.54
3926.00,98.54
3925.00,98.55
3924.00,98.55
3923.00,98.55
3922.00,98.55
3921.00,98.55
3920.00,98.55
3919.00,98.55
3918.00,98.55
3917.00,98.56
3916.00,98.56
3915.00,98.56
3914.00,98.56
3913.00,98.56
3912.00,98.56
3911.00,98.55
3910.00,98.55
3909.00,98.55
3908.00,98.54
3907.00,98.54
3906.00,98.54
3905.00,98.53
3904.00,98.53
3903.00,98.53
3902.00,98.54
3901.00,98.54
3900.00,98.55
3899.00,98.55
3898.00,98.55
3897.00,98.55
3896.00,98.55
3895.00,98.55
3894.00,98.56
3893.00,98.56
3892.00,98.56
3891.00,98.56
3890.00,98.55
3889.00,98.55
3888.00,98.55
3887.00,98.55
3886.00,98.55
3885.00,98.56
3884.00,98.56
3883.00,98.55
3882.00,98.55
3881.00,98.55
3880.00,98.55
3879.00,98.55
3878.00,98.55
3877.00,98.55
3876.00,98.55
3875.00,98.55
3874.00,98.55
3873.00,98.55
3872.00,98.54
3871.00,98.54
3870.00,98.54
3869.00,98.54
3868.00,98.54
3867.00,98.54
3866.00,98.54
3865.00,98.54
3864.00,98.55
3863.00,98.55
3862.00,98.55
3861.00,98.55
3860.00,98.55
3859.00,98.55
3858.00,98.56
3857.00,98.56
3856.00,98.56
3855.00,98.56
3854.00,98.56
3853.00,98.56
3852.00,98.56
3851.00,98.55
3850.00,98.55
3849.00,98.55
3848.00,98.54
3847.00,98.54
3846.00,98.54
3845.00,98.54
3844.00,98.54
3843.00,98.54
3842.00,98.55
3841.00,98.55
3840.00,98.55
3839.00,98.54
3838.00,98.55
3837.00,98.55
3836.00,98.55
3835.00,98.55
3834.00,98.55
3833.00,98.55
3832.00,98.54
3831.00,98.54
3830.00,98.54
3829.00,98.54
3828.00,98.54
3827.00,98.54
3826.00,98.54
3825.00,98.54
3824.00,98.54
3823.00,98.53
3822.00,98.54
3821.00,98.54
3820.00,98.54
3819.00,98.54
3818.00,98.54
3817.00,98.55
3816.00,98.55
3815.00,98.56
3814.00,98.55
3813.00,98.55
3812.00,98.55
3811.00,98.55
3810.00,98.54
3809.00,98.54
3808.00,98.53
3807.00,98.53
3806.00,98.53
3805.00,98.53
3804.00,98.53
3803.00,98.53
3802.00,98.53
3801.00,98.54
3800.00,98.54
3799.00,98.54
3798.00,98.53
3797.00,98.53
3796.00,98.53
3795.00,98.54
3794.00,98.54
3793.00,98.54
3792.00,98.54
3791.00,98.53
3790.00,98.53
3789.00,98.53
3788.00,98.53
3787.00,98.52
3786.00,98.52
3785.00,98.52
3784.00,98.52
3783.00,98.52
3782.00,98.52
3781.00,98.53
3780.00,98.53
3779.00,98.54
3778.00,98.54
3777.00,98.53
3776.00,98.53
3775.00,98.52
3774.00,98.52
3773.00,98.52
3772.00,98.52
3771.00,98.52
3770.00,98.52
3769.00,98.52
3768.00,98.52
3767.00,98.52
3766.00,98.52
3765.00,98.52
3764.00,98.52
3763.00,98.52
3762.00,98.51
3761.00,98.51
3760.00,98.51
3759.00,98.51
3758.00,98.51
3757.00,98.51
3756.00,98.51
3755.00,98.51
3754.00,98.51
3753.00,98.51
3752.00,98.51
3751.00,98.50
3750.00,98.50
3749.00,98.49
3748.00,98.49
3747.00,98.49
3746.00,98.49
3745.00,98.50
3744.00,98.50
3743.00,98.50
3742.00,98.50
3741.00,98.50
3740.00,98.50
3739.00,98.49
3738.00,98.49
3737.00,98.49
3736.00,98.49
3735.00,98.50
3734.00,98.51
3733.00,98.52
3732.00,98.52
3731.00,98.53
3730.00,98.53
3729.00,98.52
3728.00,98.51
3727.00,98.50
3726.00,98.50
3725.00,98.50
3724.00,98.51
3723.00,98.51
3722.00,98.51
3721.00,98.52
3720.00,98.52
3719.00,98.51
3718.00,98.51
3717.00,98.51
3716.00,98.51
3715.00,98.51
3714.00,98.51
3713.00,98.51
3712.00,98.52
3711.00,98.52
3710.00,98.52
3709.00,98.52
3708.00,98.52
3707.00,98.52
3706.00,98.52
3705.00,98.52
3704.00,98.52
3703.00,98.52
3702.00,98.52
3701.00,98.53
3700.00,98.53
3699.00,98.53
3698.00,98.53
3697.00,98.53
3696.00,98.53
3695.00,98.52
3694.00,98.52
3693.00,98.51
3692.00,98.51
3691.00,98.52
3690.00,98.51
3689.00,98.51
3688.00,98.51
3687.00,98.50
3686.00,98.49
3685.00,98.49
3684.00,98.48
3683.00,98.47
3682.00,98.47
3681.00,98.46
3680.00,98.45
3679.00,98.44
3678.00,98.43
3677.00,98.41
3676.00,98.41
3675.00,98.40
3674.00,98.40
3673.00,98.39
3672.00,98.38
3671.00,98.38
3670.00,98.38
3669.00,98.39
3668.00,98.39
3667.00,98.39
3666.00,98.39
3665.00,98.39
3664.00,98.39
3663.00,98.39
3662.00,98.40
3661.00,98.40
3660.00,98.39
3659.00,98.38
3658.00,98.37
3657.00,98.36
3656.00,98.35
3655.00,98.34
3654.00,98.33
3653.00,98.33
3652.00,98.32
3651.00,98.32
3650.00,98.32
3649.00,98.31
3648.00,98.30
3647.00,98.29
3646.00,98.28
3645.00,98.28
3644.00,98.28
3643.00,98.27
3642.00,98.27
3641.00,98.26
3640.00,98.24
3639.00,98.22
3638.00,98.20
3637.00,98.18
3636.00,98.16
3635.00,98.13
3634.00,98.11
3633.00,98.09
3632.00,98.07
3631.00,98.04
3630.00,98.02
3629.00,97.99
3628.00,97.98
3627.00,97.96
3626.00,97.94
3625.00,97.93
3624.00,97.91
3623.00,97.89
3622.00,97.88
3621.00,97.86
3620.00,97.84
3619.00,97.83
3618.00,97.81
3617.00,97.79
3616.00,97.77
3615.00,97.76
3614.00,97.75
3613.00,97.73
3612.00,97.72
3611.00,97.70
3610.00,97.68
3609.00,97.66
3608.00,97.65
3607.00,97.63
3606.00,97.62
3605.00,97.60
3604.00,97.58
3603.00,97.57
3602.00,97.55
3601.00,97.52
3600.00,97.50
3599.00,97.47
3598.00,97.45
3597.00,97.43
3596.00,97.41
3595.00,97.40
3594.00,97.38
3593.00,97.36
3592.00,97.34
3591.00,97.31
3590.00,97.29
3589.00,97.27
3588.00,97.26
3587.00,97.24
3586.00,97.22
3585.00,97.20
3584.00,97.18
3583.00,97.15
3582.00,97.13
3581.00,97.10
3580.00,97.07
3579.00,97.04
3578.00,97.01
3577.00,96.98
3576.00,96.95
3575.00,96.92
