Created as New Dataset,PVOH MW 205K
cm-1,%T
4000.00,98.23
3999.00,98.23
3998.00,98.23
3997.00,98.23
3996.00,98.23
3995.00,98.23
3994.00,98.23
3993.00,98.23
3992.00,98.23
3991.00,98.23
3990.00,98.23
3989.00,98.23
3988.00,98.23
3987.00,98.23
3986.00,98.23
3985.00,98.23
3984.00,98.23
3983.00,98.24
3982.00,98.24
3981.00,98.24
3980.00,98.24
3979.00,98.24
3978.00,98.24
3977.00,98.24
3976.00,98.24
3975.00,98.23
3974.00,98.23
3973.00,98.23
3972.00,98.23
3971.00,98.23
3970.00,98.23
3969.00,98.23
3968.00,98.23
3967.00,98.23
3966.00,98.23
3965.00,98.23
3964.00,98.23
3963.00,98.23
3962.00,98.22
3961.00,98.22
3960.00,98.22
3959.00,98.23
3958.00,98.23
3957.00,98.23
3956.00,98.23
3955.00,98.23
3954.00,98.23
3953.00,98.23
3952.00,98.23
3951.00,98.23
3950.00,98.23
3949.00,98.23
3948.00,98.23
3947.00,98.24
3946.00,98.24
3945.00,98.24
3944.00,98.24
3943.00,98.24
3942.00,98.24
3941.00,98.24
3940.00,98.24
3939.00,98.24
3938.00,98.24
3937.00,98.24
3936.00,98.24
3935.00,98.24
3934.00,98.24
3933.00,98.24
3932.00,98.24
3931.00,98.24
3930.00,98.25
3929.00,98.25
3928.00,98.25
3927.00,98.25
3926.00,98.25
3925.00,98.25
3924.00,98.25
3923.00,98.24
3922.00,98.24
3921.00,98.24
3920.00,98.24
3919.00,98.24
3918.00,98.25
3917.00,98.25
3916.00,98.25
3915.00,98.25
3914.00,98.25
3913.00,98.25
3912.00,98.25
3911.00,98.25
3910.00,98.25
3909.00,98.25
3908.00,98.25
3907.00,98.25
3906.00,98.25
3905.00,98.25
3904.00,98.24
3903.00,98.24
3902.00,98.24
3901.00,98.24
3900.00,98.24
3899.00,98.24
3898.00,98.24
3897.00,98.24
3896.00,98.24
3895.00,98.24
3894.00,98.25
3893.00,98.25
3892.00,98.24
3891.00,98.24
3890.00,98.24
3889.00,98.25
3888.00,98.25
