Created as New Dataset,PAN 230kDa GF
cm-1,%T
3211.00,98.98
3210.00,98.98
3209.00,98.98
3208.00,98.98
3207.00,98.97
3206.00,98.97
3205.00,98.97
3204.00,98.98
3203.00,98.98
3202.00,98.98
3201.00,98.98
3200.00,98.98
3199.00,98.98
3198.00,98.99
3197.00,98.99
3196.00,98.99
3195.00,98.99
3194.00,98.99
3193.00,99.00
3192.00,99.00
3191.00,99.00
3190.00,99.00
3189.00,99.00
3188.00,98.99
3187.00,98.99
3186.00,98.99
3185.00,98.99
3184.00,98.99
3183.00,99.00
3182.00,99.00
3181.00,99.00
3180.00,99.00
3179.00,99.00
3178.00,99.00
3177.00,99.00
3176.00,99.00
3175.00,99.00
3174.00,99.00
3173.00,99.00
3172.00,99.00
3171.00,99.00
3170.00,99.00
3169.00,99.00
3168.00,99.00
3167.00,99.00
3166.00,99.01
3165.00,99.01
3164.00,99.01
3163.00,99.01
3162.00,99.01
3161.00,99.01
3160.00,99.01
3159.00,99.01
3158.00,99.01
3157.00,99.01
3156.00,99.01
3155.00,99.01
3154.00,99.01
3153.00,99.01
3152.00,99.01
3151.00,99.01
3150.00,99.01
3149.00,99.01
3148.00,99.01
3147.00,99.01
3146.00,99.01
3145.00,99.00
3144.00,99.00
3143.00,99.00
3142.00,99.00
3141.00,99.01
3140.00,99.01
3139.00,99.01
3138.00,99.00
3137.00,99.00
3136.00,98.99
3135.00,98.99
3134.00,98.99
3133.00,98.99
3132.00,98.99
3131.00,98.98
3130.00,98.98
3129.00,98.98
3128.00,98.98
3127.00,98.98
3126.00,98.98
3125.00,98.98
3124.00,98.98
3123.00,98.98
3122.00,98.98
3121.00,98.98
3120.00,98.98
3119.00,98.98
3118.00,98.97
3117.00,98.97
3116.00,98.97
3115.00,98.97
3114.00,98.97
3113.00,98.98
3112.00,98.98
3111.00,98.97
3110.00,98.97
3109.00,98.96
3108.00,98.96
3107.00,98.96
3106.00,98.96
3105.00,98.96
3104.00,98.96
3103.00,98.95
3102.00,98.95
3101.00,98.95
3100.00,98.95
3099.00,98.95
3098.00,98.95
3097.00,98.95
3096.00,98.94
3095.00,98.93
3094.00,98.93
3093.00,98.93
3092.00,98.93
3091.00,98.92
3090.00,98.92
3089.00,98.92
3088.00,98.92
