Created as New Dataset,PE powder (low density) GF 300um
cm-1,%T
3382.00,99.76
3381.00,99.76
3380.00,99.76
3379.00,99.76
3378.00,99.76
3377.00,99.76
3376.00,99.76
3375.00,99.76
3374.00,99.76
3373.00,99.76
3372.00,99.75
3371.00,99.75
3370.00,99.75
3369.00,99.76
3368.00,99.76
3367.00,99.76
3366.00,99.76
3365.00,99.76
3364.00,99.76
3363.00,99.76
3362.00,99.77
3361.00,99.77
3360.00,99.77
3359.00,99.77
3358.00,99.77
3357.00,99.77
3356.00,99.78
3355.00,99.78
3354.00,99.77
3353.00,99.77
3352.00,99.77
3351.00,99.77
3350.00,99.77
3349.00,99.77
3348.00,99.78
3347.00,99.78
3346.00,99.78
3345.00,99.78
3344.00,99.78
3343.00,99.78
3342.00,99.78
3341.00,99.78
3340.00,99.78
3339.00,99.78
3338.00,99.77
3337.00,99.77
3336.00,99.77
3335.00,99.77
3334.00,99.77
3333.00,99.77
3332.00,99.77
3331.00,99.78
3330.00,99.78
3329.00,99.78
3328.00,99.78
3327.00,99.78
3326.00,99.78
3325.00,99.78
3324.00,99.78
3323.00,99.78
3322.00,99.79
3321.00,99.79
3320.00,99.79
3319.00,99.79
3318.00,99.78
3317.00,99.78
3316.00,99.78
3315.00,99.78
3314.00,99.78
3313.00,99.78
3312.00,99.78
3311.00,99.78
3310.00,99.79
3309.00,99.79
3308.00,99.79
3307.00,99.79
3306.00,99.79
3305.00,99.79
3304.00,99.79
3303.00,99.79
3302.00,99.79
3301.00,99.79
3300.00,99.78
3299.00,99.78
3298.00,99.78
3297.00,99.79
3296.00,99.79
3295.00,99.79
3294.00,99.78
3293.00,99.78
3292.00,99.78
3291.00,99.78
3290.00,99.78
3289.00,99.78
3288.00,99.78
3287.00,99.78
3286.00,99.78
3285.00,99.78
3284.00,99.79
3283.00,99.79
3282.00,99.79
3281.00,99.79
3280.00,99.79
3279.00,99.79
3278.00,99.79
3277.00,99.78
3276.00,99.78
3275.00,99.78
3274.00,99.78
3273.00,99.78
3272.00,99.78
3271.00,99.79
3270.00,99.79
3269.00,99.79
3268.00,99.79
3267.00,99.79
3266.00,99.79
3265.00,99.79
3264.00,99.79
3263.00,99.79
3262.00,99.79
3261.00,99.79
3260.00,99.79
3259.00,99.79
3258.00,99.79
3257.00,99.79
3256.00,99.79
3255.00,99.79
3254.00,99.79
3253.00,99.79
3252.00,99.79
3251.00,99.79
3250.00,99.79
3249.00,99.79
3248.00,99.79
3247.00,99.79
3246.00,99.79
3245.00,99.79
3244.00,99.79
3243.00,99.79
3242.00,99.80
3241.00,99.80
3240.00,99.80
3239.00,99.80
3238.00,99.79
3237.00,99.79
3236.00,99.79
3235.00,99.79
3234.00,99.79
3233.00,99.79
3232.00,99.79
3231.00,99.79
3230.00,99.79
3229.00,99.79
3228.00,99.79
3227.00,99.79
3226.00,99.79
3225.00,99.79
3224.00,99.79
3223.00,99.79
3222.00,99.79
3221.00,99.79
3220.00,99.79
3219.00,99.79
3218.00,99.79
3217.00,99.79
3216.00,99.79
3215.00,99.79
3214.00,99.79
3213.00,99.79
3212.00,99.79
3211.00,99.78
3210.00,99.78
3209.00,99.78
3208.00,99.78
3207.00,99.78
3206.00,99.78
3205.00,99.78
3204.00,99.77
3203.00,99.77
3202.00,99.77
3201.00,99.77
3200.00,99.77
3199.00,99.78
3198.00,99.78
3197.00,99.78
3196.00,99.78
3195.00,99.78
3194.00,99.77
3193.00,99.77
3192.00,99.77
3191.00,99.77
3190.00,99.78
3189.00,99.78
3188.00,99.77
3187.00,99.77
3186.00,99.77
3185.00,99.76
3184.00,99.76
3183.00,99.77
3182.00,99.77
3181.00,99.78
3180.00,99.78
3179.00,99.78
3178.00,99.77
3177.00,99.77
3176.00,99.77
3175.00,99.77
3174.00,99.77
3173.00,99.77
3172.00,99.77
3171.00,99.77
3170.00,99.76
3169.00,99.76
3168.00,99.76
3167.00,99.77
