Created as New Dataset,PP granule 3mm GF
cm-1,%T
3648.00,99.64
3647.00,99.64
3646.00,99.64
3645.00,99.64
3644.00,99.64
3643.00,99.64
3642.00,99.64
3641.00,99.64
3640.00,99.65
3639.00,99.65
3638.00,99.65
3637.00,99.65
3636.00,99.65
3635.00,99.65
3634.00,99.65
3633.00,99.65
3632.00,99.65
3631.00,99.64
3630.00,99.64
3629.00,99.64
3628.00,99.65
3627.00,99.65
3626.00,99.65
3625.00,99.65
3624.00,99.65
3623.00,99.65
3622.00,99.66
3621.00,99.66
3620.00,99.66
3619.00,99.65
3618.00,99.65
3617.00,99.65
3616.00,99.65
3615.00,99.65
3614.00,99.65
3613.00,99.65
3612.00,99.66
3611.00,99.66
3610.00,99.66
3609.00,99.66
3608.00,99.66
3607.00,99.66
3606.00,99.66
3605.00,99.66
3604.00,99.66
3603.00,99.66
3602.00,99.66
3601.00,99.66
3600.00,99.66
3599.00,99.66
3598.00,99.66
3597.00,99.66
3596.00,99.66
3595.00,99.66
3594.00,99.66
3593.00,99.66
3592.00,99.67
3591.00,99.67
3590.00,99.67
3589.00,99.68
3588.00,99.68
3587.00,99.68
3586.00,99.68
3585.00,99.67
3584.00,99.67
3583.00,99.66
3582.00,99.66
3581.00,99.66
3580.00,99.67
3579.00,99.67
3578.00,99.67
3577.00,99.67
3576.00,99.67
3575.00,99.67
3574.00,99.66
3573.00,99.67
3572.00,99.67
3571.00,99.67
3570.00,99.67
3569.00,99.67
3568.00,99.67
3567.00,99.66
3566.00,99.66
3565.00,99.66
3564.00,99.66
3563.00,99.66
3562.00,99.66
3561.00,99.66
3560.00,99.66
3559.00,99.66
3558.00,99.66
3557.00,99.66
3556.00,99.66
3555.00,99.66
3554.00,99.66
3553.00,99.66
3552.00,99.66
3551.00,99.66
3550.00,99.66
3549.00,99.66
3548.00,99.66
3547.00,99.66
3546.00,99.66
3545.00,99.66
3544.00,99.66
3543.00,99.66
3542.00,99.66
3541.00,99.65
3540.00,99.65
3539.00,99.65
3538.00,99.65
3537.00,99.65
3536.00,99.66
3535.00,99.66
3534.00,99.66
3533.00,99.66
3532.00,99.65
3531.00,99.65
3530.00,99.65
3529.00,99.65
3528.00,99.65
3527.00,99.66
3526.00,99.66
3525.00,99.66
3524.00,99.66
3523.00,99.66
3522.00,99.66
3521.00,99.66
3520.00,99.66
3519.00,99.66
3518.00,99.65
3517.00,99.65
3516.00,99.65
3515.00,99.65
3514.00,99.65
3513.00,99.65
3512.00,99.65
3511.00,99.65
3510.00,99.65
3509.00,99.64
3508.00,99.64
3507.00,99.64
3506.00,99.64
3505.00,99.64
3504.00,99.64
3503.00,99.64
3502.00,99.64
3501.00,99.65
3500.00,99.65
3499.00,99.65
3498.00,99.65
3497.00,99.65
3496.00,99.65
3495.00,99.65
3494.00,99.64
3493.00,99.64
3492.00,99.64
3491.00,99.64
3490.00,99.64
3489.00,99.64
3488.00,99.64
3487.00,99.64
3486.00,99.64
3485.00,99.64
3484.00,99.64
3483.00,99.64
3482.00,99.64
3481.00,99.63
3480.00,99.63
3479.00,99.63
3478.00,99.63
3477.00,99.63
3476.00,99.63
3475.00,99.63
3474.00,99.63
3473.00,99.63
3472.00,99.63
3471.00,99.63
3470.00,99.63
3469.00,99.63
3468.00,99.63
3467.00,99.63
3466.00,99.63
3465.00,99.63
3464.00,99.63
3463.00,99.62
3462.00,99.62
3461.00,99.62
3460.00,99.62
3459.00,99.62
3458.00,99.62
3457.00,99.62
3456.00,99.61
3455.00,99.61
3454.00,99.61
3453.00,99.61
3452.00,99.61
3451.00,99.61
3450.00,99.62
3449.00,99.62
3448.00,99.62
3447.00,99.61
3446.00,99.61
3445.00,99.60
3444.00,99.60
3443.00,99.61
3442.00,99.61
3441.00,99.62
3440.00,99.62
3439.00,99.62
3438.00,99.62
3437.00,99.62
3436.00,99.62
3435.00,99.62
3434.00,99.61
3433.00,99.61
3432.00,99.61
3431.00,99.61
3430.00,99.61
3429.00,99.61
3428.00,99.61
3427.00,99.61
3426.00,99.61
3425.00,99.61
3424.00,99.61
3423.00,99.61
3422.00,99.61
3421.00,99.61
3420.00,99.60
3419.00,99.60
3418.00,99.60
3417.00,99.60
3416.00,99.60
3415.00,99.60
3414.00,99.60
3413.00,99.60
3412.00,99.60
3411.00,99.60
3410.00,99.60
3409.00,99.60
3408.00,99.60
3407.00,99.60
3406.00,99.60
3405.00,99.61
3404.00,99.61
3403.00,99.61
3402.00,99.61
3401.00,99.61
3400.00,99.60
3399.00,99.60
3398.00,99.60
3397.00,99.60
3396.00,99.60
3395.00,99.60
3394.00,99.60
3393.00,99.61
3392.00,99.61
3391.00,99.61
3390.00,99.61
3389.00,99.60
3388.00,99.60
3387.00,99.59
3386.00,99.59
3385.00,99.59
3384.00,99.59
3383.00,99.60
3382.00,99.60
3381.00,99.60
3380.00,99.61
3379.00,99.61
3378.00,99.60
3377.00,99.60
3376.00,99.60
3375.00,99.60
3374.00,99.60
3373.00,99.60
3372.00,99.60
3371.00,99.61
3370.00,99.61
3369.00,99.61
3368.00,99.61
3367.00,99.61
