Created as New Dataset,PET Amorphous Film GF
3722.00,99.80
3721.00,99.80
3720.00,99.80
3719.00,99.79
3718.00,99.79
3717.00,99.78
3716.00,99.78
3715.00,99.78
3714.00,99.78
3713.00,99.78
3712.00,99.79
3711.00,99.79
3710.00,99.78
3709.00,99.78
3708.00,99.78
3707.00,99.78
3706.00,99.78
3705.00,99.78
3704.00,99.78
3703.00,99.77
3702.00,99.76
3701.00,99.75
3700.00,99.74
3699.00,99.73
3698.00,99.73
3697.00,99.73
3696.00,99.72
3695.00,99.71
3694.00,99.70
3693.00,99.69
3692.00,99.68
3691.00,99.67
3690.00,99.65
3689.00,99.63
3688.00,99.62
3687.00,99.61
3686.00,99.60
3685.00,99.59
3684.00,99.59
3683.00,99.58
3682.00,99.57
3681.00,99.56
3680.00,99.56
3679.00,99.55
3678.00,99.54
3677.00,99.53
3676.00,99.53
3675.00,99.53
3674.00,99.52
3673.00,99.51
3672.00,99.50
3671.00,99.49
3670.00,99.48
3669.00,99.48
3668.00,99.46
3667.00,99.45
3666.00,99.45
3665.00,99.44
3664.00,99.43
3663.00,99.41
3662.00,99.40
3661.00,99.39
3660.00,99.38
3659.00,99.37
3658.00,99.36
3657.00,99.34
3656.00,99.33
3655.00,99.32
3654.00,99.31
3653.00,99.29
3652.00,99.28
3651.00,99.28
3650.00,99.27
3649.00,99.25
3648.00,99.24
3647.00,99.23
3646.00,99.22
3645.00,99.22
3644.00,99.21
3643.00,99.20
3642.00,99.20
3641.00,99.19
3640.00,99.19
3639.00,99.18
3638.00,99.18
3637.00,99.17
3636.00,99.16
3635.00,99.16
3634.00,99.15
3633.00,99.15
3632.00,99.14
3631.00,99.14
3630.00,99.14
3629.00,99.14
3628.00,99.15
3627.00,99.15
3626.00,99.15
3625.00,99.16
3624.00,99.17
3623.00,99.17
3622.00,99.18
3621.00,99.18
3620.00,99.18
3619.00,99.19
3618.00,99.20
3617.00,99.21
3616.00,99.21
3615.00,99.22
3614.00,99.23
3613.00,99.24
3612.00,99.25
3611.00,99.25
3610.00,99.26
3609.00,99.27
3608.00,99.28
3607.00,99.29
3606.00,99.29
3605.00,99.30
3604.00,99.31
3603.00,99.31
3602.00,99.31
3601.00,99.31
3600.00,99.31
3599.00,99.32
3598.00,99.32
3597.00,99.33
3596.00,99.33
3595.00,99.33
3594.00,99.34
3593.00,99.34
3592.00,99.34
3591.00,99.33
3590.00,99.33
3589.00,99.32
3588.00,99.31
3587.00,99.31
3586.00,99.30
3585.00,99.30
3584.00,99.30
3583.00,99.30
3582.00,99.29
3581.00,99.29
3580.00,99.28
3579.00,99.27
3578.00,99.26
3577.00,99.24
3576.00,99.23
3575.00,99.22
3574.00,99.20
3573.00,99.19
3572.00,99.18
3571.00,99.17
3570.00,99.16
3569.00,99.14
3568.00,99.13
3567.00,99.11
3566.00,99.10
3565.00,99.09
3564.00,99.07
3563.00,99.06
3562.00,99.05
3561.00,99.03
3560.00,99.03
3559.00,99.02
3558.00,99.01
3557.00,99.01
3556.00,99.01
3555.00,99.01
3554.00,99.01
3553.00,99.00
3552.00,99.00
3551.00,99.00
3550.00,99.00
3549.00,99.00
3548.00,99.00
3547.00,99.00
3546.00,99.01
3545.00,99.01
3544.00,99.02
3543.00,99.02
3542.00,99.03
3541.00,99.04
3540.00,99.04
3539.00,99.05
3538.00,99.05
3537.00,99.06
3536.00,99.07
3535.00,99.07
3534.00,99.08
3533.00,99.09
3532.00,99.10
3531.00,99.11
3530.00,99.12
3529.00,99.12
3528.00,99.13
3527.00,99.14
3526.00,99.15
3525.00,99.16
3524.00,99.17
3523.00,99.18
3522.00,99.19
3521.00,99.20
3520.00,99.21
3519.00,99.22
3518.00,99.23
3517.00,99.24
3516.00,99.25
3515.00,99.25
3514.00,99.26
3513.00,99.26
3512.00,99.27
3511.00,99.27
3510.00,99.28
3509.00,99.29
3508.00,99.29
3507.00,99.30
3506.00,99.30
3505.00,99.31
3504.00,99.32
3503.00,99.32
3502.00,99.33
3501.00,99.33
3500.00,99.33
3499.00,99.33
3498.00,99.34
3497.00,99.34
3496.00,99.35
3495.00,99.35
3494.00,99.35
3493.00,99.35
3492.00,99.36
3491.00,99.36
3490.00,99.37
3489.00,99.37
3488.00,99.37
3487.00,99.37
3486.00,99.36
3485.00,99.36
3484.00,99.36
3483.00,99.36
3482.00,99.36
3481.00,99.36
3480.00,99.36
3479.00,99.35
3478.00,99.35
3477.00,99.34
3476.00,99.33
3475.00,99.33
3474.00,99.33
3473.00,99.33
3472.00,99.33
3471.00,99.34
3470.00,99.34
3469.00,99.33
3468.00,99.32
3467.00,99.30
3466.00,99.28
3465.00,99.26
3464.00,99.25
3463.00,99.24
3462.00,99.22
3461.00,99.21
3460.00,99.20
3459.00,99.18
3458.00,99.15
3457.00,99.13
3456.00,99.10
3455.00,99.08
3454.00,99.06
3453.00,99.03
3452.00,99.01
3451.00,98.99
3450.00,98.97
3449.00,98.95
3448.00,98.92
3447.00,98.90
3446.00,98.87
3445.00,98.84
3444.00,98.81
3443.00,98.79
3442.00,98.77
3441.00,98.76
3440.00,98.76
3439.00,98.76
3438.00,98.76
3437.00,98.75
3436.00,98.73
3435.00,98.71
3434.00,98.70
3433.00,98.68
3432.00,98.68
3431.00,98.68
3430.00,98.68
3429.00,98.67
3428.00,98.67
3427.00,98.67
3426.00,98.67
3425.00,98.69
3424.00,98.71
3423.00,98.74
3422.00,98.77
3421.00,98.79
3420.00,98.82
3419.00,98.85
3418.00,98.88
3417.00,98.92
3416.00,98.96
3415.00,99.01
3414.00,99.05
3413.00,99.08
3412.00,99.11
3411.00,99.13
3410.00,99.16
3409.00,99.18
3408.00,99.20
3407.00,99.22
3406.00,99.24
3405.00,99.28
3404.00,99.31
3403.00,99.35
3402.00,99.37
3401.00,99.39
3400.00,99.39
3399.00,99.40
3398.00,99.40
3397.00,99.41
3396.00,99.42
3395.00,99.44
3394.00,99.45
3393.00,99.46
3392.00,99.47
3391.00,99.47
3390.00,99.47
3389.00,99.46
3388.00,99.46
3387.00,99.46
3386.00,99.46
3385.00,99.46
3384.00,99.47
3383.00,99.48
3382.00,99.49
3381.00,99.50
3380.00,99.50
3379.00,99.51
3378.00,99.51
3377.00,99.52
3376.00,99.52
3375.00,99.52
3374.00,99.52
3373.00,99.53
3372.00,99.53
3371.00,99.54
3370.00,99.55
3369.00,99.55
3368.00,99.55
3367.00,99.54
3366.00,99.54
3365.00,99.54
3364.00,99.54
3363.00,99.54
3362.00,99.54
3361.00,99.54
3360.00,99.53
3359.00,99.52
3358.00,99.52
3357.00,99.51
3356.00,99.51
3355.00,99.51
3354.00,99.51
3353.00,99.52
3352.00,99.52
3351.00,99.52
3350.00,99.51
3349.00,99.50
3348.00,99.50
3347.00,99.49
3346.00,99.49
3345.00,99.49
3344.00,99.48
3343.00,99.48
3342.00,99.48
3341.00,99.48
3340.00,99.49
3339.00,99.49
3338.00,99.48
3337.00,99.48
3336.00,99.47
3335.00,99.47
3334.00,99.47
3333.00,99.47
3332.00,99.48
3331.00,99.49
3330.00,99.49
3329.00,99.50
3328.00,99.51
3327.00,99.51
3326.00,99.52
3325.00,99.52
3324.00,99.53
3323.00,99.53
3322.00,99.54
3321.00,99.54
3320.00,99.55
3319.00,99.55
3318.00,99.55
3317.00,99.55
3316.00,99.56
3315.00,99.56
3314.00,99.56
3313.00,99.57
3312.00,99.57
3311.00,99.57
3310.00,99.57
3309.00,99.57
3308.00,99.57
3307.00,99.57
3306.00,99.56
3305.00,99.56
3304.00,99.56
3303.00,99.56
3302.00,99.55
3301.00,99.55
3300.00,99.55
3299.00,99.54
3298.00,99.54
3297.00,99.54
3296.00,99.55
3295.00,99.55
3294.00,99.56
3293.00,99.56
3292.00,99.56
3291.00,99.56
3290.00,99.56
3289.00,99.57
3288.00,99.57
3287.00,99.57
3286.00,99.57
3285.00,99.57
3284.00,99.58
3283.00,99.58
3282.00,99.58
3281.00,99.59
3280.00,99.59
3279.00,99.59
3278.00,99.60
3277.00,99.60
3276.00,99.60
3275.00,99.60
3274.00,99.60
3273.00,99.60
3272.00,99.60
3271.00,99.61
3270.00,99.61
3269.00,99.61
3268.00,99.61
3267.00,99.60
3266.00,99.60
3265.00,99.60
3264.00,99.59
3263.00,99.59
3262.00,99.59
3261.00,99.59
3260.00,99.60
3259.00,99.60
3258.00,99.60
3257.00,99.60
3256.00,99.59
3255.00,99.59
3254.00,99.59
3253.00,99.59
3252.00,99.59
3251.00,99.59
3250.00,99.59
3249.00,99.59
3248.00,99.59
3247.00,99.59
3246.00,99.58
3245.00,99.58
3244.00,99.58
3243.00,99.58
3242.00,99.57
3241.00,99.57
3240.00,99.57
3239.00,99.56
3238.00,99.56
3237.00,99.56
3236.00,99.56
3235.00,99.56
3234.00,99.56
3233.00,99.56
3232.00,99.56
3231.00,99.56
3230.00,99.56
3229.00,99.55
3228.00,99.55
3227.00,99.55
3226.00,99.55
3225.00,99.55
3224.00,99.55
3223.00,99.55
3222.00,99.55
3221.00,99.55
3220.00,99.55
3219.00,99.55
3218.00,99.56
3217.00,99.56
3216.00,99.57
3215.00,99.57
3214.00,99.57
3213.00,99.57
3212.00,99.57
3211.00,99.57
3210.00,99.57
3209.00,99.57
3208.00,99.57
3207.00,99.57
3206.00,99.56
3205.00,99.56
3204.00,99.56
3203.00,99.56
3202.00,99.56
3201.00,99.56
3200.00,99.56
3199.00,99.56
3198.00,99.56
3197.00,99.56
3196.00,99.56
3195.00,99.55
3194.00,99.55
3193.00,99.55
3192.00,99.54
3191.00,99.54
3190.00,99.54
3189.00,99.55
3188.00,99.54
3187.00,99.54
3186.00,99.54
3185.00,99.54
3184.00,99.53
3183.00,99.53
3182.00,99.52
3181.00,99.52
3180.00,99.53
3179.00,99.53
3178.00,99.53
3177.00,99.52
3176.00,99.52
3175.00,99.51
3174.00,99.51
3173.00,99.51
3172.00,99.51
3171.00,99.51
3170.00,99.51
3169.00,99.51
3168.00,99.50
3167.00,99.50
3166.00,99.50
3165.00,99.49
3164.00,99.49
3163.00,99.48
3162.00,99.48
3161.00,99.47
3160.00,99.47
3159.00,99.46
3158.00,99.46
3157.00,99.46
3156.00,99.46
3155.00,99.46
3154.00,99.46
3153.00,99.46
3152.00,99.45
3151.00,99.45
3150.00,99.44
3149.00,99.44
3148.00,99.43
3147.00,99.42
3146.00,99.42
3145.00,99.42
3144.00,99.41
3143.00,99.40
3142.00,99.40
3141.00,99.39
3140.00,99.38
3139.00,99.36
3138.00,99.35
3137.00,99.33
3136.00,99.32
3135.00,99.31
3134.00,99.29
3133.00,99.27
3132.00,99.26
3131.00,99.24
3130.00,99.22
3129.00,99.21
3128.00,99.21
3127.00,99.21
3126.00,99.22
3125.00,99.22
3124.00,99.23
3123.00,99.23
3122.00,99.23
3121.00,99.23
3120.00,99.23
3119.00,99.23
3118.00,99.22
3117.00,99.21
3116.00,99.19
3115.00,99.17
3114.00,99.14
3113.00,99.12
3112.00,99.09
3111.00,99.06
3110.00,99.03
3109.00,99.00
3108.00,98.97
3107.00,98.95
3106.00,98.92
3105.00,98.90
3104.00,98.89
3103.00,98.89
3102.00,98.89
3101.00,98.90
3100.00,98.91
3099.00,98.93
3098.00,98.95
3097.00,98.97
3096.00,98.98
3095.00,98.98
3094.00,98.97
3093.00,98.96
3092.00,98.95
3091.00,98.92
3090.00,98.89
3089.00,98.85
3088.00,98.81
3087.00,98.77
3086.00,98.73
3085.00,98.70
3084.00,98.67
3083.00,98.64
3082.00,98.62
3081.00,98.61
3080.00,98.61
3079.00,98.61
3078.00,98.62
3077.00,98.62
3076.00,98.63
3075.00,98.63
3074.00,98.62
3073.00,98.61
3072.00,98.60
3071.00,98.59
3070.00,98.57
3069.00,98.56
3068.00,98.55
3067.00,98.55
3066.00,98.56
3065.00,98.57
3064.00,98.58
3063.00,98.60
3062.00,98.61
3061.00,98.61
3060.00,98.61
3059.00,98.59
3058.00,98.57
3057.00,98.55
3056.00,98.53
3055.00,98.52
3054.00,98.53
3053.00,98.55
3052.00,98.60
3051.00,98.66
3050.00,98.73
3049.00,98.81
3048.00,98.89
3047.00,98.96
3046.00,99.02
3045.00,99.08
3044.00,99.12
3043.00,99.15
3042.00,99.17
3041.00,99.19
3040.00,99.20
3039.00,99.21
3038.00,99.21
3037.00,99.21
3036.00,99.20
3035.00,99.19
3034.00,99.18
3033.00,99.17
3032.00,99.16
3031.00,99.15
3030.00,99.13
3029.00,99.11
3028.00,99.09
3027.00,99.07
3026.00,99.05
3025.00,99.02
3024.00,99.00
3023.00,98.96
3022.00,98.93
3021.00,98.90
3020.00,98.86
3019.00,98.83
3018.00,98.79
3017.00,98.75
3016.00,98.71
3015.00,98.67
3014.00,98.62
3013.00,98.58
3012.00,98.53
3011.00,98.48
3010.00,98.42
3009.00,98.36
3008.00,98.31
3007.00,98.25
3006.00,98.20
3005.00,98.14
3004.00,98.09
3003.00,98.03
3002.00,97.98
3001.00,97.92
3000.00,97.87
2999.00,97.81
2998.00,97.75
2997.00,97.68
2996.00,97.62
2995.00,97.55
2994.00,97.47
2993.00,97.39
2992.00,97.31
2991.00,97.22
2990.00,97.12
2989.00,97.02
2988.00,96.92
2987.00,96.81
2986.00,96.69
2985.00,96.57
2984.00,96.45
2983.00,96.32
2982.00,96.19
2981.00,96.06
2980.00,95.91
2979.00,95.77
2978.00,95.62
2977.00,95.46
2976.00,95.30
2975.00,95.14
2974.00,94.97
2973.00,94.79
2972.00,94.61
2971.00,94.42
2970.00,94.23
2969.00,94.04
2968.00,93.85
2967.00,93.64
2966.00,93.44
2965.00,93.24
2964.00,93.04
2963.00,92.84
2962.00,92.65
2961.00,92.46
2960.00,92.28
2959.00,92.10
2958.00,91.92
2957.00,91.75
2956.00,91.58
2955.00,91.42
2954.00,91.27
2953.00,91.12
2952.00,90.97
2951.00,90.83
2950.00,90.69
2949.00,90.56
2948.00,90.43
2947.00,90.30
2946.00,90.19
2945.00,90.08
2944.00,89.98
2943.00,89.88
2942.00,89.80
2941.00,89.72
2940.00,89.65
2939.00,89.59
2938.00,89.52
2937.00,89.46
2936.00,89.40
2935.00,89.35
2934.00,89.30
2933.00,89.26
2932.00,89.22
2931.00,89.19
2930.00,89.18
2929.00,89.17
2928.00,89.18
2927.00,89.21
2926.00,89.25
2925.00,89.31
2924.00,89.39
2923.00,89.50
2922.00,89.63
2921.00,89.79
2920.00,89.98
2919.00,90.19
2918.00,90.43
2917.00,90.68
2916.00,90.95
2915.00,91.22
2914.00,91.49
2913.00,91.74
2912.00,91.98
2911.00,92.21
2910.00,92.41
2909.00,92.59
2908.00,92.76
2907.00,92.91
2906.00,93.04
2905.00,93.15
2904.00,93.25
2903.00,93.33
2902.00,93.39
2901.00,93.43
2900.00,93.45
2899.00,93.47
2898.00,93.48
2897.00,93.49
2896.00,93.51
2895.00,93.53
2894.00,93.58
2893.00,93.64
2892.00,93.72
2891.00,93.82
2890.00,93.93
2889.00,94.06
2888.00,94.20
2887.00,94.35
2886.00,94.51
2885.00,94.67
2884.00,94.83
2883.00,94.98
2882.00,95.12
2881.00,95.24
2880.00,95.33
2879.00,95.40
2878.00,95.45
2877.00,95.47
2876.00,95.47
2875.00,95.45
2874.00,95.41
2873.00,95.36
2872.00,95.29
2871.00,95.21
2870.00,95.12
2869.00,95.02
2868.00,94.91
2867.00,94.77
2866.00,94.62
2865.00,94.46
2864.00,94.28
2863.00,94.10
2862.00,93.91
2861.00,93.73
2860.00,93.56
2859.00,93.42
2858.00,93.31
2857.00,93.23
2856.00,93.21
2855.00,93.23
2854.00,93.30
2853.00,93.42
2852.00,93.59
2851.00,93.82
2850.00,94.11
2849.00,94.44
2848.00,94.81
2847.00,95.20
2846.00,95.59
2845.00,95.97
2844.00,96.32
2843.00,96.64
2842.00,96.94
2841.00,97.19
2840.00,97.42
2839.00,97.61
2838.00,97.78
2837.00,97.92
2836.00,98.05
2835.00,98.16
2834.00,98.26
2833.00,98.34
2832.00,98.41
2831.00,98.47
2830.00,98.53
2829.00,98.58
2828.00,98.63
2827.00,98.67
2826.00,98.71
2825.00,98.74
2824.00,98.78
2823.00,98.80
2822.00,98.83
2821.00,98.86
2820.00,98.88
2819.00,98.89
2818.00,98.91
2817.00,98.93
2816.00,98.94
2815.00,98.96
2814.00,98.97
2813.00,98.98
2812.00,98.99
2811.00,99.00
2810.00,99.01
2809.00,99.02
2808.00,99.03
2807.00,99.04
2806.00,99.05
2805.00,99.07
2804.00,99.08
2803.00,99.09
2802.00,99.11
2801.00,99.12
2800.00,99.14
2799.00,99.15
2798.00,99.17
2797.00,99.18
2796.00,99.19
2795.00,99.20
2794.00,99.21
2793.00,99.22
2792.00,99.24
2791.00,99.25
2790.00,99.26
2789.00,99.27
2788.00,99.28
2787.00,99.29
2786.00,99.30
2785.00,99.30
2784.00,99.31
2783.00,99.31
2782.00,99.31
2781.00,99.32
2780.00,99.32
2779.00,99.32
2778.00,99.33
2777.00,99.33
2776.00,99.34
2775.00,99.34
2774.00,99.34
2773.00,99.34
2772.00,99.34
2771.00,99.34
2770.00,99.34
2769.00,99.34
2768.00,99.35
2767.00,99.35
2766.00,99.35
2765.00,99.34
2764.00,99.34
2763.00,99.34
2762.00,99.33
2761.00,99.33
2760.00,99.33
2759.00,99.34
2758.00,99.34
2757.00,99.34
2756.00,99.34
2755.00,99.34
2754.00,99.35
2753.00,99.35
2752.00,99.36
2751.00,99.36
2750.00,99.37
2749.00,99.38
2748.00,99.39
2747.00,99.39
2746.00,99.40
2745.00,99.40
2744.00,99.41
2743.00,99.41
2742.00,99.42
2741.00,99.42
2740.00,99.43
2739.00,99.43
2738.00,99.43
2737.00,99.44
2736.00,99.44
2735.00,99.44
2734.00,99.45
2733.00,99.45
2732.00,99.45
2731.00,99.46
2730.00,99.47
2729.00,99.47
2728.00,99.48
2727.00,99.48
2726.00,99.49
2725.00,99.49
2724.00,99.50
2723.00,99.50
2722.00,99.51
2721.00,99.51
2720.00,99.51
2719.00,99.52
2718.00,99.52
2717.00,99.52
2716.00,99.52
2715.00,99.52
2714.00,99.52
2713.00,99.52
2712.00,99.52
2711.00,99.52
2710.00,99.53
2709.00,99.53
2708.00,99.53
2707.00,99.53
2706.00,99.54
2705.00,99.54
2704.00,99.54
2703.00,99.54
2702.00,99.55
2701.00,99.55
2700.00,99.55
2699.00,99.56
2698.00,99.56
2697.00,99.56
2696.00,99.56
2695.00,99.55
2694.00,99.55
2693.00,99.55
2692.00,99.55
2691.00,99.55
2690.00,99.55
2689.00,99.55
2688.00,99.55
2687.00,99.54
2686.00,99.54
2685.00,99.54
2684.00,99.54
2683.00,99.53
2682.00,99.53
2681.00,99.53
2680.00,99.53
2679.00,99.53
2678.00,99.53
2677.00,99.53
2676.00,99.53
2675.00,99.53
2674.00,99.53
2673.00,99.53
2672.00,99.53
2671.00,99.53
2670.00,99.53
2669.00,99.53
2668.00,99.53
2667.00,99.53
2666.00,99.53
2665.00,99.52
2664.00,99.52
2663.00,99.51
2662.00,99.51
2661.00,99.50
2660.00,99.50
2659.00,99.50
2658.00,99.50
2657.00,99.50
2656.00,99.50
2655.00,99.50
2654.00,99.50
2653.00,99.50
2652.00,99.51
2651.00,99.51
2650.00,99.51
2649.00,99.51
2648.00,99.51
2647.00,99.51
2646.00,99.50
2645.00,99.50
2644.00,99.49
2643.00,99.48
2642.00,99.48
2641.00,99.47
2640.00,99.47
2639.00,99.46
2638.00,99.45
2637.00,99.44
2636.00,99.43
2635.00,99.42
2634.00,99.41
2633.00,99.41
2632.00,99.40
2631.00,99.40
2630.00,99.39
2629.00,99.39
2628.00,99.39
2627.00,99.39
2626.00,99.39
2625.00,99.40
2624.00,99.40
2623.00,99.40
2622.00,99.41
2621.00,99.41
2620.00,99.41
2619.00,99.41
2618.00,99.41
2617.00,99.41
2616.00,99.41
2615.00,99.42
2614.00,99.42
2613.00,99.42
2612.00,99.43
2611.00,99.43
2610.00,99.43
2609.00,99.43
2608.00,99.43
2607.00,99.43
2606.00,99.43
2605.00,99.43
2604.00,99.44
2603.00,99.44
2602.00,99.44
2601.00,99.44
2600.00,99.44
2599.00,99.43
2598.00,99.43
2597.00,99.43
2596.00,99.43
2595.00,99.43
2594.00,99.42
2593.00,99.42
2592.00,99.42
2591.00,99.41
2590.00,99.40
2589.00,99.40
2588.00,99.39
2587.00,99.38
2586.00,99.38
2585.00,99.37
2584.00,99.37
2583.00,99.36
2582.00,99.37
2581.00,99.37
2580.00,99.36
2579.00,99.36
2578.00,99.36
2577.00,99.36
2576.00,99.36
2575.00,99.36
2574.00,99.36
2573.00,99.37
2572.00,99.37
2571.00,99.37
2570.00,99.38
2569.00,99.38
2568.00,99.38
2567.00,99.37
2566.00,99.38
2565.00,99.38
2564.00,99.39
2563.00,99.39
2562.00,99.39
2561.00,99.38
2560.00,99.38
2559.00,99.38
2558.00,99.38
2557.00,99.38
2556.00,99.38
2555.00,99.38
2554.00,99.38
2553.00,99.38
2552.00,99.38
2551.00,99.37
2550.00,99.37
2549.00,99.37
2548.00,99.37
2547.00,99.38
2546.00,99.38
2545.00,99.38
2544.00,99.38
2543.00,99.38
2542.00,99.38
2541.00,99.38
2540.00,99.38
2539.00,99.37
2538.00,99.37
2537.00,99.37
2536.00,99.37
2535.00,99.37
2534.00,99.37
2533.00,99.37
2532.00,99.36
2531.00,99.36
2530.00,99.37
2529.00,99.37
2528.00,99.38
2527.00,99.38
2526.00,99.38
2525.00,99.38
2524.00,99.38
2523.00,99.39
2522.00,99.39
2521.00,99.40
2520.00,99.41
2519.00,99.42
2518.00,99.42
2517.00,99.42
2516.00,99.43
2515.00,99.43
2514.00,99.43
2513.00,99.44
2512.00,99.45
2511.00,99.45
2510.00,99.46
2509.00,99.46
2508.00,99.46
2507.00,99.47
2506.00,99.47
2505.00,99.48
2504.00,99.48
2503.00,99.49
2502.00,99.49
2501.00,99.49
2500.00,99.50
2499.00,99.50
2498.00,99.51
2497.00,99.51
2496.00,99.52
2495.00,99.52
2494.00,99.53
2493.00,99.54
2492.00,99.54
2491.00,99.54
2490.00,99.55
2489.00,99.55
2488.00,99.56
2487.00,99.57
2486.00,99.57
2485.00,99.57
2484.00,99.57
2483.00,99.58
2482.00,99.58
2481.00,99.59
2480.00,99.59
2479.00,99.59
2478.00,99.59
2477.00,99.60
2476.00,99.60
2475.00,99.60
2474.00,99.60
2473.00,99.60
2472.00,99.61
2471.00,99.61
2470.00,99.61
2469.00,99.61
2468.00,99.62
2467.00,99.62
2466.00,99.62
2465.00,99.62
2464.00,99.61
2463.00,99.61
2462.00,99.61
2461.00,99.61
2460.00,99.61
2459.00,99.60
2458.00,99.60
2457.00,99.60
2456.00,99.59
2455.00,99.58
2454.00,99.58
2453.00,99.58
2452.00,99.59
2451.00,99.59
