Created as New Dataset,PVOH MW 130K
cm-1,%T
4000.00,99.08
3999.00,99.08
3998.00,99.08
3997.00,99.08
3996.00,99.08
3995.00,99.08
3994.00,99.08
3993.00,99.08
3992.00,99.08
3991.00,99.08
3990.00,99.08
3989.00,99.08
3988.00,99.08
3987.00,99.08
3986.00,99.08
3985.00,99.08
3984.00,99.08
3983.00,99.08
3982.00,99.08
3981.00,99.09
3980.00,99.09
3979.00,99.09
3978.00,99.09
3977.00,99.09
3976.00,99.09
3975.00,99.08
3974.00,99.08
3973.00,99.08
3972.00,99.09
3971.00,99.09
3970.00,99.09
3969.00,99.09
3968.00,99.09
3967.00,99.08
3966.00,99.08
3965.00,99.09
3964.00,99.09
3963.00,99.09
3962.00,99.09
3961.00,99.10
3960.00,99.10
3959.00,99.10
3958.00,99.10
3957.00,99.09
3956.00,99.09
3955.00,99.09
3954.00,99.09
3953.00,99.09
3952.00,99.09
3951.00,99.10
3950.00,99.10
3949.00,99.10
3948.00,99.10
3947.00,99.10
3946.00,99.10
3945.00,99.11
3944.00,99.11
3943.00,99.11
3942.00,99.11
3941.00,99.11
3940.00,99.11
3939.00,99.10
3938.00,99.10
3937.00,99.11
3936.00,99.11
3935.00,99.11
3934.00,99.11
3933.00,99.11
3932.00,99.12
3931.00,99.12
3930.00,99.12
3929.00,99.12
3928.00,99.12
3927.00,99.12
3926.00,99.12
3925.00,99.12
3924.00,99.12
3923.00,99.12
3922.00,99.12
3921.00,99.12
3920.00,99.12
3919.00,99.13
3918.00,99.13
3917.00,99.13
3916.00,99.13
3915.00,99.13
3914.00,99.13
3913.00,99.12
3912.00,99.12
3911.00,99.12
3910.00,99.12
3909.00,99.12
3908.00,99.12
3907.00,99.12
3906.00,99.13
3905.00,99.13
3904.00,99.13
3903.00,99.14
3902.00,99.14
3901.00,99.13
3900.00,99.13
3899.00,99.13
3898.00,99.13
3897.00,99.13
3896.00,99.13
3895.00,99.13
3894.00,99.13
3893.00,99.13
3892.00,99.13
3891.00,99.13
3890.00,99.13
3889.00,99.13
3888.00,99.12
3887.00,99.12
3886.00,99.12
3885.00,99.12
3884.00,99.13
3883.00,99.13
3882.00,99.13
3881.00,99.13
3880.00,99.13
3879.00,99.14
3878.00,99.14
3877.00,99.13
3876.00,99.12
3875.00,99.12
3874.00,99.12
3873.00,99.12
3872.00,99.12
3871.00,99.12
3870.00,99.12
3869.00,99.13
3868.00,99.13
3867.00,99.12
3866.00,99.12
3865.00,99.12
3864.00,99.12
3863.00,99.13
3862.00,99.13
3861.00,99.13
3860.00,99.13
3859.00,99.13
3858.00,99.13
3857.00,99.13
3856.00,99.14
3855.00,99.14
3854.00,99.13
3853.00,99.13
3852.00,99.14
3851.00,99.14
3850.00,99.13
3849.00,99.13
3848.00,99.13
3847.00,99.13
3846.00,99.13
3845.00,99.13
3844.00,99.13
3843.00,99.13
3842.00,99.14
3841.00,99.14
3840.00,99.14
3839.00,99.13
3838.00,99.13
3837.00,99.13
3836.00,99.13
3835.00,99.12
3834.00,99.12
3833.00,99.12
3832.00,99.12
3831.00,99.13
3830.00,99.13
3829.00,99.13
3828.00,99.12
3827.00,99.12
3826.00,99.12
3825.00,99.13
3824.00,99.13
3823.00,99.12
3822.00,99.12
3821.00,99.12
3820.00,99.13
3819.00,99.13
3818.00,99.13
3817.00,99.13
3816.00,99.12
3815.00,99.12
3814.00,99.13
3813.00,99.13
3812.00,99.13
3811.00,99.13
3810.00,99.13
3809.00,99.13
3808.00,99.13
3807.00,99.13
3806.00,99.13
3805.00,99.13
3804.00,99.12
3803.00,99.12
3802.00,99.11
3801.00,99.11
3800.00,99.11
3799.00,99.11
3798.00,99.11
3797.00,99.11
3796.00,99.11
3795.00,99.12
3794.00,99.12
3793.00,99.11
3792.00,99.11
3791.00,99.11
3790.00,99.11
3789.00,99.11
3788.00,99.11
3787.00,99.11
3786.00,99.11
3785.00,99.11
3784.00,99.11
3783.00,99.11
3782.00,99.11
3781.00,99.11
3780.00,99.11
3779.00,99.11
3778.00,99.11
3777.00,99.11
3776.00,99.11
3775.00,99.11
3774.00,99.11
3773.00,99.11
3772.00,99.11
3771.00,99.11
3770.00,99.11
3769.00,99.11
3768.00,99.10
3767.00,99.10
3766.00,99.10
3765.00,99.10
3764.00,99.11
3763.00,99.11
3762.00,99.11
3761.00,99.11
3760.00,99.10
3759.00,99.10
3758.00,99.10
3757.00,99.10
3756.00,99.11
3755.00,99.11
3754.00,99.11
3753.00,99.10
3752.00,99.10
3751.00,99.09
3750.00,99.10
3749.00,99.10
3748.00,99.11
3747.00,99.11
3746.00,99.10
3745.00,99.10
3744.00,99.11
3743.00,99.12
3742.00,99.12
3741.00,99.12
3740.00,99.11
3739.00,99.11
3738.00,99.12
3737.00,99.12
3736.00,99.12
3735.00,99.13
3734.00,99.13
3733.00,99.14
3732.00,99.14
3731.00,99.14
3730.00,99.14
3729.00,99.14
3728.00,99.13
3727.00,99.13
3726.00,99.13
3725.00,99.13
3724.00,99.13
3723.00,99.13
3722.00,99.13
3721.00,99.13
3720.00,99.13
3719.00,99.12
3718.00,99.12
3717.00,99.12
3716.00,99.12
3715.00,99.12
3714.00,99.11
3713.00,99.11
3712.00,99.11
3711.00,99.11
3710.00,99.11
3709.00,99.11
3708.00,99.11
3707.00,99.11
3706.00,99.11
3705.00,99.12
3704.00,99.12
3703.00,99.12
3702.00,99.12
3701.00,99.12
3700.00,99.12
3699.00,99.12
3698.00,99.12
3697.00,99.11
3696.00,99.11
3695.00,99.11
3694.00,99.10
3693.00,99.10
3692.00,99.09
3691.00,99.08
3690.00,99.07
3689.00,99.06
3688.00,99.06
3687.00,99.06
3686.00,99.06
3685.00,99.06
3684.00,99.05
3683.00,99.05
3682.00,99.04
3681.00,99.04
3680.00,99.04
3679.00,99.04
3678.00,99.04
3677.00,99.03
3676.00,99.02
3675.00,99.01
3674.00,99.01
3673.00,99.00
3672.00,98.99
3671.00,98.97
3670.00,98.96
3669.00,98.96
3668.00,98.95
3667.00,98.95
3666.00,98.94
3665.00,98.93
3664.00,98.92
3663.00,98.91
3662.00,98.90
3661.00,98.89
3660.00,98.88
3659.00,98.87
3658.00,98.86
3657.00,98.85
3656.00,98.83
3655.00,98.82
3654.00,98.82
3653.00,98.81
3652.00,98.80
3651.00,98.79
3650.00,98.77
3649.00,98.75
3648.00,98.74
3647.00,98.73
3646.00,98.72
3645.00,98.70
3644.00,98.68
3643.00,98.67
3642.00,98.65
3641.00,98.64
3640.00,98.63
3639.00,98.61
3638.00,98.60
3637.00,98.59
3636.00,98.57
3635.00,98.55
3634.00,98.54
3633.00,98.53
3632.00,98.51
3631.00,98.49
3630.00,98.46
3629.00,98.43
3628.00,98.40
