Created as New Dataset,EVA (ethylene vinyl acetate) GF
cm-1,%T
3649.00,97.93
3648.00,97.93
3647.00,97.92
3646.00,97.91
3645.00,97.90
3644.00,97.89
3643.00,97.88
3642.00,97.88
3641.00,97.89
3640.00,97.90
3639.00,97.90
3638.00,97.91
3637.00,97.91
3636.00,97.91
3635.00,97.91
3634.00,97.91
3633.00,97.92
3632.00,97.93
3631.00,97.93
3630.00,97.92
3629.00,97.91
3628.00,97.92
3627.00,97.92
3626.00,97.92
3625.00,97.91
3624.00,97.91
3623.00,97.92
3622.00,97.92
3621.00,97.92
3620.00,97.92
3619.00,97.92
3618.00,97.92
3617.00,97.92
3616.00,97.91
3615.00,97.91
3614.00,97.91
3613.00,97.91
3612.00,97.91
3611.00,97.90
3610.00,97.90
3609.00,97.89
3608.00,97.90
3607.00,97.90
3606.00,97.90
3605.00,97.90
3604.00,97.90
3603.00,97.90
3602.00,97.90
3601.00,97.90
3600.00,97.90
3599.00,97.90
3598.00,97.90
3597.00,97.90
3596.00,97.90
3595.00,97.90
3594.00,97.90
3593.00,97.90
3592.00,97.89
3591.00,97.89
3590.00,97.90
3589.00,97.90
3588.00,97.89
3587.00,97.89
3586.00,97.89
3585.00,97.88
3584.00,97.87
3583.00,97.86
3582.00,97.85
3581.00,97.85
3580.00,97.86
3579.00,97.86
3578.00,97.86
3577.00,97.85
3576.00,97.85
3575.00,97.85
3574.00,97.86
3573.00,97.86
3572.00,97.87
3571.00,97.87
3570.00,97.87
3569.00,97.87
3568.00,97.87
3567.00,97.86
3566.00,97.86
3565.00,97.85
3564.00,97.84
3563.00,97.84
3562.00,97.84
3561.00,97.83
3560.00,97.82
3559.00,97.82
3558.00,97.81
3557.00,97.81
3556.00,97.81
3555.00,97.81
3554.00,97.80
3553.00,97.80
3552.00,97.80
3551.00,97.80
3550.00,97.79
3549.00,97.79
3548.00,97.78
3547.00,97.78
3546.00,97.77
3545.00,97.77
3544.00,97.76
3543.00,97.76
3542.00,97.75
3541.00,97.75
3540.00,97.74
3539.00,97.74
3538.00,97.74
3537.00,97.73
