Created as New Dataset,PS Granule GF
cm-1,%T
3648.00,99.83
3647.00,99.82
3646.00,99.82
3645.00,99.82
3644.00,99.83
3643.00,99.83
3642.00,99.84
3641.00,99.84
3640.00,99.84
3639.00,99.84
3638.00,99.84
3637.00,99.84
3636.00,99.84
3635.00,99.84
3634.00,99.84
3633.00,99.84
3632.00,99.84
3631.00,99.84
3630.00,99.85
3629.00,99.85
3628.00,99.84
3627.00,99.84
3626.00,99.83
3625.00,99.83
3624.00,99.84
3623.00,99.84
3622.00,99.84
3621.00,99.85
3620.00,99.85
3619.00,99.85
3618.00,99.85
3617.00,99.85
3616.00,99.85
3615.00,99.85
3614.00,99.84
3613.00,99.84
3612.00,99.84
3611.00,99.84
3610.00,99.84
3609.00,99.84
3608.00,99.84
3607.00,99.84
3606.00,99.84
3605.00,99.84
3604.00,99.85
3603.00,99.86
3602.00,99.87
3601.00,99.87
3600.00,99.87
3599.00,99.86
3598.00,99.85
3597.00,99.85
3596.00,99.85
3595.00,99.85
3594.00,99.85
3593.00,99.86
3592.00,99.85
3591.00,99.85
3590.00,99.85
3589.00,99.85
3588.00,99.85
3587.00,99.86
3586.00,99.86
3585.00,99.86
3584.00,99.86
3583.00,99.86
3582.00,99.86
3581.00,99.86
3580.00,99.86
3579.00,99.86
3578.00,99.86
3577.00,99.86
3576.00,99.86
3575.00,99.86
3574.00,99.85
3573.00,99.85
3572.00,99.85
3571.00,99.85
3570.00,99.86
3569.00,99.86
3568.00,99.86
3567.00,99.85
3566.00,99.85
3565.00,99.85
3564.00,99.85
3563.00,99.86
3562.00,99.86
3561.00,99.86
3560.00,99.86
3559.00,99.86
3558.00,99.86
3557.00,99.86
3556.00,99.86
3555.00,99.86
3554.00,99.86
3553.00,99.87
3552.00,99.87
3551.00,99.87
3550.00,99.87
3549.00,99.86
3548.00,99.86
3547.00,99.86
3546.00,99.86
3545.00,99.86
3544.00,99.86
3543.00,99.86
3542.00,99.86
3541.00,99.86
3540.00,99.86
3539.00,99.86
3538.00,99.86
3537.00,99.86
3536.00,99.86
3535.00,99.86
3534.00,99.86
3533.00,99.86
3532.00,99.86
3531.00,99.86
3530.00,99.86
3529.00,99.86
3528.00,99.86
3527.00,99.86
3526.00,99.86
3525.00,99.85
3524.00,99.85
3523.00,99.85
3522.00,99.85
3521.00,99.85
3520.00,99.85
3519.00,99.86
3518.00,99.86
3517.00,99.87
3516.00,99.87
3515.00,99.87
3514.00,99.86
3513.00,99.86
3512.00,99.86
3511.00,99.86
3510.00,99.86
3509.00,99.86
3508.00,99.86
3507.00,99.86
3506.00,99.86
3505.00,99.86
3504.00,99.86
3503.00,99.87
3502.00,99.87
3501.00,99.87
3500.00,99.87
3499.00,99.87
3498.00,99.87
3497.00,99.87
3496.00,99.87
3495.00,99.86
3494.00,99.86
3493.00,99.86
3492.00,99.86
3491.00,99.86
3490.00,99.87
3489.00,99.87
3488.00,99.87
3487.00,99.87
3486.00,99.86
3485.00,99.86
3484.00,99.87
3483.00,99.87
3482.00,99.87
3481.00,99.87
3480.00,99.87
3479.00,99.86
3478.00,99.86
3477.00,99.86
3476.00,99.86
3475.00,99.86
3474.00,99.87
3473.00,99.87
3472.00,99.88
3471.00,99.88
3470.00,99.87
3469.00,99.87
3468.00,99.87
3467.00,99.87
3466.00,99.87
3465.00,99.87
3464.00,99.87
3463.00,99.87
3462.00,99.87
3461.00,99.87
3460.00,99.87
3459.00,99.87
