Created as New Dataset,PS Biaxial Film GF
cm-1,%T
3648.00,99.41
3647.00,99.42
3646.00,99.42
3645.00,99.43
3644.00,99.43
3643.00,99.44
3642.00,99.45
3641.00,99.46
3640.00,99.46
3639.00,99.47
3638.00,99.48
3637.00,99.48
3636.00,99.49
3635.00,99.48
3634.00,99.48
3633.00,99.48
3632.00,99.48
3631.00,99.48
3630.00,99.48
3629.00,99.48
3628.00,99.48
3627.00,99.48
3626.00,99.47
3625.00,99.47
3624.00,99.47
3623.00,99.48
3622.00,99.48
3621.00,99.47
3620.00,99.47
3619.00,99.47
3618.00,99.48
3617.00,99.48
3616.00,99.48
3615.00,99.48
3614.00,99.49
3613.00,99.49
3612.00,99.49
3611.00,99.49
3610.00,99.50
3609.00,99.50
3608.00,99.50
3607.00,99.51
3606.00,99.51
3605.00,99.51
3604.00,99.51
3603.00,99.52
3602.00,99.52
3601.00,99.52
3600.00,99.52
3599.00,99.51
3598.00,99.51
3597.00,99.51
3596.00,99.51
3595.00,99.50
3594.00,99.50
3593.00,99.50
3592.00,99.50
3591.00,99.50
3590.00,99.50
3589.00,99.50
3588.00,99.50
3587.00,99.50
3586.00,99.50
3585.00,99.50
3584.00,99.51
3583.00,99.51
3582.00,99.52
3581.00,99.52
3580.00,99.53
3579.00,99.53
3578.00,99.53
3577.00,99.53
3576.00,99.53
3575.00,99.53
3574.00,99.53
3573.00,99.53
3572.00,99.53
3571.00,99.53
3570.00,99.52
3569.00,99.52
3568.00,99.52
3567.00,99.52
3566.00,99.52
3565.00,99.53
3564.00,99.53
3563.00,99.53
3562.00,99.53
3561.00,99.53
3560.00,99.53
3559.00,99.54
3558.00,99.54
3557.00,99.54
3556.00,99.53
3555.00,99.53
3554.00,99.53
3553.00,99.52
3552.00,99.52
3551.00,99.52
3550.00,99.52
3549.00,99.52
3548.00,99.52
3547.00,99.52
3546.00,99.53
3545.00,99.53
3544.00,99.53
3543.00,99.52
3542.00,99.52
3541.00,99.52
3540.00,99.52
3539.00,99.52
3538.00,99.52
3537.00,99.53
3536.00,99.53
3535.00,99.52
3534.00,99.52
3533.00,99.52
3532.00,99.52
3531.00,99.52
3530.00,99.52
3529.00,99.52
3528.00,99.52
3527.00,99.52
3526.00,99.52
3525.00,99.52
3524.00,99.52
3523.00,99.52
3522.00,99.52
3521.00,99.52
3520.00,99.52
3519.00,99.52
3518.00,99.51
3517.00,99.51
3516.00,99.51
3515.00,99.51
3514.00,99.51
3513.00,99.51
3512.00,99.51
3511.00,99.51
3510.00,99.51
3509.00,99.51
3508.00,99.51
3507.00,99.51
3506.00,99.51
3505.00,99.52
3504.00,99.52
3503.00,99.51
3502.00,99.51
3501.00,99.51
3500.00,99.51
3499.00,99.51
3498.00,99.51
3497.00,99.51
3496.00,99.51
3495.00,99.51
3494.00,99.51
3493.00,99.51
3492.00,99.51
3491.00,99.51
3490.00,99.51
3489.00,99.51
3488.00,99.51
3487.00,99.51
3486.00,99.51
3485.00,99.51
3484.00,99.51
3483.00,99.51
3482.00,99.51
3481.00,99.51
3480.00,99.51
3479.00,99.51
3478.00,99.50
3477.00,99.50
3476.00,99.50
3475.00,99.50
3474.00,99.50
3473.00,99.50
3472.00,99.51
3471.00,99.51
3470.00,99.50
3469.00,99.50
3468.00,99.50
3467.00,99.50
3466.00,99.50
3465.00,99.50
3464.00,99.50
3463.00,99.50
3462.00,99.50
3461.00,99.50
3460.00,99.50
3459.00,99.49
3458.00,99.49
3457.00,99.49
3456.00,99.49
3455.00,99.49
3454.00,99.49
3453.00,99.50
3452.00,99.50
3451.00,99.50
3450.00,99.49
3449.00,99.49
3448.00,99.49
3447.00,99.49
3446.00,99.49
3445.00,99.49
3444.00,99.49
3443.00,99.48
3442.00,99.49
3441.00,99.49
3440.00,99.49
3439.00,99.49
3438.00,99.49
3437.00,99.49
3436.00,99.49
3435.00,99.49
3434.00,99.49
3433.00,99.49
3432.00,99.49
3431.00,99.49
3430.00,99.49
3429.00,99.49
3428.00,99.50
3427.00,99.50
3426.00,99.50
3425.00,99.50
3424.00,99.50
3423.00,99.50
3422.00,99.50
3421.00,99.50
3420.00,99.50
3419.00,99.51
3418.00,99.51
3417.00,99.51
3416.00,99.51
3415.00,99.51
3414.00,99.51
3413.00,99.50
3412.00,99.50
3411.00,99.50
3410.00,99.50
3409.00,99.49
3408.00,99.49
3407.00,99.49
3406.00,99.49
3405.00,99.49
3404.00,99.49
3403.00,99.48
3402.00,99.48
3401.00,99.48
3400.00,99.47
3399.00,99.47
3398.00,99.46
3397.00,99.46
3396.00,99.46
3395.00,99.46
3394.00,99.46
3393.00,99.46
3392.00,99.46
3391.00,99.46
3390.00,99.45
3389.00,99.45
3388.00,99.45
3387.00,99.46
3386.00,99.46
3385.00,99.47
3384.00,99.47
3383.00,99.48
3382.00,99.48
3381.00,99.48
3380.00,99.48
3379.00,99.48
3378.00,99.48
3377.00,99.48
3376.00,99.49
3375.00,99.49
3374.00,99.50
3373.00,99.50
3372.00,99.50
3371.00,99.50
3370.00,99.50
3369.00,99.51
3368.00,99.51
3367.00,99.51
3366.00,99.51
3365.00,99.51
3364.00,99.51
3363.00,99.51
3362.00,99.51
3361.00,99.51
3360.00,99.51
3359.00,99.51
3358.00,99.52
3357.00,99.52
3356.00,99.52
3355.00,99.52
3354.00,99.52
3353.00,99.51
3352.00,99.51
3351.00,99.51
3350.00,99.51
3349.00,99.51
3348.00,99.51
3347.00,99.52
3346.00,99.52
3345.00,99.52
3344.00,99.52
3343.00,99.52
3342.00,99.52
3341.00,99.52
3340.00,99.53
3339.00,99.53
3338.00,99.52
3337.00,99.52
3336.00,99.52
3335.00,99.52
3334.00,99.52
3333.00,99.52
3332.00,99.52
3331.00,99.52
3330.00,99.52
3329.00,99.52
3328.00,99.52
3327.00,99.52
3326.00,99.52
3325.00,99.52
3324.00,99.52
3323.00,99.52
3322.00,99.53
3321.00,99.53
3320.00,99.53
3319.00,99.53
3318.00,99.53
3317.00,99.53
3316.00,99.53
3315.00,99.53
3314.00,99.53
3313.00,99.53
3312.00,99.53
3311.00,99.54
3310.00,99.54
3309.00,99.54
3308.00,99.53
3307.00,99.53
3306.00,99.53
3305.00,99.53
3304.00,99.53
3303.00,99.53
3302.00,99.53
3301.00,99.53
3300.00,99.53
3299.00,99.53
3298.00,99.53
3297.00,99.53
3296.00,99.53
3295.00,99.53
3294.00,99.53
3293.00,99.53
3292.00,99.53
3291.00,99.53
3290.00,99.53
3289.00,99.53
3288.00,99.53
3287.00,99.54
3286.00,99.54
3285.00,99.54
3284.00,99.54
3283.00,99.53
3282.00,99.53
3281.00,99.53
3280.00,99.53
3279.00,99.53
3278.00,99.53
3277.00,99.53
3276.00,99.53
3275.00,99.53
3274.00,99.53
3273.00,99.53
3272.00,99.53
3271.00,99.54
3270.00,99.54
3269.00,99.53
3268.00,99.53
3267.00,99.53
3266.00,99.53
3265.00,99.53
3264.00,99.53
3263.00,99.53
3262.00,99.53
3261.00,99.52
3260.00,99.52
3259.00,99.52
3258.00,99.53
3257.00,99.53
3256.00,99.54
3255.00,99.54
3254.00,99.54
3253.00,99.54
3252.00,99.53
3251.00,99.53
3250.00,99.53
3249.00,99.53
3248.00,99.53
3247.00,99.52
3246.00,99.53
3245.00,99.53
3244.00,99.53
3243.00,99.53
3242.00,99.53
3241.00,99.53
3240.00,99.53
3239.00,99.53
3238.00,99.53
3237.00,99.53
3236.00,99.53
3235.00,99.53
3234.00,99.53
3233.00,99.53
3232.00,99.53
3231.00,99.53
3230.00,99.53
3229.00,99.53
3228.00,99.53
3227.00,99.53
3226.00,99.53
3225.00,99.53
3224.00,99.53
3223.00,99.52
3222.00,99.52
3221.00,99.51
3220.00,99.51
3219.00,99.51
3218.00,99.51
3217.00,99.50
3216.00,99.50
3215.00,99.49
3214.00,99.49
3213.00,99.49
3212.00,99.49
3211.00,99.49
3210.00,99.49
3209.00,99.48
3208.00,99.48
3207.00,99.47
3206.00,99.47
3205.00,99.47
3204.00,99.47
3203.00,99.46
3202.00,99.46
3201.00,99.46
3200.00,99.46
3199.00,99.46
3198.00,99.47
3197.00,99.47
3196.00,99.47
3195.00,99.47
3194.00,99.47
3193.00,99.47
3192.00,99.47
3191.00,99.47
3190.00,99.47
3189.00,99.47
3188.00,99.47
3187.00,99.47
3186.00,99.48
3185.00,99.48
3184.00,99.48
3183.00,99.48
3182.00,99.47
3181.00,99.47
3180.00,99.47
3179.00,99.48
3178.00,99.48
3177.00,99.48
3176.00,99.48
3175.00,99.48
3174.00,99.48
3173.00,99.48
3172.00,99.48
3171.00,99.47
3170.00,99.46
3169.00,99.45
3168.00,99.44
3167.00,99.43
3166.00,99.42
3165.00,99.42
3164.00,99.41
3163.00,99.41
3162.00,99.41
3161.00,99.42
3160.00,99.43
3159.00,99.44
3158.00,99.44
3157.00,99.45
3156.00,99.46
3155.00,99.46
3154.00,99.47
3153.00,99.47
3152.00,99.47
3151.00,99.48
3150.00,99.48
3149.00,99.48
3148.00,99.48
3147.00,99.48
3146.00,99.48
3145.00,99.48
3144.00,99.48
