Created as New Dataset,PS pellet 35kDa Sigma
cm-1,%T
3648.00,94.79
3647.00,94.80
3646.00,94.80
3645.00,94.80
3644.00,94.81
3643.00,94.81
3642.00,94.81
3641.00,94.82
3640.00,94.82
3639.00,94.82
3638.00,94.82
3637.00,94.83
3636.00,94.83
3635.00,94.84
3634.00,94.85
3633.00,94.85
3632.00,94.86
3631.00,94.86
3630.00,94.85
3629.00,94.85
3628.00,94.85
3627.00,94.84
3626.00,94.84
3625.00,94.84
3624.00,94.84
3623.00,94.84
3622.00,94.84
3621.00,94.84
3620.00,94.84
3619.00,94.85
3618.00,94.85
3617.00,94.86
3616.00,94.86
3615.00,94.87
3614.00,94.87
3613.00,94.88
3612.00,94.88
3611.00,94.88
3610.00,94.88
3609.00,94.88
3608.00,94.89
3607.00,94.89
3606.00,94.89
3605.00,94.89
3604.00,94.89
3603.00,94.89
3602.00,94.90
3601.00,94.90
3600.00,94.90
3599.00,94.90
3598.00,94.90
3597.00,94.90
3596.00,94.90
3595.00,94.90
3594.00,94.91
3593.00,94.91
3592.00,94.92
3591.00,94.92
3590.00,94.91
3589.00,94.91
3588.00,94.91
3587.00,94.92
3586.00,94.92
3585.00,94.93
3584.00,94.93
3583.00,94.93
3582.00,94.93
3581.00,94.94
3580.00,94.94
3579.00,94.94
3578.00,94.94
3577.00,94.94
3576.00,94.95
3575.00,94.95
3574.00,94.95
3573.00,94.94
3572.00,94.94
3571.00,94.94
3570.00,94.94
3569.00,94.95
3568.00,94.95
3567.00,94.96
3566.00,94.96
3565.00,94.96
3564.00,94.96
3563.00,94.96
3562.00,94.95
3561.00,94.95
3560.00,94.95
3559.00,94.95
3558.00,94.96
3557.00,94.96
3556.00,94.96
3555.00,94.97
3554.00,94.97
3553.00,94.97
3552.00,94.97
3551.00,94.97
3550.00,94.97
3549.00,94.97
3548.00,94.97
3547.00,94.97
3546.00,94.97
3545.00,94.97
3544.00,94.97
3543.00,94.97
3542.00,94.97
3541.00,94.97
3540.00,94.97
3539.00,94.97
3538.00,94.97
3537.00,94.97
3536.00,94.97
3535.00,94.97
3534.00,94.97
3533.00,94.98
3532.00,94.98
3531.00,94.98
3530.00,94.98
3529.00,94.98
3528.00,94.98
3527.00,94.98
3526.00,94.98
3525.00,94.98
3524.00,94.98
3523.00,94.98
3522.00,94.98
3521.00,94.98
3520.00,94.98
3519.00,94.98
3518.00,94.98
3517.00,94.97
3516.00,94.97
3515.00,94.97
3514.00,94.98
3513.00,94.98
3512.00,94.98
3511.00,94.98
3510.00,94.98
3509.00,94.97
3508.00,94.98
3507.00,94.98
3506.00,94.98
3505.00,94.98
3504.00,94.98
3503.00,94.99
3502.00,94.99
3501.00,94.99
3500.00,94.99
3499.00,94.99
3498.00,94.99
3497.00,94.99
3496.00,94.99
3495.00,94.99
3494.00,94.98
3493.00,94.98
3492.00,94.98
3491.00,94.97
3490.00,94.98
3489.00,94.98
3488.00,94.98
3487.00,94.98
3486.00,94.99
3485.00,94.99
3484.00,94.99
3483.00,94.99
3482.00,94.99
3481.00,94.99
3480.00,94.98
3479.00,94.98
3478.00,94.98
3477.00,94.98
3476.00,94.98
3475.00,94.98
3474.00,94.98
3473.00,94.98
3472.00,94.98
3471.00,94.98
3470.00,94.98
3469.00,94.98
3468.00,94.98
3467.00,94.99
3466.00,94.99
3465.00,94.99
3464.00,94.98
3463.00,94.98
3462.00,94.98
3461.00,94.98
3460.00,94.98
3459.00,94.98
3458.00,94.98
3457.00,94.98
3456.00,94.98
3455.00,94.98
3454.00,94.98
3453.00,94.98
3452.00,94.98
3451.00,94.98
3450.00,94.98
3449.00,94.98
3448.00,94.98
3447.00,94.98
3446.00,94.98
3445.00,94.98
3444.00,94.98
3443.00,94.98
3442.00,94.98
3441.00,94.98
3440.00,94.98
3439.00,94.99
3438.00,94.99
3437.00,94.99
3436.00,94.99
3435.00,94.99
3434.00,94.99
3433.00,94.99
3432.00,94.99
3431.00,94.99
3430.00,95.00
3429.00,95.00
3428.00,95.00
3427.00,95.00
3426.00,95.00
3425.00,95.00
3424.00,95.00
3423.00,95.01
3422.00,95.00
3421.00,95.00
3420.00,94.99
3419.00,94.99
3418.00,94.99
3417.00,95.00
3416.00,95.00
3415.00,95.00
3414.00,95.00
3413.00,95.00
3412.00,95.00
3411.00,95.00
3410.00,95.00
3409.00,95.00
3408.00,94.99
3407.00,94.99
3406.00,94.99
3405.00,95.00
3404.00,95.00
3403.00,95.00
3402.00,95.00
3401.00,95.01
3400.00,95.00
3399.00,95.00
3398.00,95.00
3397.00,95.00
3396.00,95.00
3395.00,95.01
3394.00,95.01
3393.00,95.00
3392.00,95.00
3391.00,95.00
3390.00,95.00
3389.00,95.00
3388.00,95.00
3387.00,95.00
3386.00,95.00
3385.00,95.00
3384.00,95.00
3383.00,95.00
3382.00,95.00
3381.00,94.99
3380.00,94.99
3379.00,95.00
3378.00,95.00
3377.00,95.00
3376.00,95.00
3375.00,95.00
3374.00,95.00
3373.00,95.00
3372.00,95.00
3371.00,95.00
3370.00,95.00
3369.00,95.01
3368.00,95.01
3367.00,95.01
3366.00,95.01
3365.00,95.00
3364.00,95.00
3363.00,95.00
3362.00,94.99
3361.00,94.99
3360.00,94.99
3359.00,94.99
3358.00,94.99
3357.00,94.99
3356.00,94.99
3355.00,95.00
3354.00,95.00
3353.00,95.00
3352.00,95.00
3351.00,95.00
3350.00,95.00
3349.00,94.99
3348.00,94.99
3347.00,94.99
3346.00,94.99
3345.00,94.99
3344.00,94.99
3343.00,94.99
3342.00,94.99
3341.00,94.99
3340.00,94.99
3339.00,94.99
3338.00,94.99
3337.00,94.99
3336.00,94.99
3335.00,94.99
3334.00,94.99
3333.00,94.99
3332.00,94.99
3331.00,94.99
3330.00,94.99
3329.00,94.99
3328.00,94.99
3327.00,94.99
3326.00,95.00
3325.00,95.00
3324.00,95.00
3323.00,94.99
3322.00,94.99
3321.00,94.99
3320.00,94.99
3319.00,94.99
3318.00,94.99
3317.00,94.99
3316.00,94.99
3315.00,94.99
3314.00,94.99
3313.00,94.99
3312.00,94.98
3311.00,94.98
3310.00,94.98
3309.00,94.99
3308.00,94.99
3307.00,94.99
3306.00,94.99
3305.00,94.99
3304.00,94.99
3303.00,94.98
3302.00,94.98
3301.00,94.98
3300.00,94.98
3299.00,94.98
3298.00,94.98
3297.00,94.98
3296.00,94.98
3295.00,94.98
3294.00,94.97
3293.00,94.97
3292.00,94.97
3291.00,94.97
3290.00,94.97
3289.00,94.97
3288.00,94.97
3287.00,94.97
3286.00,94.97
3285.00,94.97
3284.00,94.97
3283.00,94.97
