Created as New Dataset,EVOH (32mol% ethylene) Soarnol
cm-1,%T
3649.00,98.00
3648.00,98.00
3647.00,97.99
3646.00,97.98
3645.00,97.98
3644.00,97.97
3643.00,97.97
3642.00,97.96
3641.00,97.95
3640.00,97.94
3639.00,97.93
3638.00,97.92
3637.00,97.91
3636.00,97.90
3635.00,97.88
3634.00,97.87
3633.00,97.86
3632.00,97.84
3631.00,97.82
3630.00,97.79
3629.00,97.77
3628.00,97.74
3627.00,97.72
3626.00,97.71
3625.00,97.69
3624.00,97.68
3623.00,97.68
3622.00,97.67
3621.00,97.66
3620.00,97.64
3619.00,97.62
3618.00,97.60
3617.00,97.58
3616.00,97.56
3615.00,97.55
3614.00,97.54
3613.00,97.53
3612.00,97.51
3611.00,97.49
3610.00,97.47
3609.00,97.45
3608.00,97.44
3607.00,97.42
3606.00,97.41
3605.00,97.39
3604.00,97.37
3603.00,97.35
3602.00,97.33
3601.00,97.31
3600.00,97.28
3599.00,97.26
3598.00,97.24
3597.00,97.22
3596.00,97.20
3595.00,97.18
3594.00,97.17
3593.00,97.15
3592.00,97.13
3591.00,97.11
3590.00,97.09
3589.00,97.06
3588.00,97.04
3587.00,97.02
3586.00,96.99
3585.00,96.96
3584.00,96.93
3583.00,96.91
3582.00,96.88
3581.00,96.86
3580.00,96.83
3579.00,96.80
3578.00,96.78
3577.00,96.75
3576.00,96.72
3575.00,96.69
3574.00,96.66
3573.00,96.63
3572.00,96.61
3571.00,96.57
3570.00,96.54
3569.00,96.49
3568.00,96.45
3567.00,96.41
3566.00,96.37
3565.00,96.33
3564.00,96.29
3563.00,96.26
3562.00,96.23
3561.00,96.19
3560.00,96.15
3559.00,96.11
3558.00,96.07
3557.00,96.02
3556.00,95.98
3555.00,95.93
3554.00,95.88
3553.00,95.84
3552.00,95.79
3551.00,95.75
3550.00,95.70
3549.00,95.65
3548.00,95.60
3547.00,95.55
3546.00,95.50
3545.00,95.44
3544.00,95.39
3543.00,95.34
3542.00,95.29
3541.00,95.24
3540.00,95.19
3539.00,95.13
3538.00,95.08
3537.00,95.02
3536.00,94.96
3535.00,94.90
3534.00,94.84
3533.00,94.79
3532.00,94.73
3531.00,94.67
3530.00,94.60
3529.00,94.54
3528.00,94.48
3527.00,94.42
3526.00,94.36
3525.00,94.29
3524.00,94.23
3523.00,94.16
3522.00,94.10
3521.00,94.03
3520.00,93.97
3519.00,93.90
3518.00,93.83
3517.00,93.76
3516.00,93.70
3515.00,93.63
3514.00,93.56
3513.00,93.49
3512.00,93.42
3511.00,93.35
3510.00,93.28
3509.00,93.21
3508.00,93.14
3507.00,93.07
3506.00,93.00
3505.00,92.93
3504.00,92.85
3503.00,92.78
3502.00,92.70
3501.00,92.63
3500.00,92.56
3499.00,92.48
3498.00,92.41
3497.00,92.34
3496.00,92.27
3495.00,92.20
3494.00,92.12
3493.00,92.05
3492.00,91.97
3491.00,91.89
3490.00,91.81
3489.00,91.74
3488.00,91.66
3487.00,91.58
3486.00,91.51
3485.00,91.43
3484.00,91.36
3483.00,91.28
3482.00,91.20
3481.00,91.12
3480.00,91.04
3479.00,90.97
3478.00,90.89
3477.00,90.82
3476.00,90.74
3475.00,90.66
3474.00,90.58
3473.00,90.50
3472.00,90.43
3471.00,90.35
3470.00,90.27
3469.00,90.19
3468.00,90.11
3467.00,90.04
3466.00,89.96
3465.00,89.88
3464.00,89.80
3463.00,89.72
3462.00,89.63
3461.00,89.56
3460.00,89.48
3459.00,89.41
3458.00,89.33
3457.00,89.26
3456.00,89.18
3455.00,89.09
3454.00,89.01
3453.00,88.93
3452.00,88.85
3451.00,88.77
3450.00,88.69
3449.00,88.61
3448.00,88.53
3447.00,88.45
3446.00,88.37
3445.00,88.29
3444.00,88.20
3443.00,88.12
3442.00,88.04
3441.00,87.96
3440.00,87.88
3439.00,87.79
3438.00,87.71
3437.00,87.63
3436.00,87.56
3435.00,87.48
3434.00,87.40
3433.00,87.32
3432.00,87.25
3431.00,87.17
3430.00,87.09
3429.00,87.00
3428.00,86.92
3427.00,86.84
3426.00,86.76
3425.00,86.68
3424.00,86.60
3423.00,86.52
3422.00,86.45
3421.00,86.37
3420.00,86.29
3419.00,86.21
3418.00,86.13
3417.00,86.05
3416.00,85.98
3415.00,85.90
3414.00,85.82
3413.00,85.75
3412.00,85.67
3411.00,85.60
3410.00,85.52
3409.00,85.45
3408.00,85.37
3407.00,85.30
3406.00,85.22
3405.00,85.15
3404.00,85.07
3403.00,85.00
3402.00,84.93
3401.00,84.86
3400.00,84.79
3399.00,84.72
3398.00,84.65
3397.00,84.58
3396.00,84.51
3395.00,84.44
3394.00,84.37
3393.00,84.30
3392.00,84.23
3391.00,84.17
3390.00,84.11
3389.00,84.05
3388.00,83.99
3387.00,83.93
3386.00,83.87
3385.00,83.80
3384.00,83.74
3383.00,83.67
3382.00,83.61
3381.00,83.55
3380.00,83.49
3379.00,83.44
3378.00,83.38
3377.00,83.33
3376.00,83.27
3375.00,83.22
3374.00,83.16
3373.00,83.10
3372.00,83.05
3371.00,82.99
3370.00,82.94
3369.00,82.89
3368.00,82.84
3367.00,82.80
3366.00,82.75
3365.00,82.70
3364.00,82.64
3363.00,82.59
3362.00,82.55
3361.00,82.50
3360.00,82.46
3359.00,82.42
3358.00,82.38
3357.00,82.34
3356.00,82.30
3355.00,82.25
3354.00,82.21
3353.00,82.17
3352.00,82.13
3351.00,82.09
3350.00,82.05
3349.00,82.02
3348.00,81.98
3347.00,81.95
3346.00,81.91
3345.00,81.88
3344.00,81.84
3343.00,81.81
3342.00,81.78
3341.00,81.75
3340.00,81.72
3339.00,81.69
3338.00,81.67
3337.00,81.64
3336.00,81.61
3335.00,81.59
3334.00,81.56
3333.00,81.53
3332.00,81.51
3331.00,81.48
3330.00,81.46
3329.00,81.44
3328.00,81.41
3327.00,81.39
3326.00,81.37
3325.00,81.35
3324.00,81.34
3323.00,81.32
3322.00,81.30
3321.00,81.29
3320.00,81.27
3319.00,81.26
3318.00,81.24
3317.00,81.23
3316.00,81.22
3315.00,81.21
3314.00,81.19
3313.00,81.18
3312.00,81.17
3311.00,81.16
3310.00,81.15
3309.00,81.14
3308.00,81.13
3307.00,81.12
3306.00,81.11
3305.00,81.11
3304.00,81.11
3303.00,81.11
3302.00,81.11
3301.00,81.11
3300.00,81.10
3299.00,81.10
3298.00,81.09
3297.00,81.09
3296.00,81.10
3295.00,81.10
3294.00,81.11
3293.00,81.11
3292.00,81.11
3291.00,81.12
3290.00,81.13
3289.00,81.14
3288.00,81.15
3287.00,81.15
3286.00,81.16
3285.00,81.17
3284.00,81.19
3283.00,81.20
3282.00,81.21
3281.00,81.23
3280.00,81.24
3279.00,81.25
3278.00,81.26
3277.00,81.28
3276.00,81.29
3275.00,81.30
3274.00,81.32
3273.00,81.34
3272.00,81.35
3271.00,81.38
3270.00,81.40
3269.00,81.42
3268.00,81.44
3267.00,81.47
3266.00,81.50
3265.00,81.52
3264.00,81.55
3263.00,81.58
3262.00,81.60
3261.00,81.63
3260.00,81.66
3259.00,81.70
3258.00,81.73
3257.00,81.75
3256.00,81.78
3255.00,81.81
3254.00,81.85
3253.00,81.88
3252.00,81.92
3251.00,81.95
3250.00,81.99
3249.00,82.03
3248.00,82.06
3247.00,82.10
3246.00,82.14
3245.00,82.18
3244.00,82.22
3243.00,82.26
3242.00,82.30
3241.00,82.34
3240.00,82.39
3239.00,82.43
3238.00,82.48
3237.00,82.53
3236.00,82.58
3235.00,82.62
3234.00,82.66
3233.00,82.71
3232.00,82.76
3231.00,82.81
3230.00,82.87
3229.00,82.92
3228.00,82.97
3227.00,83.02
3226.00,83.07
3225.00,83.12
3224.00,83.18
3223.00,83.23
3222.00,83.29
3221.00,83.34
3220.00,83.40
3219.00,83.45
3218.00,83.51
3217.00,83.57
3216.00,83.62
3215.00,83.68
3214.00,83.74
3213.00,83.80
3212.00,83.86
3211.00,83.92
3210.00,83.98
3209.00,84.05
3208.00,84.11
3207.00,84.17
3206.00,84.24
3205.00,84.30
3204.00,84.36
3203.00,84.43
3202.00,84.49
3201.00,84.55
3200.00,84.62
3199.00,84.68
3198.00,84.75
3197.00,84.81
3196.00,84.88
3195.00,84.95
3194.00,85.02
3193.00,85.09
3192.00,85.15
3191.00,85.22
3190.00,85.29
3189.00,85.36
3188.00,85.43
3187.00,85.50
3186.00,85.58
3185.00,85.65
3184.00,85.71
3183.00,85.78
3182.00,85.86
3181.00,85.93
3180.00,86.00
3179.00,86.07
3178.00,86.14
3177.00,86.21
3176.00,86.28
3175.00,86.35
3174.00,86.43
3173.00,86.50
3172.00,86.57
3171.00,86.64
3170.00,86.71
3169.00,86.79
3168.00,86.86
3167.00,86.93
3166.00,87.00
3165.00,87.07
3164.00,87.14
3163.00,87.22
3162.00,87.29
3161.00,87.36
3160.00,87.43
3159.00,87.50
3158.00,87.57
3157.00,87.64
3156.00,87.71
3155.00,87.78
3154.00,87.85
3153.00,87.92
3152.00,87.99
3151.00,88.06
3150.00,88.14
3149.00,88.21
3148.00,88.27
3147.00,88.34
3146.00,88.41
3145.00,88.48
3144.00,88.56
3143.00,88.62
3142.00,88.69
3141.00,88.76
3140.00,88.82
3139.00,88.89
3138.00,88.96
3137.00,89.03
3136.00,89.10
3135.00,89.17
3134.00,89.23
3133.00,89.30
3132.00,89.36
3131.00,89.43
3130.00,89.49
3129.00,89.56
3128.00,89.63
3127.00,89.69
3126.00,89.76
3125.00,89.82
3124.00,89.89
3123.00,89.95
3122.00,90.01
3121.00,90.07
3120.00,90.13
3119.00,90.19
3118.00,90.25
3117.00,90.31
3116.00,90.37
3115.00,90.43
3114.00,90.49
3113.00,90.55
3112.00,90.61
3111.00,90.67
3110.00,90.73
3109.00,90.79
3108.00,90.85
3107.00,90.91
3106.00,90.97
3105.00,91.03
3104.00,91.09
3103.00,91.15
3102.00,91.20
3101.00,91.26
3100.00,91.31
3099.00,91.36
3098.00,91.42
3097.00,91.47
3096.00,91.52
3095.00,91.58
3094.00,91.63
3093.00,91.68
3092.00,91.73
3091.00,91.79
3090.00,91.84
3089.00,91.88
3088.00,91.93
3087.00,91.98
3086.00,92.03
3085.00,92.08
3084.00,92.13
3083.00,92.18
3082.00,92.23
3081.00,92.27
3080.00,92.32
3079.00,92.37
3078.00,92.42
3077.00,92.46
3076.00,92.50
3075.00,92.55
3074.00,92.59
3073.00,92.64
3072.00,92.69
3071.00,92.73
3070.00,92.77
3069.00,92.82
3068.00,92.86
3067.00,92.90
3066.00,92.95
3065.00,92.99
3064.00,93.03
3063.00,93.07
3062.00,93.11
3061.00,93.15
3060.00,93.19
3059.00,93.23
3058.00,93.27
3057.00,93.31
3056.00,93.35
3055.00,93.39
3054.00,93.43
3053.00,93.47
3052.00,93.50
3051.00,93.54
3050.00,93.57
3049.00,93.61
3048.00,93.65
3047.00,93.69
3046.00,93.72
3045.00,93.75
3044.00,93.79
3043.00,93.82
3042.00,93.85
3041.00,93.88
3040.00,93.92
3039.00,93.95
3038.00,93.98
3037.00,94.01
3036.00,94.04
3035.00,94.07
3034.00,94.10
3033.00,94.13
3032.00,94.16
3031.00,94.19
3030.00,94.22
3029.00,94.24
3028.00,94.27
3027.00,94.30
3026.00,94.33
3025.00,94.35
3024.00,94.38
3023.00,94.41
3022.00,94.44
3021.00,94.47
3020.00,94.50
3019.00,94.53
3018.00,94.56
3017.00,94.59
3016.00,94.61
3015.00,94.64
3014.00,94.66
3013.00,94.68
3012.00,94.71
3011.00,94.73
3010.00,94.74
3009.00,94.76
3008.00,94.78
3007.00,94.81
3006.00,94.83
3005.00,94.85
3004.00,94.87
3003.00,94.89
3002.00,94.90
3001.00,94.92
3000.00,94.93
2999.00,94.95
2998.00,94.96
2997.00,94.97
2996.00,94.98
2995.00,94.99
2994.00,94.99
2993.00,95.00
2992.00,95.01
2991.00,95.01
2990.00,95.01
2989.00,95.01
2988.00,95.00
2987.00,94.99
2986.00,94.98
2985.00,94.96
2984.00,94.94
2983.00,94.92
2982.00,94.90
2981.00,94.86
2980.00,94.82
2979.00,94.78
2978.00,94.72
2977.00,94.66
2976.00,94.59
2975.00,94.51
2974.00,94.42
2973.00,94.31
2972.00,94.20
2971.00,94.07
2970.00,93.93
2969.00,93.77
2968.00,93.58
2967.00,93.38
2966.00,93.16
2965.00,92.92
2964.00,92.66
2963.00,92.38
2962.00,92.08
2961.00,91.75
2960.00,91.39
2959.00,91.01
2958.00,90.61
2957.00,90.19
2956.00,89.75
2955.00,89.28
2954.00,88.80
2953.00,88.29
2952.00,87.77
2951.00,87.23
2950.00,86.68
2949.00,86.12
2948.00,85.55
2947.00,84.98
2946.00,84.41
2945.00,83.85
2944.00,83.30
2943.00,82.76
2942.00,82.24
2941.00,81.75
2940.00,81.29
2939.00,80.87
2938.00,80.49
2937.00,80.15
2936.00,79.86
2935.00,79.61
2934.00,79.40
2933.00,79.23
2932.00,79.11
2931.00,79.03
2930.00,78.97
2929.00,78.95
2928.00,78.96
2927.00,78.98
2926.00,79.03
2925.00,79.08
2924.00,79.14
2923.00,79.20
2922.00,79.26
2921.00,79.31
2920.00,79.35
2919.00,79.39
2918.00,79.40
2917.00,79.40
2916.00,79.39
2915.00,79.36
2914.00,79.31
2913.00,79.25
2912.00,79.18
2911.00,79.12
2910.00,79.07
2909.00,79.04
2908.00,79.03
2907.00,79.04
2906.00,79.10
2905.00,79.20
2904.00,79.34
2903.00,79.53
2902.00,79.77
2901.00,80.05
2900.00,80.37
2899.00,80.73
2898.00,81.11
2897.00,81.52
2896.00,81.94
2895.00,82.37
2894.00,82.80
2893.00,83.22
2892.00,83.62
2891.00,84.00
2890.00,84.36
2889.00,84.69
2888.00,84.99
2887.00,85.27
2886.00,85.51
2885.00,85.73
2884.00,85.93
2883.00,86.10
2882.00,86.24
2881.00,86.37
2880.00,86.47
2879.00,86.56
2878.00,86.62
2877.00,86.66
2876.00,86.67
2875.00,86.67
2874.00,86.65
2873.00,86.61
2872.00,86.55
2871.00,86.48
2870.00,86.38
2869.00,86.27
2868.00,86.15
2867.00,86.00
2866.00,85.84
2865.00,85.67
2864.00,85.48
2863.00,85.29
2862.00,85.09
2861.00,84.89
2860.00,84.70
2859.00,84.51
2858.00,84.34
2857.00,84.19
2856.00,84.07
2855.00,83.98
2854.00,83.94
2853.00,83.94
2852.00,84.00
2851.00,84.10
2850.00,84.25
2849.00,84.44
2848.00,84.67
2847.00,84.92
2846.00,85.20
2845.00,85.48
2844.00,85.77
2843.00,86.05
2842.00,86.34
2841.00,86.61
2840.00,86.88
2839.00,87.14
2838.00,87.39
2837.00,87.63
2836.00,87.86
2835.00,88.08
2834.00,88.29
2833.00,88.50
2832.00,88.71
2831.00,88.91
2830.00,89.11
2829.00,89.30
2828.00,89.49
2827.00,89.66
2826.00,89.83
2825.00,89.99
2824.00,90.14
2823.00,90.28
2822.00,90.42
2821.00,90.55
2820.00,90.67
2819.00,90.79
2818.00,90.91
2817.00,91.02
2816.00,91.14
2815.00,91.24
2814.00,91.35
