Created as New Dataset,PVOH MW 31K
cm-1,%T
3648.00,99.33
3647.00,99.33
3646.00,99.33
3645.00,99.33
3644.00,99.33
3643.00,99.32
3642.00,99.32
3641.00,99.32
3640.00,99.31
3639.00,99.31
3638.00,99.31
3637.00,99.30
3636.00,99.30
3635.00,99.29
3634.00,99.28
3633.00,99.28
3632.00,99.27
3631.00,99.26
3630.00,99.25
3629.00,99.24
3628.00,99.24
3627.00,99.24
3626.00,99.23
3625.00,99.22
3624.00,99.22
3623.00,99.21
3622.00,99.21
3621.00,99.20
3620.00,99.20
3619.00,99.20
3618.00,99.19
3617.00,99.18
3616.00,99.17
3615.00,99.17
3614.00,99.16
3613.00,99.15
3612.00,99.15
3611.00,99.15
3610.00,99.14
3609.00,99.13
3608.00,99.12
3607.00,99.11
3606.00,99.11
3605.00,99.10
3604.00,99.09
3603.00,99.09
3602.00,99.08
3601.00,99.08
3600.00,99.07
3599.00,99.07
3598.00,99.05
3597.00,99.04
3596.00,99.03
3595.00,99.02
3594.00,99.01
3593.00,99.01
3592.00,99.00
3591.00,99.00
3590.00,98.99
3589.00,98.97
3588.00,98.96
3587.00,98.95
3586.00,98.93
3585.00,98.92
3584.00,98.92
3583.00,98.91
3582.00,98.90
3581.00,98.90
3580.00,98.89
3579.00,98.88
3578.00,98.86
3577.00,98.85
3576.00,98.84
3575.00,98.83
3574.00,98.82
3573.00,98.81
3572.00,98.80
3571.00,98.79
3570.00,98.78
3569.00,98.77
3568.00,98.75
3567.00,98.73
3566.00,98.71
3565.00,98.69
3564.00,98.68
3563.00,98.67
3562.00,98.66
3561.00,98.65
3560.00,98.64
3559.00,98.62
3558.00,98.61
3557.00,98.59
3556.00,98.58
3555.00,98.56
3554.00,98.54
3553.00,98.53
3552.00,98.51
3551.00,98.50
3550.00,98.49
3549.00,98.47
3548.00,98.45
3547.00,98.43
3546.00,98.41
3545.00,98.39
3544.00,98.37
3543.00,98.36
3542.00,98.35
3541.00,98.34
3540.00,98.32
3539.00,98.31
3538.00,98.29
3537.00,98.27
3536.00,98.25
3535.00,98.23
3534.00,98.21
3533.00,98.20
3532.00,98.19
3531.00,98.17
3530.00,98.15
3529.00,98.13
3528.00,98.10
3527.00,98.07
3526.00,98.05
3525.00,98.03
3524.00,98.01
3523.00,98.00
3522.00,97.98
3521.00,97.97
3520.00,97.95
3519.00,97.94
3518.00,97.92
3517.00,97.89
3516.00,97.87
3515.00,97.85
3514.00,97.83
3513.00,97.82
3512.00,97.80
3511.00,97.77
3510.00,97.75
3509.00,97.73
3508.00,97.71
3507.00,97.69
3506.00,97.67
3505.00,97.65
3504.00,97.63
3503.00,97.61
3502.00,97.59
3501.00,97.56
3500.00,97.54
3499.00,97.53
3498.00,97.51
3497.00,97.49
3496.00,97.47
3495.00,97.44
3494.00,97.42
3493.00,97.40
3492.00,97.38
3491.00,97.36
3490.00,97.35
3489.00,97.32
3488.00,97.30
3487.00,97.28
3486.00,97.26
3485.00,97.24
3484.00,97.22
3483.00,97.19
3482.00,97.16
3481.00,97.14
3480.00,97.11
3479.00,97.10
3478.00,97.08
3477.00,97.06
3476.00,97.05
3475.00,97.02
3474.00,97.00
3473.00,96.97
3472.00,96.95
3471.00,96.93
3470.00,96.92
3469.00,96.90
3468.00,96.88
3467.00,96.85
3466.00,96.83
3465.00,96.81
3464.00,96.78
3463.00,96.76
3462.00,96.74
3461.00,96.72
3460.00,96.70
3459.00,96.68
3458.00,96.66
3457.00,96.64
3456.00,96.62
3455.00,96.60
3454.00,96.58
3453.00,96.56
3452.00,96.54
3451.00,96.52
3450.00,96.49
3449.00,96.47
3448.00,96.45
3447.00,96.42
3446.00,96.40
3445.00,96.39
3444.00,96.37
3443.00,96.35
3442.00,96.34
3441.00,96.32
3440.00,96.30
3439.00,96.28
3438.00,96.25
3437.00,96.23
3436.00,96.21
3435.00,96.19
3434.00,96.18
3433.00,96.16
3432.00,96.14
3431.00,96.12
3430.00,96.10
3429.00,96.08
3428.00,96.06
3427.00,96.04
3426.00,96.02
3425.00,96.00
3424.00,95.99
3423.00,95.96
