Created as New Dataset,PE (low density) granule 2mm GF
cm-1,%T
3648.00,99.67
3647.00,99.67
3646.00,99.67
3645.00,99.67
3644.00,99.67
3643.00,99.68
3642.00,99.68
3641.00,99.68
3640.00,99.68
3639.00,99.69
3638.00,99.69
3637.00,99.69
3636.00,99.70
3635.00,99.70
3634.00,99.70
3633.00,99.71
3632.00,99.70
3631.00,99.70
3630.00,99.71
3629.00,99.71
3628.00,99.71
3627.00,99.71
3626.00,99.70
3625.00,99.70
3624.00,99.70
3623.00,99.70
3622.00,99.69
3621.00,99.69
3620.00,99.68
3619.00,99.68
3618.00,99.67
3617.00,99.67
3616.00,99.66
3615.00,99.66
3614.00,99.65
3613.00,99.65
3612.00,99.64
3611.00,99.64
3610.00,99.63
3609.00,99.63
3608.00,99.62
3607.00,99.62
3606.00,99.61
3605.00,99.61
3604.00,99.61
3603.00,99.62
3602.00,99.62
3601.00,99.63
3600.00,99.64
3599.00,99.65
3598.00,99.66
3597.00,99.67
3596.00,99.68
3595.00,99.69
3594.00,99.70
3593.00,99.71
3592.00,99.72
3591.00,99.72
3590.00,99.72
3589.00,99.72
3588.00,99.73
3587.00,99.73
3586.00,99.73
3585.00,99.73
3584.00,99.73
3583.00,99.74
3582.00,99.74
3581.00,99.74
3580.00,99.75
3579.00,99.75
3578.00,99.75
3577.00,99.75
3576.00,99.75
3575.00,99.75
3574.00,99.75
3573.00,99.75
3572.00,99.75
3571.00,99.76
3570.00,99.75
3569.00,99.75
3568.00,99.76
3567.00,99.76
3566.00,99.76
3565.00,99.76
3564.00,99.75
3563.00,99.75
3562.00,99.75
3561.00,99.75
3560.00,99.75
3559.00,99.75
3558.00,99.76
3557.00,99.76
3556.00,99.76
3555.00,99.76
3554.00,99.76
3553.00,99.76
3552.00,99.76
3551.00,99.76
3550.00,99.76
3549.00,99.76
3548.00,99.75
3547.00,99.75
3546.00,99.75
3545.00,99.75
3544.00,99.75
3543.00,99.76
3542.00,99.76
3541.00,99.76
3540.00,99.76
3539.00,99.76
3538.00,99.76
3537.00,99.76
3536.00,99.77
3535.00,99.77
3534.00,99.77
3533.00,99.77
3532.00,99.76
3531.00,99.76
3530.00,99.75
3529.00,99.75
3528.00,99.75
3527.00,99.75
3526.00,99.75
3525.00,99.75
3524.00,99.75
3523.00,99.75
3522.00,99.75
3521.00,99.75
3520.00,99.75
3519.00,99.75
3518.00,99.75
3517.00,99.75
3516.00,99.76
3515.00,99.76
3514.00,99.76
3513.00,99.76
3512.00,99.76
3511.00,99.76
3510.00,99.75
3509.00,99.75
3508.00,99.75
3507.00,99.74
3506.00,99.74
3505.00,99.75
3504.00,99.75
3503.00,99.75
3502.00,99.75
3501.00,99.75
3500.00,99.74
3499.00,99.74
3498.00,99.74
3497.00,99.74
3496.00,99.74
3495.00,99.74
3494.00,99.75
3493.00,99.75
3492.00,99.75
3491.00,99.75
3490.00,99.75
3489.00,99.75
3488.00,99.75
3487.00,99.74
3486.00,99.74
3485.00,99.74
3484.00,99.74
3483.00,99.74
3482.00,99.74
3481.00,99.74
3480.00,99.74
3479.00,99.74
3478.00,99.74
3477.00,99.74
3476.00,99.75
3475.00,99.74
3474.00,99.74
3473.00,99.74
3472.00,99.73
3471.00,99.73
3470.00,99.73
3469.00,99.73
3468.00,99.73
3467.00,99.73
3466.00,99.73
3465.00,99.73
3464.00,99.73
3463.00,99.73
3462.00,99.73
3461.00,99.73
3460.00,99.73
3459.00,99.72
3458.00,99.72
3457.00,99.73
3456.00,99.73
3455.00,99.73
3454.00,99.73
3453.00,99.72
3452.00,99.72
3451.00,99.72
3450.00,99.72
3449.00,99.72
3448.00,99.72
3447.00,99.72
3446.00,99.72
3445.00,99.71
3444.00,99.71
3443.00,99.71
3442.00,99.72
3441.00,99.72
3440.00,99.72
3439.00,99.73
3438.00,99.73
3437.00,99.73
3436.00,99.73
3435.00,99.73
3434.00,99.73
3433.00,99.72
3432.00,99.72
3431.00,99.71
3430.00,99.71
3429.00,99.71
3428.00,99.72
3427.00,99.72
3426.00,99.72
3425.00,99.72
3424.00,99.72
3423.00,99.72
3422.00,99.71
3421.00,99.71
3420.00,99.71
3419.00,99.72
3418.00,99.72
3417.00,99.72
3416.00,99.72
3415.00,99.72
3414.00,99.72
3413.00,99.72
3412.00,99.72
3411.00,99.72
3410.00,99.72
3409.00,99.72
3408.00,99.72
3407.00,99.71
3406.00,99.71
3405.00,99.71
3404.00,99.72
3403.00,99.72
3402.00,99.72
3401.00,99.71
3400.00,99.71
3399.00,99.71
3398.00,99.71
3397.00,99.71
3396.00,99.70
3395.00,99.70
3394.00,99.70
3393.00,99.70
3392.00,99.70
3391.00,99.70
3390.00,99.71
3389.00,99.71
3388.00,99.71
3387.00,99.71
3386.00,99.71
3385.00,99.71
3384.00,99.71
3383.00,99.71
3382.00,99.71
3381.00,99.71
3380.00,99.71
3379.00,99.71
3378.00,99.71
3377.00,99.71
3376.00,99.71
3375.00,99.71
3374.00,99.70
3373.00,99.70
3372.00,99.70
3371.00,99.70
3370.00,99.70
3369.00,99.70
3368.00,99.70
3367.00,99.71
3366.00,99.71
3365.00,99.72
3364.00,99.72
3363.00,99.72
3362.00,99.71
3361.00,99.71
3360.00,99.71
3359.00,99.71
3358.00,99.71
3357.00,99.71
3356.00,99.71
3355.00,99.72
3354.00,99.72
3353.00,99.72
3352.00,99.72
3351.00,99.72
3350.00,99.72
3349.00,99.72
3348.00,99.71
3347.00,99.71
3346.00,99.71
3345.00,99.71
3344.00,99.72
3343.00,99.72
3342.00,99.72
3341.00,99.72
3340.00,99.73
3339.00,99.73
3338.00,99.73
3337.00,99.73
3336.00,99.73
3335.00,99.73
3334.00,99.73
3333.00,99.73
3332.00,99.73
3331.00,99.73
3330.00,99.73
3329.00,99.73
3328.00,99.72
3327.00,99.73
3326.00,99.73
3325.00,99.74
3324.00,99.74
3323.00,99.74
3322.00,99.74
3321.00,99.74
3320.00,99.74
3319.00,99.74
3318.00,99.74
3317.00,99.74
3316.00,99.75
3315.00,99.74
3314.00,99.74
3313.00,99.74
3312.00,99.73
3311.00,99.73
3310.00,99.73
3309.00,99.74
3308.00,99.74
3307.00,99.74
3306.00,99.74
3305.00,99.74
3304.00,99.75
3303.00,99.75
3302.00,99.75
3301.00,99.75
3300.00,99.75
3299.00,99.75
3298.00,99.75
3297.00,99.75
3296.00,99.74
3295.00,99.74
3294.00,99.74
3293.00,99.74
3292.00,99.74
3291.00,99.74
3290.00,99.74
3289.00,99.75
3288.00,99.75
3287.00,99.74
