Created as New Dataset,PE High Density GF
cm-1,%T
3410.00,98.51
3409.00,98.50
3408.00,98.50
3407.00,98.50
3406.00,98.49
3405.00,98.49
3404.00,98.49
3403.00,98.48
3402.00,98.48
3401.00,98.47
3400.00,98.47
3399.00,98.47
3398.00,98.47
3397.00,98.47
3396.00,98.47
3395.00,98.47
3394.00,98.46
3393.00,98.46
3392.00,98.46
3391.00,98.46
3390.00,98.46
3389.00,98.46
3388.00,98.45
3387.00,98.44
3386.00,98.44
3385.00,98.43
3384.00,98.43
3383.00,98.43
3382.00,98.43
3381.00,98.44
3380.00,98.44
3379.00,98.44
3378.00,98.44
3377.00,98.44
3376.00,98.44
3375.00,98.44
3374.00,98.44
3373.00,98.44
3372.00,98.44
3371.00,98.44
3370.00,98.44
3369.00,98.44
3368.00,98.44
3367.00,98.44
3366.00,98.44
3365.00,98.44
3364.00,98.44
3363.00,98.44
3362.00,98.44
3361.00,98.44
3360.00,98.44
3359.00,98.45
3358.00,98.45
3357.00,98.45
3356.00,98.45
3355.00,98.45
3354.00,98.44
3353.00,98.44
3352.00,98.44
3351.00,98.44
3350.00,98.44
3349.00,98.43
3348.00,98.43
3347.00,98.43
3346.00,98.43
3345.00,98.43
3344.00,98.43
3343.00,98.43
3342.00,98.43
3341.00,98.42
3340.00,98.42
3339.00,98.42
3338.00,98.42
3337.00,98.42
3336.00,98.41
3335.00,98.41
3334.00,98.41
3333.00,98.40
3332.00,98.40
3331.00,98.40
3330.00,98.40
3329.00,98.40
3328.00,98.40
3327.00,98.39
3326.00,98.39
3325.00,98.38
3324.00,98.38
3323.00,98.37
3322.00,98.36
3321.00,98.36
3320.00,98.35
3319.00,98.35
3318.00,98.34
3317.00,98.33
3316.00,98.31
3315.00,98.30
3314.00,98.30
3313.00,98.29
3312.00,98.28
3311.00,98.27
3310.00,98.26
3309.00,98.25
3308.00,98.24
3307.00,98.23
3306.00,98.23
3305.00,98.22
3304.00,98.21
3303.00,98.21
3302.00,98.20
3301.00,98.20
3300.00,98.20
3299.00,98.20
3298.00,98.20
3297.00,98.20
3296.00,98.20
3295.00,98.20
3294.00,98.19
3293.00,98.18
3292.00,98.18
3291.00,98.17
3290.00,98.16
3289.00,98.15
3288.00,98.15
3287.00,98.14
3286.00,98.14
3285.00,98.13
3284.00,98.12
3283.00,98.12
3282.00,98.11
3281.00,98.11
3280.00,98.11
3279.00,98.11
3278.00,98.12
3277.00,98.12
3276.00,98.13
3275.00,98.14
3274.00,98.15
3273.00,98.16
3272.00,98.18
3271.00,98.19
3270.00,98.21
3269.00,98.22
3268.00,98.24
3267.00,98.26
3266.00,98.28
3265.00,98.30
3264.00,98.32
3263.00,98.34
3262.00,98.35
3261.00,98.37
3260.00,98.38
3259.00,98.39
3258.00,98.40
3257.00,98.41
3256.00,98.41
3255.00,98.42
3254.00,98.43
3253.00,98.45
3252.00,98.46
3251.00,98.48
3250.00,98.49
3249.00,98.50
3248.00,98.51
3247.00,98.52
3246.00,98.53
3245.00,98.53
3244.00,98.54
3243.00,98.55
3242.00,98.56
3241.00,98.57
3240.00,98.58
3239.00,98.59
3238.00,98.60
3237.00,98.61
3236.00,98.62
3235.00,98.63
3234.00,98.63
3233.00,98.64
3232.00,98.65
3231.00,98.65
3230.00,98.66
3229.00,98.67
3228.00,98.67
3227.00,98.67
3226.00,98.68
3225.00,98.68
3224.00,98.68
3223.00,98.69
3222.00,98.70
3221.00,98.70
3220.00,98.71
3219.00,98.72
3218.00,98.72
3217.00,98.72
3216.00,98.73
3215.00,98.73
3214.00,98.74
3213.00,98.74
3212.00,98.75
3211.00,98.75
3210.00,98.76
3209.00,98.76
3208.00,98.77
3207.00,98.78
3206.00,98.78
3205.00,98.79
3204.00,98.79
3203.00,98.79
3202.00,98.80
3201.00,98.81
3200.00,98.82
3199.00,98.82
3198.00,98.82
3197.00,98.83
3196.00,98.83
3195.00,98.84
3194.00,98.84
3193.00,98.85
3192.00,98.85
3191.00,98.86
3190.00,98.86
3189.00,98.87
3188.00,98.87
3187.00,98.88
3186.00,98.88
3185.00,98.89
3184.00,98.90
3183.00,98.91
3182.00,98.91
3181.00,98.91
3180.00,98.92
3179.00,98.92
3178.00,98.92
3177.00,98.93
3176.00,98.93
3175.00,98.93
3174.00,98.94
3173.00,98.94
3172.00,98.95
3171.00,98.95
3170.00,98.95
3169.00,98.96
3168.00,98.96
3167.00,98.96
3166.00,98.96
3165.00,98.97
3164.00,98.97
3163.00,98.97
3162.00,98.98
3161.00,98.98
3160.00,98.99
3159.00,98.99
3158.00,98.98
3157.00,98.98
3156.00,98.99
3155.00,99.00
3154.00,99.00
3153.00,99.01
3152.00,99.01
3151.00,99.01
3150.00,99.00
3149.00,99.00
3148.00,99.01
3147.00,99.01
3146.00,99.02
3145.00,99.02
3144.00,99.02
3143.00,99.02
3142.00,99.03
3141.00,99.03
3140.00,99.03
3139.00,99.03
3138.00,99.03
3137.00,99.03
3136.00,99.03
3135.00,99.03
3134.00,99.03
3133.00,99.04
3132.00,99.04
3131.00,99.04
3130.00,99.04
3129.00,99.04
3128.00,99.04
3127.00,99.04
3126.00,99.04
3125.00,99.03
3124.00,99.03
3123.00,99.03
3122.00,99.03
3121.00,99.03
3120.00,99.03
3119.00,99.02
3118.00,99.02
3117.00,99.02
3116.00,99.02
3115.00,99.01
3114.00,99.01
3113.00,99.01
3112.00,99.00
3111.00,99.00
3110.00,98.99
3109.00,98.99
3108.00,98.99
3107.00,98.98
3106.00,98.97
3105.00,98.96
3104.00,98.95
3103.00,98.93
3102.00,98.92
3101.00,98.91
3100.00,98.90
3099.00,98.89
3098.00,98.87
3097.00,98.85
3096.00,98.84
3095.00,98.82
3094.00,98.81
3093.00,98.80
3092.00,98.79
3091.00,98.78
3090.00,98.77
3089.00,98.77
3088.00,98.76
3087.00,98.76
3086.00,98.76
3085.00,98.76
3084.00,98.75
3083.00,98.75
3082.00,98.75
3081.00,98.75
3080.00,98.75
3079.00,98.74
3078.00,98.74
3077.00,98.74
3076.00,98.74
3075.00,98.74
3074.00,98.74
3073.00,98.74
3072.00,98.74
3071.00,98.74
3070.00,98.74
3069.00,98.74
3068.00,98.74
3067.00,98.74
3066.00,98.74
3065.00,98.74
3064.00,98.75
3063.00,98.74
3062.00,98.74
3061.00,98.74
3060.00,98.73
3059.00,98.73
3058.00,98.73
3057.00,98.73
3056.00,98.72
3055.00,98.72
3054.00,98.72
3053.00,98.71
3052.00,98.71
3051.00,98.71
3050.00,98.70
3049.00,98.70
3048.00,98.69
3047.00,98.68
3046.00,98.67
3045.00,98.65
3044.00,98.64
3043.00,98.63
3042.00,98.62
3041.00,98.60
3040.00,98.59
3039.00,98.58
3038.00,98.57
3037.00,98.56
3036.00,98.55
3035.00,98.54
3034.00,98.53
3033.00,98.52
3032.00,98.52
3031.00,98.51
3030.00,98.50
3029.00,98.49
3028.00,98.48
3027.00,98.48
3026.00,98.47
3025.00,98.47
3024.00,98.47
3023.00,98.46
3022.00,98.46
3021.00,98.45
3020.00,98.45
3019.00,98.44
3018.00,98.44
3017.00,98.43
3016.00,98.42
3015.00,98.40
3014.00,98.39
3013.00,98.38
3012.00,98.37
