Created as New Dataset,PET amorphous
cm-1,%T
3648.00,96.67
3647.00,96.66
3646.00,96.66
3645.00,96.65
3644.00,96.65
3643.00,96.64
3642.00,96.63
3641.00,96.63
3640.00,96.63
3639.00,96.63
3638.00,96.63
3637.00,96.63
3636.00,96.62
3635.00,96.62
3634.00,96.61
3633.00,96.61
3632.00,96.61
3631.00,96.61
3630.00,96.61
3629.00,96.61
3628.00,96.61
3627.00,96.61
3626.00,96.61
3625.00,96.61
3624.00,96.61
3623.00,96.62
3622.00,96.63
3621.00,96.63
3620.00,96.64
3619.00,96.64
3618.00,96.64
3617.00,96.65
3616.00,96.65
3615.00,96.65
3614.00,96.65
3613.00,96.66
3612.00,96.67
3611.00,96.67
3610.00,96.67
3609.00,96.68
3608.00,96.69
3607.00,96.70
3606.00,96.71
3605.00,96.71
3604.00,96.71
3603.00,96.71
3602.00,96.72
3601.00,96.72
3600.00,96.73
3599.00,96.74
3598.00,96.74
3597.00,96.75
3596.00,96.75
3595.00,96.75
3594.00,96.76
3593.00,96.76
3592.00,96.76
3591.00,96.76
3590.00,96.76
3589.00,96.77
3588.00,96.77
3587.00,96.78
3586.00,96.78
3585.00,96.78
3584.00,96.77
3583.00,96.77
3582.00,96.76
3581.00,96.76
3580.00,96.75
3579.00,96.75
3578.00,96.75
3577.00,96.74
3576.00,96.73
3575.00,96.73
3574.00,96.72
3573.00,96.71
3572.00,96.71
3571.00,96.71
3570.00,96.70
3569.00,96.70
3568.00,96.70
3567.00,96.70
3566.00,96.69
3565.00,96.69
3564.00,96.68
3563.00,96.67
3562.00,96.66
3561.00,96.66
3560.00,96.65
3559.00,96.65
3558.00,96.65
3557.00,96.65
3556.00,96.65
3555.00,96.65
3554.00,96.65
3553.00,96.64
3552.00,96.64
3551.00,96.63
3550.00,96.63
3549.00,96.63
3548.00,96.64
3547.00,96.64
3546.00,96.65
3545.00,96.65
3544.00,96.65
3543.00,96.65
3542.00,96.65
3541.00,96.66
3540.00,96.66
3539.00,96.66
3538.00,96.67
3537.00,96.67
3536.00,96.68
3535.00,96.69
3534.00,96.69
3533.00,96.69
3532.00,96.70
3531.00,96.70
3530.00,96.70
3529.00,96.71
3528.00,96.71
3527.00,96.72
3526.00,96.72
3525.00,96.73
3524.00,96.73
3523.00,96.74
3522.00,96.74
3521.00,96.74
3520.00,96.74
3519.00,96.75
3518.00,96.75
3517.00,96.76
3516.00,96.76
3515.00,96.76
3514.00,96.77
3513.00,96.77
3512.00,96.78
3511.00,96.79
3510.00,96.79
3509.00,96.79
3508.00,96.79
3507.00,96.79
3506.00,96.79
3505.00,96.80
3504.00,96.80
3503.00,96.80
3502.00,96.80
3501.00,96.80
3500.00,96.80
3499.00,96.81
3498.00,96.81
3497.00,96.82
3496.00,96.82
3495.00,96.82
3494.00,96.81
3493.00,96.81
3492.00,96.81
3491.00,96.81
3490.00,96.81
3489.00,96.81
3488.00,96.82
3487.00,96.82
3486.00,96.81
3485.00,96.81
3484.00,96.81
3483.00,96.81
3482.00,96.81
