"sample_name","sample_name_old","spectrum_type","organization","spectrum_identity","spectrumid","librarytype","owner","instrument_mode","other_info","intensity_units","rruffid","ideal_chemistry","locality","source","status","url","measured_chemistry","jcamp-dx","yfactor","deltax","instrument_used","material_color","citation","brand","item","location","width","depth","particle_massmg","tgoc","tmoc","onset","enthalpyj_g","qa_qc","framework","abbreviation","spectral_resolution","instrument_accessories","wavenumber_range","user_name","region","campaign","state","treatment","analysis","exposure_days","polymer_id","file_legacy","locationdescription","country","lat","lon","spec_hash","x_unit","y_unit","product_id","supplier","specifications","pin_id","orientation","license","replicate","longest_dimension","samples","lines","bands","header_offset","data_type","interleave","pixel_size","otherinfo","source_class","source_number","batch","form_factor","dye_type","dye_color","visual_inspected_color","finish","catalogue_id","lot_number","pressure","temperature","sample_id","ci_raw_hcmr","ci_fillpeaks_hcmr","ci_modpolyfit_hcmr","ci_normalization_hcmr","polymer_hit_1_hcmr","percentage_hit_1_hcmr","condition","plastic_origin","place","length_mm","shape","polymer_hit_3_labs","ci_raw_cnr","ci_fillpeaks_cnr","ci_modpolyfit_cnr","ci_normalization_cnr","polymer_hit_1_cnr","percentage_hit_1_cnr","micro_macro","material_form","width_mm","material_producer","number_of_accumulations","time","ratio_against_background","truncated","elementmultiply_or_elementdivide","collection_length","sample_gain","number_of_background_scans","background_gain","sample_spacing","resolution_points","number_of_fft_points","apodization","bench_serial_number","subtraction_or_addition","baseline_correction","perctransmittance_absorbance","sponsor","ci_raw_vliz","ci_fillpeak_vliz","ci_modpolyfit_vliz","ci_norm_vliz","polymer_hit_1_vliz","percentage_hit_1_vliz","grating","hole_sizenm","slitum","filterperc","delays","date","molform","aperture","beamsplitter","detectordiadetport_in_sphere","sphere_diameter","acquisition_mode","scanner_speed","phase_resolution","phase_correction","zerofilling","wavenumber_accuracy","low_pass_filter","switch_gain_on","mw","contact_info","cas_number","material_quality","laser_light_used","total_acquisition_time_s","data_processing_proceedure","level_of_confidence_in_identification","smoother","density","material_class","plastic_or_not","material_class_specific"
"1160acf8cac769f06cfe86bec85365eb","1160acf8cac769f06cfe86bec85365eb","raman","slopp, munno et al. 2020","polyester","polyester7.pinkfiber","polymers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fiber",NA,NA,"4",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"600","300","100","100","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","785","4",NA,NA,NA,NA,"polyesters","plastic",NA
"51ff34f85933b9b348ccd959c2b387a1","51ff34f85933b9b348ccd959c2b387a1","raman","slopp, munno et al. 2020","polyester","polyester8.redfiber","polymers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fiber",NA,NA,"8",NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"600","300","100","100","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","785","8",NA,NA,NA,NA,"polyesters","plastic",NA
"120c4a361f60518c832d014336a737be","120c4a361f60518c832d014336a737be","raman","slopp, munno et al. 2020","polyester","polyester9.purplefiber","polymers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"purple",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fiber",NA,NA,"10",NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"600","300","100","100","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","785","10",NA,NA,NA,NA,"polyesters","plastic",NA
"5baa776a869c196c19fb2216b430a12e","5baa776a869c196c19fb2216b430a12e","raman","slopp, munno et al. 2020","pe-co-pp","polyethylene-co-polypropylene1.greyfragment","polymers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"grey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fragment",NA,NA,"10",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1200","300","100","25","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","532","4",NA,NA,NA,NA,"ethylene-propylene","plastic",NA
"db78d84bc2bdfb44b3d8e42bec16db81","db78d84bc2bdfb44b3d8e42bec16db81","raman","slopp, munno et al. 2020","pe-co-pp","polyethylene-co-polypropylene2.bluefragment","polymers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fragment",NA,NA,"4",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1200","300","100","25","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","532","4",NA,NA,NA,NA,"ethylene-propylene","plastic",NA
"894eaec94ed3e76c705fc91485f555a7","894eaec94ed3e76c705fc91485f555a7","raman","slopp, munno et al. 2020","pe-co-pp","polyethylene-co-polypropylene3.bluefragment","polymers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fragment",NA,NA,"6",NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1200","300","100","25","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","532","6",NA,NA,NA,NA,"ethylene-propylene","plastic",NA
"83ff9bfd491340cc3305bf68e7f0bc61","2dff8d92e452e333e3540af1fd7dd5f1","raman","slopp, munno et al. 2020","ps-pvc","polystyrene-co-polyvinylchloride1.clearfilm","polymers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"film",NA,NA,"10",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1200","300","50","50","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","532","5",NA,NA,NA,NA,"other plastic","plastic",NA
"f648937f0bd977022bcff5087b86bf58","f648937f0bd977022bcff5087b86bf58","raman","slopp, munno et al. 2020","polyester","polyester1.whitefiber","polymers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fiber",NA,NA,"8",NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"600","300","100","100","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"donated","785","8",NA,NA,NA,NA,"polyesters","plastic",NA
"68e84905629252953113a12e141af0e6","68e84905629252953113a12e141af0e6","raman","slopp, munno et al. 2020","polyester","polyester10.darkbluefiber","polymers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark blue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fiber",NA,NA,"8",NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"600","300","100","100","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"donated","785","8",NA,NA,NA,NA,"polyesters","plastic",NA
"0737f92e61c5e9d19a39a7c2c9132754","0737f92e61c5e9d19a39a7c2c9132754","raman","slopp, munno et al. 2020","polyester","polyester2.yellowfiber","polymers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fiber",NA,NA,"8",NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"600","300","100","100","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"donated","785","8",NA,NA,NA,NA,"polyesters","plastic",NA
